CellLine,Sample,Value,SIG,MEAN,SE,Order,Order 2,,6615,6401,7100,6705.333333,0.986528137,0.954613243,1.05885862,,1,0.030837709
A172 WT,miR-SCR-uc.110,0.986528137,,1,0.030837709,1,1,,5518,5379,5417,,0.822927023,0.802197256,0.807864387,,0.810996222,0.006185658
A172 WT,miR-SCR-uc.110,0.954613243,,1,0.030837709,1,1,,5190,5091,5072,5117.666667,1.014134045,0.994789292,0.991076663,,1,0.007147828
A172 WT,miR-SCR-uc.110,0.822927023,,1,0.030837709,1,1,,4406,4522,4135,,0.86093923,0.88360581,0.80798541,,0.850843483,0.02240576
A172 WT,miR-544-uc.110,0.822927023,*,0.810996222,0.006185658,2,1,,,,,,,,,,,
A172 WT,miR-544-uc.110,0.802197256,*,0.810996222,0.006185658,2,1,,2039,2250,2316,2201.666667,0.926116578,1.021953066,1.051930356,,1,0.037941751
A172 WT,miR-544-uc.110,0.807864387,*,0.810996222,0.006185658,2,1,,1835,1886,1562,,0.8334595,0.85662377,0.709462528,,0.7998486,0.045685071
A172 WT,miR-SCR-MFRP,1.014134045,,1,0.007147828,3,1,,2193,2151,1877,2073.666667,1.057547018,1.03729304,0.905159942,,1,0.047779122
A172 WT,miR-SCR-MFRP,0.994789292,,1,0.007147828,3,1,,1750,1589,1809,,0.843915769,0.766275518,0.872367787,,0.827519691,0.031704447
A172 WT,miR-SCR-MFRP,0.991076663,,1,0.007147828,3,1,,,,,,,,,,,
A172 WT,miR-544-MFRP,0.86093923,*,0.850843483,0.02240576,4,1,,19160,19803,16740,18567.66667,1.031901334,1.066531426,0.901567241,,1,0.050221399
A172 WT,miR-544-MFRP,0.88360581,*,0.850843483,0.02240576,4,1,,17851,18444,17970,,0.961402438,0.993339676,0.967811428,,0.974184514,0.009754639
A172 WT,miR-544-MFRP,0.80798541,*,0.850843483,0.02240576,4,1,,18250,19370,17920,18513.33333,0.985776017,1.046272956,0.967951026,,1,0.023701775
A172 MUT,miR-SCR-uc.110,1.031901334,,1,0.050221399,1,2,,19096,18305,19587,,1.031472812,0.988746849,1.057994238,,1.0260713,0.020171618
A172 MUT,miR-SCR-uc.110,1.066531426,,1,0.050221399,1,2,,,,,,,,,,,
A172 MUT,miR-SCR-uc.110,0.901567241,,1,0.050221399,1,2,,19287,20704,18322,19437.66667,0.992248727,1.065148423,0.94260285,,1,0.035587526
A172 MUT,miR-544-uc.110,0.961402438,,0.974184514,0.009754639,2,2,,19078,19287,19284,,0.981496407,0.992248727,0.992094387,,0.988613174,0.003558662
A172 MUT,miR-544-uc.110,0.993339676,,0.974184514,0.009754639,2,2,,20301,21685,23927,21971,0.923990715,0.986982841,1.089026444,,1,0.048084241
A172 MUT,miR-544-uc.110,0.967811428,,0.974184514,0.009754639,2,2,,21952,21068,22496,,0.999135224,0.958900369,1.023895134,,0.993976909,0.018938814
A172 MUT,miR-SCR-MFRP,0.985776017,,1,0.023701775,3,2,,,,,,,,,,,
A172 MUT,miR-SCR-MFRP,1.046272956,,1,0.023701775,3,2,,,,,,,,,,,
A172 MUT,miR-SCR-MFRP,0.967951026,,1,0.023701775,3,2,,,,,,,,,,,
