CellLine,Sample,Order,R1,R2,R3,R4,R5,R6,R7,R8,MEAN,SE,SIG
U251,LV-PCDH si-SCR,1,1.340619308,1.329690346,0.859744991,1.267759563,0.64845173,0.765027322,0.947176685,0.841530055,1,0.096620138,
U251,LV-PCDH si-uc.110-2,2,0.681238616,1.041894353,0.491803279,0.743169399,0.630236794,0.466302368,0.79417122,1.089253188,0.742258652,0.08106816,*
U251,LV-PCDH miR-544,3,0.961748634,1.009107468,0.480874317,0.692167577,0.867030965,0.79417122,0.954462659,0.677595628,0.804644809,0.06360504,
U251,LV-uc.110 si-SCR,4,1.486338798,1.213114754,1.213114754,1.701275046,1.486338798,1.209471767,1.737704918,1.030965392,1.384790528,0.090653299,
U251,LV-uc.110 si-uc.110-2,5,2.149362477,0.928961749,1.256830601,1.27140255,0.775956284,1.234972678,1.111111111,1.453551913,1.27276867,0.146015081,
U251,LV-uc.110 miR-544,6,1.300546448,1.063752277,1.282331512,0.892531876,1.799635701,0.877959927,0.990892532,0.870673953,1.134790528,0.112712047,
A172,LV-PCDH si-SCR,1,1.175730337,0.970786517,1.13258427,1.387865169,0.722696629,0.906067416,0.762247191,0.942022472,1,0.078531254,
A172,LV-PCDH si-uc.110-2,2,0.560898876,0.841348315,0.593258427,0.873707865,0.323595506,0.542921348,1.474157303,0.607640449,0.727191011,0.123142318,*
A172,LV-PCDH miR-544,3,0.783820225,0.693932584,0.985168539,0.553707865,0.355955056,0.417078652,0.895280899,0.708314607,0.674157303,0.078040459,*
A172,LV-uc.110 si-SCR,4,1.697078652,1.413033708,1.725842697,1.258426966,1.697078652,1.413033708,1.725842697,1.258426966,1.523595506,0.074050801,
A172,LV-uc.110 si-uc.110-2,5,0.913258427,1.193707865,0.949213483,1.495730337,0.913258427,1.193707865,0.949213483,1.495730337,1.137977528,0.088079404,
A172,LV-uc.110 miR-544,6,1.973932584,0.963595506,1.229662921,0.791011236,1.973932584,0.963595506,1.229662921,0.791011236,1.239550562,0.170791586,
