CellLine,Gene,Sample,FC,n,stderr,pvalue,order,order2,Color
U251 (Day 5),LV-pCDH,si-SCR,1,4,0.117246575,,1,1,#F8766D
U251 (Day 5),LV-pCDH,si-uc.110-1,0.735833333,4,0.052513226,,2,1,#0CB702
U251 (Day 5),LV-pCDH,si-uc.110-2,0.584166667,4,0.05059141,*,3,1,#00A9FF
U251 (Day 5),LV-uc.110,si-SCR,1.114978612,4,0.134574379,,4,2,#E68613
U251 (Day 5),LV-uc.110,si-uc.110-1,0.905670152,4,0.084143887,,5,2,#7CAE00
U251 (Day 5),LV-uc.110,si-uc.110-2,0.999881179,4,0.08577104,,6,2,#00BFC4
A172 (Day 7),LV-pCDH,si-SCR,1,10,0.065427819,,1,1,#F8766D
A172 (Day 7),LV-pCDH,si-uc.110-1,0.273,12,0.080798298,*,2,1,#0CB702
A172 (Day 7),LV-pCDH,si-uc.110-2,0.235,12,0.053961638,*,3,1,#00A9FF
A172 (Day 7),LV-uc.110,si-SCR,1.287,12,0.138849519,,4,2,#E68613
A172 (Day 7),LV-uc.110,si-uc.110-1,0.928,12,0.186244918,,5,2,#7CAE00
A172 (Day 7),LV-uc.110,si-uc.110-2,0.697,12,0.143006254,,6,2,#00BFC4
