Sample,Order,FoldChange,n,stdev,stderr,pvalue
ASTRO,1,-0.115771679,6,0.693774646,0.283232313,
A172,2,4.479147825,9,0.485889317,0.161963106,*
U1242,3,1.684826415,9,1.23178693,0.410595643,
U251,4,1.682129828,6,0.618396084,0.252459144,
U373,5,1.462156633,6,1.381800646,0.564117751,
U87,6,-3.505877416,9,2.000772034,0.666924011,
T98G,7,1.966583968,6,1.382909976,0.564570634,
GSC-11,8,-1.249608774,6,0.734540668,0.299874972,
GSC-20,9,-3.605625863,6,0.791090949,0.322961528,
GSC-28,10,-3.986092332,6,0.784449637,0.320250223,
GSC-34,11,8.228041499,6,0.154283004,0.062985773,*
GSC-206,12,1.402541119,6,0.215997565,0.088180637,
GSC-262,13,0.957015048,6,0.136093584,0.055559973,
GSC-295,14,-2.432432426,6,1.328935337,0.542535579,
GSC-827,15,0.663884148,6,0.610956984,0.249422144,
