Sample,siRNA,Day,Count,Color
A172,si-SCR,0,46000,#F8766D
A172,si-SCR,0,49000,#F8766D
A172,si-SCR,0,55000,#F8766D
A172,si-SCR,0,28000,#F8766D
A172,si-SCR,0,56000,#F8766D
A172,si-SCR,3,87000,#F8766D
A172,si-SCR,3,62000,#F8766D
A172,si-SCR,3,62000,#F8766D
A172,si-SCR,3,74000,#F8766D
A172,si-SCR,3,56000,#F8766D
A172,si-SCR,3,25000,#F8766D
A172,si-SCR,3,18000,#F8766D
A172,si-SCR,3,32000,#F8766D
A172,si-SCR,3,62000,#F8766D
A172,si-SCR,3,68000,#F8766D
A172,si-SCR,3,75000,#F8766D
A172,si-SCR,3,42000,#F8766D
A172,si-SCR,3,27000,#F8766D
A172,si-SCR,3,28000,#F8766D
A172,si-SCR,3,37000,#F8766D
A172,si-SCR,3,32000,#F8766D
A172,si-SCR,5,318000,#F8766D
A172,si-SCR,5,174000,#F8766D
A172,si-SCR,5,268000,#F8766D
A172,si-SCR,5,228000,#F8766D
A172,si-SCR,5,30000,#F8766D
A172,si-SCR,5,28000,#F8766D
A172,si-SCR,5,82000,#F8766D
A172,si-SCR,5,66000,#F8766D
A172,si-SCR,5,160000,#F8766D
A172,si-SCR,5,104000,#F8766D
A172,si-SCR,5,168000,#F8766D
A172,si-SCR,5,80000,#F8766D
A172,si-SCR,5,40000,#F8766D
A172,si-SCR,5,24000,#F8766D
A172,si-SCR,5,64000,#F8766D
A172,si-SCR,5,32000,#F8766D
A172,si-SCR,7,312000,#F8766D
A172,si-SCR,7,272000,#F8766D
A172,si-SCR,7,236000,#F8766D
A172,si-SCR,7,164000,#F8766D
A172,si-SCR,7,172000,#F8766D
A172,si-SCR,7,164000,#F8766D
A172,si-SCR,7,148000,#F8766D
A172,si-SCR,7,140000,#F8766D
U251,si-SCR,0,45500,#F8766D
U251,si-SCR,0,53000,#F8766D
U251,si-SCR,0,43500,#F8766D
U251,si-SCR,3,99000,#F8766D
U251,si-SCR,3,107000,#F8766D
U251,si-SCR,3,131000,#F8766D
U251,si-SCR,3,141000,#F8766D
U251,si-SCR,3,27000,#F8766D
U251,si-SCR,3,39000,#F8766D
U251,si-SCR,3,37000,#F8766D
U251,si-SCR,3,51000,#F8766D
U251,si-SCR,5,172000,#F8766D
U251,si-SCR,5,224000,#F8766D
U251,si-SCR,5,288000,#F8766D
U251,si-SCR,5,388000,#F8766D
U251,si-SCR,5,96000,#F8766D
U251,si-SCR,5,120000,#F8766D
U251,si-SCR,5,184000,#F8766D
U251,si-SCR,5,184000,#F8766D
A172,si-uc.110-1,0,43500,#0CB702
A172,si-uc.110-1,0,46000,#0CB702
A172,si-uc.110-1,0,49000,#0CB702
A172,si-uc.110-1,0,55000,#0CB702
A172,si-uc.110-1,0,28000,#0CB702
A172,si-uc.110-1,0,56000,#0CB702
A172,si-uc.110-1,3,78000,#0CB702
A172,si-uc.110-1,3,93000,#0CB702
A172,si-uc.110-1,3,82000,#0CB702
A172,si-uc.110-1,3,79000,#0CB702
A172,si-uc.110-1,3,21000,#0CB702
A172,si-uc.110-1,3,34000,#0CB702
A172,si-uc.110-1,3,36000,#0CB702
A172,si-uc.110-1,3,45000,#0CB702
A172,si-uc.110-1,3,61000,#0CB702
A172,si-uc.110-1,3,59000,#0CB702
A172,si-uc.110-1,3,42000,#0CB702
A172,si-uc.110-1,3,43000,#0CB702
A172,si-uc.110-1,3,51000,#0CB702
A172,si-uc.110-1,3,42000,#0CB702
A172,si-uc.110-1,3,44000,#0CB702
A172,si-uc.110-1,3,46000,#0CB702
A172,si-uc.110-1,5,98000,#0CB702
A172,si-uc.110-1,5,160000,#0CB702
