CellLine,Gene,Sample,FC,n,stderr,pvalue,order,order2,Color
A172 (Day 5),uc.110,SCR,1,6,0.054246,*,1,1,#F8766D
A172 (Day 5),uc.110,si-uc.110-2,0.32980226,3,0.187832704,*,2,1,#00A9FF
A172 (Day 5),uc.110,miR-544,0.672149,6,0.049673,*,3,1,#E68613
A172 (Day 5),MFRP,SCR,1,3,0.074799219,*,1,2,#F8766D
A172 (Day 5),MFRP,si-uc.110-2,0.109889372,3,0.012201597,*,2,2,#00A9FF
A172 (Day 5),MFRP,miR-544,0.040443091,3,0.006784197,*,3,2,#E68613
U251 (Day 5),uc.110,SCR,1,6,0.144269,,1,1,#F8766D
U251 (Day 5),uc.110,si-uc.110-2,0.510489387,3,0.038628577,,2,1,#00A9FF
U251 (Day 5),uc.110,miR-544,0.774335,6,0.133691,,3,1,#E68613
U251 (Day 5),MFRP,SCR,1,3,0.128141361,,1,2,#F8766D
U251 (Day 5),MFRP,si-uc.110-2,0.965641514,3,0.056581147,,2,2,#00A9FF
U251 (Day 5),MFRP,miR-544,0.925412785,3,0.044567958,,3,2,#E68613
