dex,FC,Fill
Astrocytes,0.249930617,#CAC4C4
Astrocytes,-0.507128504,#CAC4C4
Astrocytes,-0.249930617,#CAC4C4
Astrocytes,0.664534819,#CAC4C4
Astrocytes,-1.232347937,#CAC4C4
Astrocytes,0.380311548,#CAC4C4
Cell Line - GSC,-0.994562491,#54BB44
Cell Line - GSC,-2.549012042,#54BB44
Cell Line - GSC,-1.62577128,#54BB44
Cell Line - GSC,-0.97340026,#54BB44
Cell Line - GSC,-0.866846162,#54BB44
Cell Line - GSC,-0.488060409,#54BB44
Cell Line - GSC,-3.733836804,#54BB44
Cell Line - GSC,-4.638694379,#54BB44
Cell Line - GSC,-4.096554801,#54BB44
Cell Line - GSC,-3.118097007,#54BB44
Cell Line - GSC,-2.356757394,#54BB44
Cell Line - GSC,-3.689814784,#54BB44
Cell Line - GSC,-4.330702306,#54BB44
Cell Line - GSC,-4.173993785,#54BB44
Cell Line - GSC,-3.974837839,#54BB44
Cell Line - GSC,-2.709709796,#54BB44
Cell Line - GSC,-3.653599928,#54BB44
Cell Line - GSC,-5.07371033,#54BB44
Cell Line - GSC,8.166228892,#54BB44
Cell Line - GSC,8.180960287,#54BB44
Cell Line - GSC,8.00922318,#54BB44
Cell Line - GSC,8.473427098,#54BB44
Cell Line - GSC,8.241869715,#54BB44
Cell Line - GSC,8.296539821,#54BB44
Cell Line - GSC,1.674299342,#54BB44
Cell Line - GSC,1.233729745,#54BB44
Cell Line - GSC,1.533671154,#54BB44
Cell Line - GSC,1.414029292,#54BB44
Cell Line - GSC,1.075495565,#54BB44
Cell Line - GSC,1.484021614,#54BB44
Cell Line - GSC,0.874171136,#54BB44
Cell Line - GSC,1.019148106,#54BB44
Cell Line - GSC,0.764343165,#54BB44
Cell Line - GSC,1.046610633,#54BB44
Cell Line - GSC,1.139474447,#54BB44
Cell Line - GSC,0.898342803,#54BB44
Cell Line - GSC,-3.656267196,#54BB44
Cell Line - GSC,-3.25065248,#54BB44
Cell Line - GSC,-3.945483047,#54BB44
Cell Line - GSC,-1.391728478,#54BB44
Cell Line - GSC,-0.920677487,#54BB44
Cell Line - GSC,-1.429785861,#54BB44
Cell Line - GSC,0.310522473,#54BB44
Cell Line - GSC,-0.097312351,#54BB44
Cell Line - GSC,0.40836922,#54BB44
Cell Line - GSC,0.926025977,#54BB44
Cell Line - GSC,1.672984671,#54BB44
Cell Line - GSC,0.762714898,#54BB44
