gene,annot
AMER1,TumorSuppressor
APC,TumorSuppressor
ASXL1,TumorSuppressor
ATM,TumorSuppressor
BLM,TumorSuppressor
BMPR1A,TumorSuppressor
BRCA1,TumorSuppressor
BRCA2,TumorSuppressor
BRIP1,TumorSuppressor
BUB1B,TumorSuppressor
CBLB,TumorSuppressor
CBLC,TumorSuppressor
CDC73,TumorSuppressor
CDH1,TumorSuppressor
CDKN2A,TumorSuppressor
CDKN2C,TumorSuppressor
CHEK2,TumorSuppressor
CYLD,TumorSuppressor
DDB2,TumorSuppressor
DICER1,TumorSuppressor
EP300,TumorSuppressor
ERCC2,TumorSuppressor
ERCC3,TumorSuppressor
ERCC4,TumorSuppressor
ERCC5,TumorSuppressor
EXT1,TumorSuppressor
EXT2,TumorSuppressor
FANCA,TumorSuppressor
FANCC,TumorSuppressor
FANCD2,TumorSuppressor
FANCE,TumorSuppressor
FANCF,TumorSuppressor
FANCG,TumorSuppressor
FAS,TumorSuppressor
FBXW7,TumorSuppressor
FH,TumorSuppressor
GATA3,TumorSuppressor
HNF1A,TumorSuppressor
KDM5C,TumorSuppressor
KDM6A,TumorSuppressor
KLF6,TumorSuppressor
MAP2K4,TumorSuppressor
MEN1,TumorSuppressor
MLH1,TumorSuppressor
MSH2,TumorSuppressor
MSH6,TumorSuppressor
MUTYH,TumorSuppressor
NBN,TumorSuppressor
NF1,TumorSuppressor
NF2,TumorSuppressor
PALB2,TumorSuppressor
PHOX2B,TumorSuppressor
PIK3R1,TumorSuppressor
PMS1,TumorSuppressor
PMS2,TumorSuppressor
PRF1,TumorSuppressor
PTCH1,TumorSuppressor
PTEN,TumorSuppressor
RB1,TumorSuppressor
RECQL4,TumorSuppressor
SBDS,TumorSuppressor
SDHAF2,TumorSuppressor
SDHB,TumorSuppressor
SDHC,TumorSuppressor
SDHD,TumorSuppressor
SETD2,TumorSuppressor
SMAD4,TumorSuppressor
SMARCA4,TumorSuppressor
SMARCB1,TumorSuppressor
SOCS1,TumorSuppressor
STK11,TumorSuppressor
SUFU,TumorSuppressor
TET2,TumorSuppressor
TNFAIP3,TumorSuppressor
TP53,TumorSuppressor
TSC1,TumorSuppressor
TSC2,TumorSuppressor
VHL,TumorSuppressor
WRN,TumorSuppressor
WT1,TumorSuppressor
XPA,TumorSuppressor
XPC,TumorSuppressor
ABI1,Oncogene
ABL1,Oncogene
ABL2,Oncogene
ACKR3,Oncogene
