SAMPID	SMTSD
GTEX-1117F-3226-SM-5N9CT	Cortex
GTEX-111FC-3126-SM-5GZZ2	Cortex
GTEX-1128S-2726-SM-5H12C	Cortex
GTEX-117XS-3026-SM-5N9CA	Cortex
GTEX-1192X-3126-SM-5N9BY	Cortex
GTEX-11DXW-1126-SM-5H12Q	Cortex
GTEX-11DXY-3226-SM-5GIDE	Cortex
GTEX-11EI6-3026-SM-5GZZO	Cortex
GTEX-11EMC-3226-SM-5EGKW	Cortex
GTEX-11GS4-3126-SM-5A5LH	Cortex
GTEX-11GSO-2926-SM-5HL73	Cortex
GTEX-11GSP-3226-SM-5986O	Cortex
GTEX-11NUK-2926-SM-5A5MD	Cortex
GTEX-11NV4-2126-SM-5N9DS	Cortex
GTEX-11O72-2926-SM-5BC4V	Cortex
GTEX-11OC5-0726-SM-5P9JK	Cortex
GTEX-11OF3-2926-SM-5HL78	Cortex
GTEX-11ONC-2926-SM-5P9JM	Cortex
GTEX-11PRG-2926-SM-5987A	Cortex
GTEX-11TTK-2926-SM-5PNYP	Cortex
GTEX-11WQK-3026-SM-5EQL6	Cortex
GTEX-11ZUS-2926-SM-5FQSL	Cortex
GTEX-12126-1026-SM-5P9JJ	Cortex
GTEX-12WSA-2926-SM-5EQ4D	Cortex
GTEX-12WSC-3026-SM-5GCNF	Cortex
GTEX-12WSD-3126-SM-5HL7P	Cortex
GTEX-12WSF-3126-SM-6M478	Cortex
GTEX-12WSH-3026-SM-5CVNI	Cortex
GTEX-12ZZW-2926-SM-5LZUP	Cortex
GTEX-12ZZX-2926-SM-5GCOQ	Cortex
GTEX-12ZZY-3026-SM-5GCOU	Cortex
GTEX-12ZZZ-3026-SM-5BC67	Cortex
GTEX-1313W-3126-SM-5LZUI	Cortex
GTEX-131XW-3126-SM-5LZUC	Cortex
GTEX-131YS-3126-SM-5KLYT	Cortex
GTEX-132Q8-3026-SM-5PNVG	Cortex
GTEX-1399T-3026-SM-5KLZC	Cortex
GTEX-139T8-1026-SM-5J2MC	Cortex
GTEX-13FHO-3026-SM-5J1O9	Cortex
GTEX-13FHP-3026-SM-5IJBS	Cortex
GTEX-13FLW-1426-SM-5K7YE	Cortex
GTEX-13FXS-3126-SM-5J2NN	Cortex
GTEX-13G51-3026-SM-5IJB8	Cortex
GTEX-13IVO-2926-SM-5L3CZ	Cortex
GTEX-13JUV-2926-SM-5LZX7	Cortex
GTEX-13JVG-3126-SM-5L3FH	Cortex
GTEX-13NYB-3026-SM-5IJD7	Cortex
GTEX-13NYC-2826-SM-5K7WR	Cortex
GTEX-13NYS-3126-SM-5KLYV	Cortex
GTEX-13O3O-3126-SM-5KM3H	Cortex
GTEX-13O3Q-2926-SM-5KM45	Cortex
GTEX-13OVH-3026-SM-5MR4N	Cortex
GTEX-13OVJ-2826-SM-5L3GW	Cortex
GTEX-13OW6-3026-SM-5J2MI	Cortex
GTEX-13OW7-3026-SM-5L3GY	Cortex
GTEX-13OW8-2826-SM-5L3GC	Cortex
GTEX-13PL6-3126-SM-5LUAR	Cortex
GTEX-13PVQ-3026-SM-5SI93	Cortex
GTEX-13QIC-2926-SM-5J2NF	Cortex
GTEX-13S7M-3126-SM-5RQJQ	Cortex
GTEX-13SLX-3126-SM-5S2Q5	Cortex
GTEX-13VXU-2926-SM-5LU5C	Cortex
GTEX-13X6J-3026-SM-5Q5CU	Cortex
GTEX-13X6K-2926-SM-5Q5D5	Cortex
GTEX-1445S-3026-SM-5O9BR	Cortex
GTEX-144FL-3026-SM-5O99C	Cortex
GTEX-144GL-3026-SM-5Q5CW	Cortex
GTEX-145LS-3126-SM-5Q5BY	Cortex
GTEX-145MF-2726-SM-5O995	Cortex
GTEX-145MG-3026-SM-5RQJA	Cortex
GTEX-145MH-3026-SM-5Q5DZ	Cortex
GTEX-147GR-3026-SM-5S2ML	Cortex
GTEX-14A5I-2926-SM-5Q5CQ	Cortex
GTEX-14ASI-3026-SM-5S2PN	Cortex
GTEX-14BIL-3026-SM-7EWD4	Cortex
GTEX-14BIM-3026-SM-7EWCY	Cortex
GTEX-14BIN-3226-SM-62LDR	Cortex
GTEX-14BMV-3026-SM-5S2PQ	Cortex
GTEX-14C39-3126-SM-5ZZW6	Cortex
GTEX-14C5O-3026-SM-5YYB2	Cortex
GTEX-14DAQ-3126-SM-62LDS	Cortex
GTEX-14JG1-3026-SM-5YYAA	Cortex
GTEX-14JIY-2926-SM-69LPT	Cortex
GTEX-14LZ3-3026-SM-5ZZVU	Cortex
GTEX-14PJM-3126-SM-6EU2R	Cortex
GTEX-15DCD-2926-SM-7KULT	Cortex
GTEX-15EO6-3026-SM-7KUMA	Cortex
GTEX-15ER7-3126-SM-7KUGH	Cortex
GTEX-15G19-2926-SM-7KUFL	Cortex
GTEX-15RJE-3026-SM-7KUM1	Cortex
GTEX-15SHU-3126-SM-6M46H	Cortex
GTEX-15UF6-3026-SM-7KUKL	Cortex
GTEX-16GPK-3026-SM-79ON9	Cortex
GTEX-16XZZ-3026-SM-79OMJ	Cortex
GTEX-16YQH-3026-SM-79OMM	Cortex
GTEX-16Z82-3026-SM-79ON3	Cortex
GTEX-17EVP-3026-SM-7IGQL	Cortex
GTEX-17EVQ-2826-SM-7IGQK	Cortex
GTEX-17F97-3026-SM-79OKC	Cortex
GTEX-17HG3-2926-SM-79ON8	Cortex
GTEX-17HHY-3026-SM-79OKP	Cortex
GTEX-17HII-3026-SM-7EWFM	Cortex
GTEX-17JCI-3126-SM-7LTA2	Cortex
GTEX-17MF6-2926-SM-7LTAW	Cortex
GTEX-183WM-2826-SM-731C2	Cortex
GTEX-18465-3026-SM-7LG6Y	Cortex
GTEX-18A6Q-2926-SM-718AR	Cortex
GTEX-1A3MX-3026-SM-731BF	Cortex
GTEX-1A8G6-2926-SM-731CK	Cortex
GTEX-1A8G7-3126-SM-7IGP7	Cortex
GTEX-1AX9I-3026-SM-73KUH	Cortex
GTEX-1B8L1-3026-SM-7EPHK	Cortex
GTEX-1B8SF-3126-SM-73KU1	Cortex
GTEX-1B8SG-1726-SM-73KXK	Cortex
GTEX-1B933-3126-SM-7P8RL	Cortex
GTEX-1C64N-3026-SM-7MGVU	Cortex
GTEX-1C6VQ-3026-SM-7IGPU	Cortex
GTEX-1C6VS-3026-SM-79OLA	Cortex
GTEX-1C6WA-3026-SM-7P8RQ	Cortex
GTEX-1CAV2-2726-SM-7IGNN	Cortex
GTEX-1CB4H-3126-SM-7IGN4	Cortex
GTEX-1E1VI-3026-SM-7RHHU	Cortex
GTEX-1E2YA-3026-SM-7IGO7	Cortex
GTEX-1EKGG-2926-SM-7EPIH	Cortex
GTEX-1EMGI-3026-SM-7P8P6	Cortex
GTEX-1EN7A-3026-SM-7PBYT	Cortex
GTEX-1EWIQ-3126-SM-7MXTI	Cortex
GTEX-1EX96-3026-SM-7RHH5	Cortex
GTEX-1F48J-2826-SM-7P8R4	Cortex
GTEX-1F52S-3126-SM-7PC3M	Cortex
GTEX-1F6I4-3126-SM-7P8SD	Cortex
