dex,FC,Fill
NHA,0.249930617,#CAC4C4
NHA,-0.507128504,#CAC4C4
NHA,-0.249930617,#CAC4C4
NHA,0.664534819,#CAC4C4
NHA,-1.232347937,#CAC4C4
NHA,0.380311548,#CAC4C4
Cell Line - GBM,4.111549863,#C30223
Cell Line - GBM,4.284924043,#C30223
Cell Line - GBM,5.274981263,#C30223
Cell Line - GBM,4.030277053,#C30223
Cell Line - GBM,4.346700243,#C30223
Cell Line - GBM,4.993161823,#C30223
Cell Line - GBM,3.971915443,#C30223
Cell Line - GBM,4.272578583,#C30223
Cell Line - GBM,5.026242113,#C30223
Cell Line - GBM,0.534303273,#C30223
Cell Line - GBM,1.123426724,#C30223
Cell Line - GBM,3.388102604,#C30223
Cell Line - GBM,0.921863764,#C30223
Cell Line - GBM,0.928331464,#C30223
Cell Line - GBM,3.266630554,#C30223
Cell Line - GBM,0.797544534,#C30223
Cell Line - GBM,0.916887504,#C30223
Cell Line - GBM,3.286347314,#C30223
Cell Line - GBM,1.916892973,#C30223
Cell Line - GBM,2.132023013,#C30223
Cell Line - GBM,2.562046453,#C30223
Cell Line - GBM,1.006449176,#C30223
Cell Line - GBM,1.357451371,#C30223
Cell Line - GBM,1.117915981,#C30223
Cell Line - GBM,2.750210471,#C30223
Cell Line - GBM,2.901534102,#C30223
Cell Line - GBM,2.500921041,#C30223
Cell Line - GBM,0.271481101,#C30223
Cell Line - GBM,0.210334742,#C30223
Cell Line - GBM,0.138458341,#C30223
Cell Line - GBM,-2.097111982,#C30223
Cell Line - GBM,-1.679883742,#C30223
Cell Line - GBM,-5.591801293,#C30223
Cell Line - GBM,-5.591801293,#C30223
Cell Line - GBM,-5.591801293,#C30223
Cell Line - GBM,-2.173100588,#C30223
Cell Line - GBM,-2.062510228,#C30223
Cell Line - GBM,-5.591801293,#C30223
Cell Line - GBM,-1.173085031,#C30223
Cell Line - GBM,3.26166548,#C30223
Cell Line - GBM,3.12036706,#C30223
Cell Line - GBM,3.273475272,#C30223
Cell Line - GBM,0.895001109,#C30223
Cell Line - GBM,0.40643635,#C30223
Cell Line - GBM,0.842558537,#C30223
