CellLine,Gene,Sample,FC,n,stderr,pvalue,order,order2,Color
U251 (Day 3),LV-pCDH,si-SCR,1,3,0.202848169,,1,1,#F8766D
U251 (Day 3),LV-pCDH,si-uc.110-1,0.657269475,3,0.176399975,,2,1,#0CB702
U251 (Day 3),LV-pCDH,si-uc.110-2,0.697392576,3,0.043916417,,3,1,#00A9FF
U251 (Day 3),LV-uc.110,si-SCR,0.98347592,3,0.07938241,,1,2,#E68613
U251 (Day 3),LV-uc.110,si-uc.110-1,0.692557009,3,0.124576633,,2,2,#7CAE00
U251 (Day 3),LV-uc.110,si-uc.110-2,0.844559558,3,0.055946844,,3,2,#00BFC4
A172 (Day 3),LV-pCDH,si-SCR,1,4,0.070126302,,1,1,#F8766D
A172 (Day 3),LV-pCDH,si-uc.110-1,0.455427335,4,0.071525226,*,2,1,#0CB702
A172 (Day 3),LV-pCDH,si-uc.110-2,0.377142543,4,0.108214111,*,3,1,#00A9FF
A172 (Day 3),LV-uc.110,si-SCR,1.046127217,4,0.120202087,,1,2,#E68613
A172 (Day 3),LV-uc.110,si-uc.110-1,0.635715277,4,0.08284994,,2,2,#7CAE00
A172 (Day 3),LV-uc.110,si-uc.110-2,0.517504565,4,0.120782301,*,3,2,#00BFC4
