Sample,Gene,Order,Fraction,Value,stdev,stderr,Ymin,Ymax,pvalue
A172,GAPDH,1,Nuclear,0.038768778,0.029292256,0.016911892,0.021856886,0.05568067,*
U251,GAPDH,2,Nuclear,0.049253351,0.028357265,0.016372075,0.032881276,0.065625426,*
U87,GAPDH,3,Nuclear,0.3997339,0.198351394,0.114518231,0.285215669,0.514252131,*
U1242,GAPDH,4,Nuclear,0.134728274,0.089292855,0.051553254,0.08317502,0.186281528,*
A172,PPIA,5,Nuclear,0.075687824,0.034267513,0.019784358,0.055903466,0.095472182,*
U251,PPIA,6,Nuclear,0.055813804,0.024295346,0.014026925,0.041786879,0.069840729,*
U87,PPIA,7,Nuclear,0.29243633,0.2603249,0.150298651,0.142137679,0.442734981,*
U1242,PPIA,8,Nuclear,0.127218824,0.246496274,0.14231469,0,0.269533514,*
A172,U44,9,Nuclear,0.872916524,0.167253953,0.096564115,0.776352409,0.969480639,*
U251,U44,10,Nuclear,0.98911014,0.488478253,0.282023051,0.707087089,1,*
U87,U44,11,Nuclear,0.933803932,0.052995805,0.030597142,0.90320679,0.964401074,*
U1242,U44,12,Nuclear,0.842921986,0.115289388,0.066562359,0.776359627,0.909484345,*
A172,U48,13,Nuclear,0.946606828,0.147918732,0.08540092,0.861205908,1,*
U251,U48,14,Nuclear,0.968051475,0.133353466,0.076991659,0.891059816,1,*
U87,U48,15,Nuclear,0.948410233,0.317050767,0.183049346,0.765360887,1,*
U1242,U48,16,Nuclear,0.864639487,0.079567324,0.045938216,0.818701271,0.910577703,*
A172,uc.110,17,Nuclear,0.208760951,0.045773802,0.026427517,0.182333434,0.235188468,*
U251,uc.110,18,Nuclear,0.905931633,0.161845488,0.093441536,0.812490097,0.999373169,*
U87,uc.110,19,Nuclear,0.977658212,0.074743301,0.043153065,0.934505147,1,*
U1242,uc.110,20,Nuclear,0.772537739,0.025763375,0.014874491,0.757663248,0.78741223,*
A172,GAPDH,1,Cytosolic,0.961231222,,,,,
U251,GAPDH,2,Cytosolic,0.950746649,,,,,
U87,GAPDH,3,Cytosolic,0.6002661,,,,,
U1242,GAPDH,4,Cytosolic,0.865271726,,,,,
A172,PPIA,5,Cytosolic,0.924312176,,,,,
U251,PPIA,6,Cytosolic,0.944186196,,,,,
U87,PPIA,7,Cytosolic,0.70756367,,,,,
U1242,PPIA,8,Cytosolic,0.872781176,,,,,
A172,U44,9,Cytosolic,0.127083476,,,,,
U251,U44,10,Cytosolic,0.01088986,,,,,
U87,U44,11,Cytosolic,0.066196068,,,,,
U1242,U44,12,Cytosolic,0.157078014,,,,,
A172,U48,13,Cytosolic,0.053393172,,,,,
U251,U48,14,Cytosolic,0.031948525,,,,,
U87,U48,15,Cytosolic,0.051589767,,,,,
U1242,U48,16,Cytosolic,0.135360513,,,,,
A172,uc.110,17,Cytosolic,0.791239049,,,,,
U251,uc.110,18,Cytosolic,0.094068367,,,,,
U87,uc.110,19,Cytosolic,0.022341788,,,,,
U1242,uc.110,20,Cytosolic,0.227462261,,,,,
