dex,FC,Fill
Normal,0.060603718,#CAC4C4
Normal,-1.025130443,#CAC4C4
Normal,0.311167731,#CAC4C4
Normal,-0.960255397,#CAC4C4
Normal,-0.060603719,#CAC4C4
Normal,1.107770264,#CAC4C4
Normal,-1.095893846,#CAC4C4
Normal,0.332769366,#CAC4C4
Tumor,2.77578507,#C30223
Tumor,3.635736055,#C30223
Tumor,3.385939595,#C30223
Tumor,3.317186279,#C30223
Tumor,3.689530033,#C30223
Tumor,3.310249448,#C30223
Tumor,3.772978929,#C30223
Tumor,3.379416136,#C30223
Tumor,3.497790947,#C30223
Tumor,2.77578507,#C30223
Tumor,3.635736055,#C30223
Tumor,3.385939595,#C30223
Tumor,3.317186279,#C30223
Tumor,3.689530033,#C30223
Tumor,3.310249448,#C30223
Tumor,3.772978929,#C30223
Tumor,3.379416136,#C30223
Tumor,3.497790947,#C30223
Tumor,0.38667727,#C30223
Tumor,1.197571364,#C30223
Tumor,0.914513182,#C30223
Tumor,-4.811613701,#C30223
Tumor,2.699608954,#C30223
Tumor,-1.065221389,#C30223
Tumor,0.818098506,#C30223
Tumor,1.871342246,#C30223
Tumor,0.674859577,#C30223
Tumor,1.307114094,#C30223
Tumor,1.645464171,#C30223
Tumor,2.505038938,#C30223
Tumor,2.914199301,#C30223
Tumor,2.628555611,#C30223
Tumor,2.776863239,#C30223
Tumor,4.120814815,#C30223
Tumor,2.045637475,#C30223
Tumor,2.194206611,#C30223
Tumor,4.449992674,#C30223
Tumor,4.690321519,#C30223
Tumor,5.259896386,#C30223
Tumor,4.82981934,#C30223
Tumor,7.226503267,#C30223
Tumor,5.707062548,#C30223
Tumor,6.565841834,#C30223
Tumor,6.5080085,#C30223
Tumor,5.24648687,#C30223
Tumor,0.960048636,#C30223
Tumor,0.707548771,#C30223
Tumor,-2.494626225,#C30223
Tumor,1.246827409,#C30223
Tumor,2.229006049,#C30223
Tumor,0.977370936,#C30223
Tumor,0.952646779,#C30223
Tumor,-0.710424995,#C30223
Tumor,0.567963001,#C30223
Tumor,5.14112101,#C30223
Tumor,4.90920784,#C30223
Tumor,4.171039917,#C30223
Tumor,6.658639814,#C30223
Tumor,4.607843042,#C30223
Tumor,3.910819744,#C30223
Tumor,6.574237379,#C30223
Tumor,4.339309656,#C30223
Tumor,4.003437079,#C30223
Tumor,4.856056298,#C30223
Tumor,4.261441806,#C30223
Tumor,4.293006374,#C30223
Tumor,4.73886963,#C30223
Tumor,4.991568824,#C30223
Tumor,4.369390948,#C30223
Tumor,3.941275885,#C30223
Tumor,4.429249584,#C30223
Tumor,4.439929547,#C30223
Tumor,2.23196198,#C30223
Tumor,2.752423625,#C30223
Tumor,2.610322426,#C30223
Tumor,2.109137908,#C30223
Tumor,2.505373729,#C30223
Tumor,2.874479932,#C30223
Tumor,2.444801591,#C30223
Tumor,3.053981072,#C30223
Tumor,3.06871969,#C30223
Tumor,1.922923277,#C30223
Tumor,2.444764379,#C30223
Tumor,1.826138597,#C30223
Tumor,0.273478451,#C30223
Tumor,2.649063719,#C30223
Tumor,2.376877015,#C30223
Tumor,1.464072246,#C30223
Tumor,1.73614202,#C30223
Tumor,1.049437722,#C30223
Tumor,2.306904522,#C30223
Tumor,1.498533239,#C30223
Tumor,1.810596514,#C30223
Tumor,1.495109451,#C30223
Tumor,0.265150727,#C30223
Tumor,1.782171613,#C30223
Tumor,0.945909265,#C30223
Tumor,2.34158707,#C30223
Tumor,-0.786899765,#C30223
Tumor,3.556294906,#C30223
Tumor,1.547877867,#C30223
Tumor,2.057233098,#C30223
Tumor,3.295748872,#C30223
Tumor,2.245006568,#C30223
Tumor,2.22317486,#C30223
Tumor,3.324985029,#C30223
Tumor,1.6989233,#C30223
Tumor,2.780177298,#C30223
Tumor,3.944402342,#C30223
Tumor,3.430760232,#C30223
Tumor,2.986619632,#C30223
Tumor,4.130589439,#C30223
Tumor,3.051289267,#C30223
Tumor,2.839339988,#C30223
Tumor,4.006199386,#C30223
Tumor,3.266413578,#C30223
Tumor,3.879320671,#C30223
Tumor,3.202224471,#C30223
Tumor,2.185285578,#C30223
Tumor,2.719951603,#C30223
Tumor,2.394037136,#C30223
Tumor,1.701997354,#C30223
Tumor,0.398555619,#C30223
Tumor,3.02710498,#C30223
Tumor,1.308608141,#C30223
Tumor,2.23907569,#C30223
Tumor,1.852144463,#C30223
Tumor,2.971266748,#C30223
Tumor,1.937302911,#C30223
Tumor,0.603931733,#C30223
Tumor,0.172253606,#C30223
Tumor,1.146605691,#C30223
Tumor,1.57912011,#C30223
Tumor,1.640438434,#C30223
Tumor,0.897149715,#C30223
Tumor,1.15055396,#C30223
Tumor,0.952370855,#C30223
Tumor,0.749950449,#C30223
Tumor,-0.882568637,#C30223
Tumor,-2.336363568,#C30223
Tumor,0.759214608,#C30223
Tumor,0.217662491,#C30223
Tumor,1.047532427,#C30223
Tumor,1.067411337,#C30223
Tumor,4.501540188,#C30223
Tumor,4.844041637,#C30223
Tumor,4.047749798,#C30223
Tumor,4.532741183,#C30223
Tumor,4.257707245,#C30223
Tumor,3.779726297,#C30223
Tumor,5.282967762,#C30223
Tumor,5.150998538,#C30223
Tumor,3.829301075,#C30223
Tumor,2.206064189,#C30223
Tumor,2.805657846,#C30223
Tumor,-0.498538881,#C30223
Tumor,1.304263425,#C30223
Tumor,2.721356765,#C30223
Tumor,1.412780539,#C30223
Tumor,3.142953164,#C30223
Tumor,3.109312151,#C30223
Tumor,1.987782727,#C30223
