CellLine,Gene,Sample,FC,n,stderr,pvalue,order,order2,Color
U251 (Day 5),LV-pCDH,si-SCR,1.000231713,9,0.010619931,,1,1,#F8766D
U251 (Day 5),LV-pCDH,si-uc.110-1,0.761340965,9,0.034730544,*,2,1,#0CB702
U251 (Day 5),LV-pCDH,si-uc.110-2,0.563267903,9,0.018145314,*,3,1,#00A9FF
U251 (Day 5),LV-uc.110,si-SCR,1.000286387,9,0.015625105,,4,2,#E68613
U251 (Day 5),LV-uc.110,si-uc.110-1,1.122241027,9,0.036656988,,5,2,#7CAE00
U251 (Day 5),LV-uc.110,si-uc.110-2,0.932496219,9,0.050800825,,6,2,#00BFC4
A172 (Day 5),LV-pCDH,si-SCR,1.001220822,12,0.017856733,,1,1,#F8766D
A172 (Day 5),LV-pCDH,si-uc.110-1,0.713922649,12,0.051839893,*,2,1,#0CB702
A172 (Day 5),LV-pCDH,si-uc.110-2,0.702970808,12,0.034982233,*,3,1,#00A9FF
A172 (Day 5),LV-uc.110,si-SCR,1.001548087,12,0.035876064,,4,2,#E68613
A172 (Day 5),LV-uc.110,si-uc.110-1,1.038785364,12,0.05157381,,5,2,#7CAE00
A172 (Day 5),LV-uc.110,si-uc.110-2,1.064261122,12,0.054203233,,6,2,#00BFC4
