target,driver_citations,oncogene_citations,tumor_suppressor_citations,all_citations,No_driver,role
MYC,642,2014,6,2662,2020,ONC
EGFR,397,1308,7,1712,1315,ONC
RET,35,1250,6,1291,1256,ONC
ABL1,90,1015,1,1106,1016,ONC
TP53,127,162,803,1092,965,TSG
BRAF,250,758,2,1010,760,ONC
ERBB2,173,709,2,884,711,ONC
KRAS,124,708,2,834,710,ONC
KIT,111,522,1,634,523,ONC
PTEN,117,31,463,611,494,TSG
MYCN,119,446,6,571,452,ONC
RB1,5,10,470,485,480,TSG
WT1,0,56,425,481,481,TSG
NRAS,99,286,1,386,287,ONC
ALK,123,236,1,360,237,ONC
CDKN2A,21,67,238,326,305,TSG
MET,13,247,2,262,249,ONC
FOS,2,258,0,260,258,ONC
BRCA1,13,4,218,235,222,TSG
APC,32,12,177,221,189,TSG
BCL2,10,197,6,213,203,ONC
CCND1,10,187,1,198,188,ONC
VHL,4,47,144,195,191,TSG
YAP1,21,149,21,191,170,ONC
AKT1,58,116,6,180,122,ONC
NOTCH1,38,95,41,174,136,ONC/TSG
MYB,7,156,2,165,158,ONC
EWSR1,17,140,2,159,142,ONC
RUNX3,0,18,138,156,156,TSG
CDH1,10,44,97,151,141,ONC/TSG
PIK3CA,53,91,2,146,93,ONC
KLF4,0,44,100,144,144,ONC/TSG
HRAS,19,118,0,137,118,ONC
STAT3,14,103,13,130,116,ONC
ROS1,25,97,2,124,99,ONC
EZH2,19,80,24,123,104,ONC
BCR,23,96,3,122,99,ONC
GLI1,5,114,1,120,115,ONC
SHH,80,35,0,115,35,ONC
SRC,10,104,1,115,105,ONC
JUN,2,107,0,109,107,ONC
BCL6,1,85,1,87,86,ONC
STK11,15,9,63,87,72,TSG
RASSF1,0,2,83,85,85,TSG
CTNNB1,6,77,0,83,77,ONC
PML,3,39,41,83,80,ONC/TSG
NF1,23,9,49,81,58,TSG
PDGFRA,39,38,0,77,38,ONC
SOX2,2,70,4,76,74,ONC
HGF,10,64,0,74,64,ONC
MARK2,0,73,0,73,73,ONC
MITF,12,58,2,72,60,ONC
SMAD4,3,9,60,72,69,TSG
MEN1,1,18,52,71,70,ONC/TSG
LMO2,4,64,0,68,64,ONC
MTDH,2,65,1,68,66,ONC
CDKN1A,0,34,32,66,66,ONC/TSG
MDM2,1,63,2,66,65,ONC
TAZ,11,54,1,66,55,ONC
ERG,10,54,0,64,54,ONC
RUNX1,4,31,28,63,59,ONC/TSG
BRCA2,2,2,58,62,60,TSG
EGF,12,50,0,62,50,ONC
FOXM1,5,53,4,62,57,ONC
CD274,4,57,0,61,57,ONC
CADM1,0,1,57,58,58,TSG
MTOR,12,41,3,56,44,ONC
PDGFB,28,26,2,56,28,ONC
NTRK1,4,49,2,55,51,ONC
AR,38,12,4,54,16,ONC
VEGFA,19,30,4,53,34,ONC
NF2,5,6,39,50,45,TSG
NFKB1,0,47,2,49,49,ONC
SYK,5,12,32,49,44,ONC/TSG
TERT,5,43,1,49,44,ONC
FHIT,0,20,27,47,47,ONC/TSG
PTTG1,0,47,0,47,47,ONC
CSF1R,1,45,0,46,45,ONC
TAL1,6,40,0,46,40,ONC
ARID1A,6,8,31,45,39,TSG
WWOX,1,3,41,45,44,TSG
BAP1,5,0,39,44,39,TSG
FOXP1,0,32,12,44,44,ONC/TSG
KLF6,0,1,43,44,44,TSG
CDK16,0,43,0,43,43,ONC
PTCH1,6,20,17,43,37,ONC/TSG
