CellLine,Gene,Sample,FC,n,stderr,pvalue,order,order2,Color
A172,uc.110,SCR,1,6,0.054246,,1,1,#F8766D
A172,uc.110,si-uc.110-2,0.331980406,3,0.015809848,*,2,1,#00A9FF
A172,uc.110,miR-544,0.672149,6,0.049673,*,3,1,#E68613
A172,MFRP,SCR,1,3,0.038003066,,1,2,#F8766D
A172,MFRP,si-uc.110-2,0.484455767,3,0.068579746,*,2,2,#00A9FF
A172,MFRP,miR-544,0.667165828,3,0.086783681,*,3,2,#E68613
U251,uc.110,SCR,1,6,0.104269,,1,1,#F8766D
U251,uc.110,si-uc.110-2,0.208267326,6,0.112194121,*,2,1,#00A9FF
U251,uc.110,miR-544,0.774335,6,0.123691,,3,1,#E68613
U251,MFRP,SCR,1,3,0.048141361,,1,2,#F8766D
U251,MFRP,si-uc.110-2,0.710767451,6,0.098717692,,2,2,#00A9FF
U251,MFRP,miR-544,0.733708776,6,0.080646088,,3,2,#E68613
