id,counts
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-02-0047-01A-01R-1849-01,95083300
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-02-0055-01A-01R-1849-01,110805901
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-02-2483-01A-01R-1849-01,128010488
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-02-2485-01A-01R-1849-01,113081616
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-02-2486-01A-01R-1849-01,102129099
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0125-01A-01R-1849-01,131047704
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0125-02A-11R-2005-01,112013636
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0129-01A-01R-1849-01,134554558
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0130-01A-01R-1849-01,111926132
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0132-01A-02R-1849-01,106323168
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0138-01A-02R-1849-01,97747460
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0139-01A-01R-1849-01,31996133
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0141-01A-01R-1849-01,134179128
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0152-02A-01R-2005-01,123844639
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0157-01A-01R-1849-01,122991996
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0158-01A-01R-1849-01,129224421
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0168-01A-01R-1849-01,28375731
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0171-02A-11R-2005-01,129020478
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0174-01A-01R-1849-01,110547002
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0184-01A-01R-1849-01,121831876
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0187-01A-01R-1849-01,118820161
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0190-01A-01R-1849-01,102258990
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0190-02A-01R-2005-01,112171672
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0210-01A-01R-1849-01,126609416
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0210-02A-01R-2005-01,122646765
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0211-01A-01R-1849-01,117826000
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0211-01B-01R-1849-01,127523552
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0211-02A-02R-2005-01,107885196
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0219-01A-01R-1849-01,119485117
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0221-02A-11R-2005-01,110242674
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0238-01A-02R-1849-01,122924926
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0644-01A-02R-1849-01,120857928
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0645-01A-01R-1849-01,112160510
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0646-01A-01R-1849-01,112689313
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0649-01B-01R-1849-01,99660603
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0675-11A-32R-A36H-07,131307681
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0678-11A-32R-A36H-07,121471720
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0680-11A-32R-A36H-07,142992591
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0681-11A-41R-A36H-07,132750661
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0686-01A-01R-1849-01,55467218
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0743-01A-01R-1849-01,115776714
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0744-01A-01R-1849-01,115679622
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0745-01A-01R-1849-01,144120198
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0747-01A-01R-1849-01,128514924
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0749-01A-01R-1849-01,111143619
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0750-01A-01R-1849-01,119435498
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0878-01A-01R-1849-01,53202874
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-0882-01A-01R-1849-01,119700467
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-1804-01A-01R-1849-01,133419812
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-2557-01A-01R-1849-01,131351018
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-2558-01A-01R-1849-01,105915089
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-2559-01A-01R-1849-01,104436840
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-2561-01A-02R-1849-01,106592802
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-2562-01A-01R-1849-01,119880544
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-2563-01A-01R-1849-01,110099131
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-2564-01A-01R-1849-01,127731090
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-2565-01A-01R-1849-01,124449608
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-2567-01A-01R-1849-01,123307158
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-2569-01A-01R-1849-01,115646132
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-2570-01A-01R-1849-01,114173055
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5408-01A-01R-1849-01,123203619
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5410-01A-01R-1849-01,134895825
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5411-01A-01R-1849-01,134373455
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5412-01A-01R-1849-01,121916912
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5413-01A-01R-1849-01,119978551
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5414-01A-01R-1849-01,136328431
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5416-01A-01R-1849-01,77852174
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5417-01A-01R-1849-01,29275482
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5418-01A-01R-1849-01,119575935
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5856-01A-01R-1849-01,120857953
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5858-01A-01R-1849-01,121588812
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-5859-01A-01R-1849-01,127917677
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-06-AABW-11A-31R-A36H-07,115254500
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-08-0386-01A-01R-1849-01,114671062
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-12-0616-01A-01R-1849-01,79772303
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-12-0618-01A-01R-1849-01,142848836
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-12-0619-01A-01R-1849-01,131693587
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-12-0821-01A-01R-1849-01,117111872
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-12-1597-01B-01R-1849-01,104767915
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-12-3650-01A-01R-1849-01,65230022
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-12-3652-01A-01R-1849-01,98731132
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-12-3653-01A-01R-1849-01,74925670
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-12-5295-01A-01R-1849-01,95980634
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-12-5299-01A-02R-1849-01,129086990
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-0736-02A-01R-2005-01,65388582
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-0781-01B-01R-1849-01,139372342
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-0787-01A-01R-1849-01,70397846
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-0789-01A-01R-1849-01,90876147
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-0790-01B-01R-1849-01,77972776
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-0817-01A-01R-1849-01,111971331
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-0871-01A-01R-1849-01,21005413
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-1034-01A-01R-1849-01,83123395
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-1034-02B-01R-2005-01,75849443
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-1402-02A-01R-2005-01,95849129
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-1823-01A-01R-1849-01,90231091
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-1825-01A-01R-1850-01,32673189
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-1829-01A-01R-1850-01,100047204
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-14-2554-01A-01R-1850-01,124543777
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-15-0742-01A-01R-1850-01,105332570
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-15-1444-01A-02R-1850-01,137247406
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-16-0846-01A-01R-1850-01,105709795
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-16-1045-01B-01R-1850-01,91769085
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-0957-02A-11R-2005-01,111975955
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-1389-02A-21R-2005-01,106154661
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-1390-01A-01R-1850-01,137703254
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-1787-01B-01R-1850-01,130034745
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-2619-01A-01R-1850-01,136256136
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-2620-01A-01R-1850-01,70610297
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-2624-01A-01R-1850-01,145056260
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-2625-01A-01R-1850-01,131721993
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-2629-01A-01R-1850-01,130404696
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-4065-01A-01R-2005-01,134060662
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-4065-02A-11R-2005-01,103795508
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-19-5960-01A-11R-1850-01,127527030
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-26-1442-01A-01R-1850-01,140160045
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-26-5132-01A-01R-1850-01,114691951
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-26-5133-01A-01R-1850-01,111494924
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-26-5134-01A-01R-1850-01,54254319
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-26-5135-01A-01R-1850-01,91701682
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-26-5136-01B-01R-1850-01,43352781
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-26-5139-01A-01R-1850-01,105751006
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-1830-01A-01R-1850-01,110537379
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-1831-01A-01R-1850-01,86634236
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-1832-01A-01R-1850-01,132024791
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-1834-01A-01R-1850-01,99377028
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-1835-01A-01R-1850-01,89933189
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-1837-01A-01R-1850-01,49375219
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-2519-01A-01R-1850-01,108595180
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-2521-01A-01R-1850-01,122062361
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-2523-01A-01R-1850-01,125632446
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-2524-01A-01R-1850-01,104468894
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-2526-01A-01R-1850-01,110360434
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-27-2528-01A-01R-1850-01,118935397
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-1747-01C-01R-1850-01,111524095
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-1753-01A-01R-1850-01,53018057
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-2499-01A-01R-1850-01,116058206
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-2509-01A-01R-1850-01,113218184
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-2510-01A-01R-1850-01,108862777
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-2513-01A-01R-1850-01,102884591
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-2514-01A-02R-1850-01,123761915
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-5204-01A-01R-1850-01,106345618
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-5207-01A-01R-1850-01,102841779
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-5208-01A-01R-1850-01,116533605
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-5209-01A-01R-1850-01,122305964
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-5213-01A-01R-1850-01,51049881
RNASEQ-PROCESSED/tcga_analysis/GBM/readcounts/TCGA-28-5215-01A-01R-1850-01,136665491
