id,counts
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-06-0675-11A-32R-A36H-07,131307681
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-06-0678-11A-32R-A36H-07,121471720
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-06-0680-11A-32R-A36H-07,142992591
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-06-0681-11A-41R-A36H-07,132750661
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-06-AABW-11A-31R-A36H-07,115254500
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-4941-01A-01R-1470-07,152068752
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-4942-01A-01R-1470-07,152534629
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-4943-01A-01R-1470-07,156295197
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-5390-01A-02R-1470-07,155484862
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-5393-01A-01R-1470-07,136583872
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-5394-01A-01R-1470-07,152268846
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-5395-01A-01R-1470-07,136862475
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-5396-01A-02R-1470-07,174688370
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-5397-01A-01R-1896-07,147321562
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-6186-01A-12R-2027-07,101254844
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-6188-01A-11R-1896-07,134926799
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-6290-01A-11R-1708-07,138910716
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-6666-01A-11R-1896-07,122627369
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-6667-01A-12R-2027-07,165722864
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-6668-01A-11R-1896-07,146808338
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-6669-01A-11R-1896-07,140921231
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-CS-6670-01A-11R-1896-07,149423769
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DB-5270-01A-02R-1470-07,160732806
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DB-5273-01A-01R-1470-07,145533476
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DB-5274-01A-01R-1470-07,117259294
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DB-5275-01A-01R-1470-07,163886588
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DB-5277-01A-01R-1470-07,138808574
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DB-5278-01A-01R-1470-07,160813193
RNASEQ-PROCESSED/tcga_analysis/LGG/readcounts/TCGA-DB-5279-01A-03R-2347-07,170755574
