"","Term","Ont","N","DE","P.DE"
"GO:0007399","nervous system development","BP",2375,291,0.0000000000000000000000000000270149704475982
"GO:0022008","neurogenesis","BP",1623,218,0.00000000000000000000000000825441253058276
"GO:0097458","neuron part","CC",1729,226,0.0000000000000000000000000361309168263753
"GO:0048699","generation of neurons","BP",1524,206,0.000000000000000000000000121671582468195
"GO:0030182","neuron differentiation","BP",1365,188,0.00000000000000000000000252665207186808
"GO:0030030","cell projection organization","BP",1534,200,0.0000000000000000000000621789350168114
"GO:0120036","plasma membrane bounded cell projection organization","BP",1497,195,0.000000000000000000000265072776829186
"GO:0048666","neuron development","BP",1110,158,0.000000000000000000000688711588192851
"GO:0043005","neuron projection","CC",1312,177,0.000000000000000000000692431757474646
"GO:0032989","cellular component morphogenesis","BP",1143,161,0.000000000000000000000794795622116483
"GO:0031175","neuron projection development","BP",978,145,0.00000000000000000000083977873772178
"GO:0000902","cell morphogenesis","BP",1034,149,0.00000000000000000000355626969556369
"GO:0120039","plasma membrane bounded cell projection morphogenesis","BP",662,110,0.0000000000000000000179668874545114
"GO:0032990","cell part morphogenesis","BP",685,112,0.0000000000000000000287750179030762
"GO:0048858","cell projection morphogenesis","BP",666,110,0.0000000000000000000289170680552242
"GO:0048812","neuron projection morphogenesis","BP",648,108,0.0000000000000000000322958139996166
"GO:0045202","synapse","CC",1171,159,0.0000000000000000000596064559072703
"GO:0030424","axon","CC",606,102,0.000000000000000000184972489551406
"GO:0048468","cell development","BP",2183,242,0.00000000000000000304609076697689
"GO:0048667","cell morphogenesis involved in neuron differentiation","BP",583,97,0.00000000000000000334935265969352
