"","Term","Ont","N","DE","P.DE"
"GO:0044424","intracellular part","CC",15063,3191,5.84545089867992e-134
"GO:0005622","intracellular","CC",15073,3191,2.93670663495838e-133
"GO:0005654","nucleoplasm","CC",3512,1133,4.69970701704429e-124
"GO:0043229","intracellular organelle","CC",13294,2907,2.27211610757855e-118
"GO:0005634","nucleus","CC",7932,2001,9.30265779997984e-115
"GO:0043231","intracellular membrane-bounded organelle","CC",11488,2602,1.89302903728507e-109
"GO:0043226","organelle","CC",14144,2993,1.23050884450681e-101
"GO:0043227","membrane-bounded organelle","CC",13019,2794,1.52719586461114e-90
"GO:0031981","nuclear lumen","CC",4594,1269,1.04684796849299e-85
"GO:0044428","nuclear part","CC",5023,1356,1.6868313502846e-85
