Term,Ont,N,DE,P.DE
deoxyribonuclease inhibitor activity,MF,1,1,1.9523623584549732e-4
menaquinone biosynthetic process,BP,1,1,1.9523623584549732e-4
"ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate",BP,1,1,1.9523623584549732e-4
vitamin K biosynthetic process,BP,1,1,1.9523623584549732e-4
negative regulation of deoxyribonuclease activity,BP,2,1,3.9044388240472294e-4
menaquinone metabolic process,BP,3,1,5.856229424684445e-4
integral component of organelle membrane,CC,214,2,6.426226438839078e-4
negative regulation of apoptotic DNA fragmentation,BP,4,1,7.807734188282067e-4
intrinsic component of organelle membrane,CC,237,2,7.87351583902367e-4
negative regulation of DNA catabolic process,BP,5,1,9.758953142744442e-4
vitamin K metabolic process,BP,6,1,0.0011709886315982576
negative regulation of nuclease activity,BP,7,1,0.0013660533735901925
nuclear migration along microtubule,BP,8,1,0.0015610895430399063
regulation of deoxyribonuclease activity,BP,10,1,0.0019510761754762962
regulation of apoptotic DNA fragmentation,BP,12,1,0.002340948551227018
regulation of DNA catabolic process,BP,14,1,0.002730706692612106
fat-soluble vitamin biosynthetic process,BP,15,1,0.002925542932390557
integral component of nuclear inner membrane,CC,15,1,0.002925542932390557
intrinsic component of nuclear inner membrane,CC,15,1,0.002925542932390557
prenyltransferase activity,MF,15,1,0.002925542932390557
non-motile cilium assembly,BP,56,2,4.758657863595008e-4
pyramidal neuron migration,BP,1,1,5.857087075362699e-4
negative regulation of glycine import across plasma membrane,BP,2,1,0.0011711029329233291
regulation of glycine import across plasma membrane,BP,2,1,0.0011711029329233291
calcium-dependent protein kinase inhibitor activity,MF,3,1,0.0017561828296726034
calcium-dependent protein kinase regulator activity,MF,3,1,0.0017561828296726034
glycine import across plasma membrane,BP,3,1,0.0017561828296726034
negative regulation of dopamine receptor signaling pathway,BP,4,1,0.00234094855122724
selenocysteine insertion sequence binding,MF,4,1,0.00234094855122724
central region of growth cone,CC,5,1,0.002925400250962773
negative regulation of neurotransmitter uptake,BP,6,1,0.003509538082187902
dorsal root ganglion development,BP,7,1,0.004093362198144268
pyramidal neuron development,BP,7,1,0.004093362198144268
exocyst localization,BP,8,1,0.004676872752005012
pyramidal neuron differentiation,BP,8,1,0.004676872752005012
regulation of amino acid import across plasma membrane,BP,8,1,0.004676872752005012
selenocysteine incorporation,BP,8,1,0.004676872752005012
translational readthrough,BP,8,1,0.004676872752005012
negative regulation of MAPK cascade,BP,184,2,0.004990212843098599
