Term,Ont,N,DE,P.DE
menaquinone biosynthetic process,BP,1,1,1.9523623584549732e-4
"ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate",BP,1,1,1.9523623584549732e-4
vitamin K biosynthetic process,BP,1,1,1.9523623584549732e-4
negative regulation of deoxyribonuclease activity,BP,2,1,3.9044388240472294e-4
menaquinone metabolic process,BP,3,1,5.856229424684445e-4
negative regulation of apoptotic DNA fragmentation,BP,4,1,7.807734188282067e-4
negative regulation of DNA catabolic process,BP,5,1,9.758953142744442e-4
vitamin K metabolic process,BP,6,1,0.0011709886315982576
negative regulation of nuclease activity,BP,7,1,0.0013660533735901925
nuclear migration along microtubule,BP,8,1,0.0015610895430399063
regulation of deoxyribonuclease activity,BP,10,1,0.0019510761754762962
regulation of apoptotic DNA fragmentation,BP,12,1,0.002340948551227018
regulation of DNA catabolic process,BP,14,1,0.002730706692612106
fat-soluble vitamin biosynthetic process,BP,15,1,0.002925542932390557
non-motile cilium assembly,BP,56,2,4.758657863595008e-4
pyramidal neuron migration,BP,1,1,5.857087075362699e-4
negative regulation of glycine import across plasma membrane,BP,2,1,0.0011711029329233291
regulation of glycine import across plasma membrane,BP,2,1,0.0011711029329233291
glycine import across plasma membrane,BP,3,1,0.0017561828296726034
negative regulation of dopamine receptor signaling pathway,BP,4,1,0.00234094855122724
negative regulation of neurotransmitter uptake,BP,6,1,0.003509538082187902
dorsal root ganglion development,BP,7,1,0.004093362198144268
pyramidal neuron development,BP,7,1,0.004093362198144268
exocyst localization,BP,8,1,0.004676872752005012
pyramidal neuron differentiation,BP,8,1,0.004676872752005012
regulation of amino acid import across plasma membrane,BP,8,1,0.004676872752005012
selenocysteine incorporation,BP,8,1,0.004676872752005012
translational readthrough,BP,8,1,0.004676872752005012
negative regulation of MAPK cascade,BP,184,2,0.004990212843098599
positive regulation of non-motile cilium assembly,BP,9,1,0.005260069896876218
vesicle-mediated transport,BP,2107,184,4.7324352802979426e-17
transport,BP,5190,356,4.508986065855807e-16
localization,BP,6735,436,4.704109275788767e-16
establishment of localization,BP,5315,361,1.135280613895715e-15
nervous system development,BP,2375,193,1.06698007376649e-14
protein localization,BP,2765,216,1.1595338471727062e-14
nucleic acid metabolic process,BP,5735,1232,3.386285658965984e-132
nucleobase-containing compound metabolic process,BP,6411,1311,2.4516371349625966e-125
heterocycle metabolic process,BP,6570,1323,4.789125415713289e-121
cellular aromatic compound metabolic process,BP,6615,1327,3.961043486878989e-120
regulation of nucleobase-containing compound metabolic process,BP,4140,962,5.481371274630525e-116
organic cyclic compound metabolic process,BP,6839,1344,1.8553877087786143e-114
cellular nitrogen compound metabolic process,BP,7161,1374,3.949038104942908e-109
RNA metabolic process,BP,5206,1097,1.8392291519036862e-105
cellular macromolecule metabolic process,BP,8352,1515,1.8129353464267323e-104
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",BP,120,80,1.4617999962447549e-50
translational initiation,BP,193,102,2.2313959478760186e-50
cotranslational protein targeting to membrane,BP,109,75,5.1021458207008075e-49
SRP-dependent cotranslational protein targeting to membrane,BP,105,73,3.0235870943041585e-48
translation,BP,714,209,4.2743501036661237e-48
peptide biosynthetic process,BP,739,211,1.1954658615503386e-46
peptide metabolic process,BP,894,38,3.5036122625497472e-9
translation,BP,714,33,5.480257279597445e-9
peptide biosynthetic process,BP,739,33,1.2651452161804072e-8
cellular amide metabolic process,BP,1157,43,1.610129908551001e-8
amide biosynthetic process,BP,876,36,2.2323086941702397e-8
cellular localization,BP,2927,79,2.258737887323816e-8
establishment of protein localization to organelle,BP,549,27,4.147435199064527e-8
organonitrogen compound metabolic process,BP,7040,146,1.486468949470285e-7
cellular nitrogen compound metabolic process,BP,7161,431,2.91907881994158e-31
detection of chemical stimulus involved in sensory perception of smell,BP,427,164,1.3338668337319827e-184
detection of chemical stimulus involved in sensory perception,BP,477,167,3.5300651335140334e-180
sensory perception of smell,BP,454,164,2.8949024896711907e-179
