Term,Ont,N,DE,P.DE
integral component of organelle membrane,CC,214,2,6.426226438839078e-4
intrinsic component of organelle membrane,CC,237,2,7.87351583902367e-4
integral component of nuclear inner membrane,CC,15,1,0.002925542932390557
intrinsic component of nuclear inner membrane,CC,15,1,0.002925542932390557
central region of growth cone,CC,5,1,0.002925400250962773
endomembrane system,CC,4441,356,3.0324816838078912e-28
cytoplasmic part,CC,9735,624,1.298973133966955e-27
cytoplasm,CC,11625,704,4.596618104011961e-26
vesicle,CC,3884,303,2.766981183785595e-21
endoplasmic reticulum part,CC,1361,141,3.1232957874621433e-19
organelle subcompartment,CC,1711,162,3.169542379194103e-18
cytoplasmic vesicle,CC,2314,200,4.233721686466592e-18
intracellular vesicle,CC,2317,200,4.88337250878522e-18
endoplasmic reticulum,CC,1911,174,7.069566297137374e-18
membrane,CC,9495,576,2.7864911204087274e-17
neuron part,CC,1729,157,5.25144780097839e-16
bounding membrane of organelle,CC,2081,176,5.72298467485646e-15
nucleoplasm,CC,3512,950,3.3588057135866044e-162
nucleus,CC,7932,1580,2.67054204110988e-158
nuclear part,CC,5023,1128,1.2725485663664334e-131
nuclear lumen,CC,4594,1048,6.100582461579506e-124
intracellular membrane-bounded organelle,CC,11488,1920,4.0745903390691216e-122
intracellular,CC,15073,2260,6.2595324911350625e-118
intracellular part,CC,15063,2259,7.696702768785466e-118
intracellular organelle,CC,13294,2086,2.2067355070602787e-112
intracellular part,CC,15063,2783,1.8505910163286482e-124
intracellular,CC,15073,2784,2.1673448302621726e-124
intracellular organelle part,CC,9811,2065,4.3523767982961035e-113
organelle part,CC,10112,2097,2.821096467450793e-108
cytoplasm,CC,11625,2308,2.3466701381267474e-106
cytoplasmic part,CC,9735,2026,1.5607279890642611e-102
intracellular organelle,CC,13294,2518,9.69559020633117e-101
organelle,CC,14144,2606,3.327440924913175e-92
intracellular membrane-bounded organelle,CC,11488,2241,2.473420352241317e-88
membrane-bounded organelle,CC,13019,2445,3.7547503016811036e-86
cytosol,CC,5085,1209,3.444247221170964e-80
ribosomal subunit,CC,190,145,8.863340397248701e-80
nucleoplasm,CC,3512,895,5.0850877643886845e-70
intracellular organelle lumen,CC,5740,1281,9.019865732175573e-67
membrane-enclosed lumen,CC,5740,1281,9.019865732175573e-67
organelle lumen,CC,5740,1281,9.019865732175573e-67
ribosome,CC,272,162,5.168677460293002e-64
mitochondrial part,CC,1036,358,2.935272556939886e-57
intracellular part,CC,15063,2600,1.2807134621306054e-111
intracellular,CC,15073,2601,1.3805480139199125e-111
intracellular organelle part,CC,9811,1927,6.1910360025737345e-102
organelle part,CC,10112,1956,3.596779597221704e-97
cytoplasmic part,CC,9735,1902,1.5925249665547615e-96
intracellular organelle,CC,13294,2363,3.8348597311478545e-95
intracellular membrane-bounded organelle,CC,11488,2127,5.65726260481197e-92
cytoplasm,CC,11625,2141,1.6812687517761085e-90
organelle,CC,14144,2443,3.168312316019013e-86
membrane-bounded organelle,CC,13019,2299,4.234115552766129e-83
ribosomal subunit,CC,190,137,1.0662100317535076e-73
cytosol,CC,5085,1107,8.808141007895763e-66
ribosome,CC,272,152,8.151587867557582e-59
nucleoplasm,CC,3512,813,3.8608933374289185e-56
intracellular organelle lumen,CC,5740,1175,1.694753202604494e-54
membrane-enclosed lumen,CC,5740,1175,1.694753202604494e-54
organelle lumen,CC,5740,1175,1.694753202604494e-54
protein-containing complex,CC,6151,1224,3.2892052918890547e-50
intracellular,CC,15073,1864,3.708096969806772e-82
intracellular part,CC,15063,1863,5.090162320920387e-82
intracellular organelle part,CC,9811,1391,2.103822442184375e-76
intracellular organelle,CC,13294,1702,8.59191381728404e-73
organelle part,CC,10112,1410,1.9655995434310372e-072
ribosomal subunit,CC,190,120,2.3708237451262794e-71
intracellular membrane-bounded organelle,CC,11488,1535,3.20454817698814e-70
organelle,CC,14144,1756,1.811133396980782e-65
membrane-bounded organelle,CC,13019,1659,6.734328386307127e-65
cytoplasmic part,CC,9735,1342,1.8486104261210636e-61
cytoplasm,CC,11625,1514,5.7781043159662985e-58
ribosome,CC,272,129,2.3527033766256934e-56
cytosolic ribosome,CC,112,77,2.9638923360063806e-50
cytoplasmic part,CC,9735,200,7.927283064864572e-12
cytoplasm,CC,11625,224,3.6268014382348204e-11
cytosol,CC,5085,125,6.739108041106397e-11
intracellular,CC,15073,263,6.875533252763357e-10
intracellular part,CC,15063,262,1.6223672540005267e-9
intracellular organelle part,CC,9811,194,1.866204608149815e-9
ribosomal subunit,CC,190,17,2.9917035741014956e-9
organelle part,CC,10112,196,9.310022987744819e-9
intracellular organelle,CC,13294,235,1.443109450515068e-7
mitochondrial part,CC,1036,38,1.6878262523289997e-7
intracellular organelle lumen,CC,5740,403,8.774300613525925e-45
membrane-enclosed lumen,CC,5740,403,8.774300613525925e-45
organelle lumen,CC,5740,403,8.774300613525925e-45
nucleoplasm,CC,3512,292,8.439346475977662e-43
intracellular membrane-bounded organelle,CC,11488,618,1.392321146508089e-41
intracellular,CC,15073,724,3.3598692873288874e-41
intracellular part,CC,15063,723,9.945876744137305e-41
nuclear lumen,CC,4594,338,2.4329016395655733e-39
intracellular organelle part,CC,9811,549,5.101233806597673e-37
nuclear part,CC,5023,352,9.597450853686055e-37
organelle part,CC,10112,556,2.246747438917652e-35
nucleus,CC,7932,471,1.4276295768745898e-34
intracellular organelle,CC,13294,657,1.2108117129103653e-32
membrane-bounded organelle,CC,13019,638,3.189449163890012e-28
protein-containing complex,CC,6151,379,7.661517303711261e-28
organelle,CC,14144,669,2.380128725103491e-26
catalytic complex,CC,1370,138,2.7608110267838467e-26
intermediate filament,CC,214,45,5.330956165678439e-35
envelope,CC,1182,19,3.9271012329923165e-5
organelle envelope,CC,1182,19,3.9271012329923165e-5
mitochondrial envelope,CC,739,14,8.270212399996524e-5
mitochondrial membrane,CC,698,13,1.7803319212002114e-4
mitochondrial part,CC,1036,15,8.2172710717753e-4
nucleus,CC,7932,67,0.001163411802265925
intracellular part,CC,15063,109,0.0011700742042723277
intracellular,CC,15073,109,0.0012171409812425503
nucleus,CC,7932,125,4.42137991326275e-12
nucleus,CC,7932,2514,2.4858059224369933e-164
nucleoplasm,CC,3512,1390,1.787227537480449e-157
intracellular part,CC,15063,3860,8.623789934066932e-128
intracellular,CC,15073,3861,1.8677136989966356e-127
intracellular membrane-bounded organelle,CC,11488,3175,1.5914183602027327e-124
intracellular organelle,CC,13294,3514,3.0007054083594645e-118
nuclear part,CC,5023,1685,3.981999881196064e-114
nuclear lumen,CC,4594,1575,1.0733741765491432e-113
organelle,CC,14144,3647,6.885208688470973e-108
climbing fiber,CC,2,1,0.0013662200467426944
apoptosome,CC,2,1,0.0034137990230734827
intermediate filament,CC,214,25,1.1572613373327196e-17
intermediate filament cytoskeleton,CC,251,25,5.272463609073898e-16
cytosol,CC,5085,36,3.3589374661010224e-5
ELL-EAF complex,CC,5,2,1.420306097497844e-4
zonula adherens,CC,8,2,3.947455041625993e-4
cytoplasm,CC,11625,59,4.009365335984728e-4
intracellular,CC,15073,2449,1.353210882015708e-125
intracellular part,CC,15063,2448,1.4816237839810402e-125
intracellular organelle,CC,13294,2255,9.503215975278501e-118
nucleoplasm,CC,3512,915,9.69967974167746e-117
intracellular membrane-bounded organelle,CC,11488,2047,4.616444319703504e-116
organelle,CC,14144,2318,1.9262347166734042e-104
membrane-bounded organelle,CC,13019,2188,1.5657820628951987e-100
intracellular organelle part,CC,9811,1795,1.461171270763337e-97
organelle part,CC,10112,1819,4.676515397833078e-92
nucleus,CC,7932,1518,1.306329556666868e-87
nuclear part,CC,5023,1082,3.278226464512146e-83
nuclear lumen,CC,4594,1011,1.117138500596049e-81
catalytic complex,CC,1370,432,9.878170572612398e-76
protein-containing complex,CC,6151,1223,4.016587925850308e-73
intracellular organelle lumen,CC,5740,1161,1.1319042619763991e-72
membrane-enclosed lumen,CC,5740,1161,1.1319042619763991e-72
organelle lumen,CC,5740,1161,1.1319042619763991e-72
cytoplasmic stress granule,CC,66,1,0.006432575113060612
nuclear pore,CC,89,1,0.008669353220955522
intracellular,CC,15073,764,1.2364063064938426e-21
intracellular part,CC,15063,763,2.1788360477573876e-21
cell part,CC,17521,838,7.070488572059774e-20
cell,CC,17590,838,7.195589050887019e-19
organelle,CC,14144,719,1.1916235082743346e-17
intracellular organelle,CC,13294,685,4.445578717442843e-17
nucleoplasm,CC,3512,246,3.409569680692924e-16
membrane-bounded organelle,CC,13019,670,7.222366344028167e-16
Z disc,CC,132,2,0.0040944213035109915
platelet dense granule membrane,CC,6,1,0.004385316965852426
I band,CC,143,2,0.004785803683615075
junctional membrane complex,CC,7,1,0.005114455733820411
intermediate filament,CC,214,61,1.5173955818496305e-43
nucleus,CC,7932,1272,1.2057596827940183e-162
nucleoplasm,CC,3512,699,5.520980896795401e-110
intracellular membrane-bounded organelle,CC,11488,1474,1.0589664544980542e-106
nucleoplasm,CC,3512,86,4.973408906843722e-18
intracellular organelle lumen,CC,5740,109,1.5778089153641836e-15
membrane-enclosed lumen,CC,5740,109,1.5778089153641836e-15
organelle lumen,CC,5740,109,1.5778089153641836e-15
nuclear lumen,CC,4594,95,2.647561107332071e-15
nuclear part,CC,5023,99,1.0499382896641221e-14
intracellular part,CC,15063,185,1.838947659915119e-12
intracellular,CC,15073,185,2.028898431409791e-12
intracellular membrane-bounded organelle,CC,11488,158,3.4225778146867142e-12
nucleus,CC,7932,125,4.42137991326275e-12
membrane-bounded organelle,CC,13019,168,4.9455028101775503e-11
intermediate filament,CC,214,3,3.756964569052615e-4
intermediate filament cytoskeleton,CC,251,3,5.984541094082782e-4
intermediate filament,CC,214,45,5.069494285755343e-34
intracellular part,CC,15063,2119,7.941943587136966e-95
intracellular,CC,15073,2119,2.2919737921707784e-94
intracellular organelle part,CC,9811,1597,3.966761078509487e-94
ribosomal subunit,CC,190,143,5.802762417482991e-94
intracellular membrane-bounded organelle,CC,11488,1775,7.634415896352239e-93
organelle part,CC,10112,1621,2.395698009982104e-90
intracellular organelle,CC,13294,1944,1.1340551747418051e-87
membrane-bounded organelle,CC,13019,1896,1.276481876631118e-78
cytoplasmic part,CC,9735,1538,5.101664072266311e-75
organelle,CC,14144,1995,1.1459678170856478e-74
ribosome,CC,272,154,1.5408356712419508e-73
cytoplasm,CC,11625,1733,7.873132398019819e-71
intracellular organelle lumen,CC,5740,1029,7.203843305502808e-67
membrane-enclosed lumen,CC,5740,1029,7.203843305502808e-67
organelle lumen,CC,5740,1029,7.203843305502808e-67
large ribosomal subunit,CC,121,94,3.4343030865077826e-64
nucleoplasm,CC,3512,712,1.1262216449994038e-62
nuclear part,CC,5023,904,1.0656586642293694e-56
cytosolic ribosome,CC,112,71,3.480152724103356e-47
cytoplasm,CC,11625,1273,9.519725380364176e-40
synapse,CC,1171,240,5.528974425332316e-38
neuron part,CC,1729,309,6.664514777115202e-37
synapse part,CC,938,199,1.5695198213453563e-33
nucleus,CC,7932,1763,1.385175042160749e-104
nucleoplasm,CC,3512,937,3.8457563904394775e-84
intracellular part,CC,15063,2697,3.526753675405238e-76
intracellular,CC,15073,2698,4.390930666274677e-76
intracellular membrane-bounded organelle,CC,11488,2204,1.1624461574235224e-71
intracellular organelle,CC,13294,2454,3.907990252284961e-71
intracellular,CC,15073,2067,4.713816476232587e-103
intracellular part,CC,15063,2066,6.258834577179488e-103
intracellular organelle,CC,13294,1907,1.460676250273226e-98
intracellular membrane-bounded organelle,CC,11488,1723,2.124773497377897e-93
organelle,CC,14144,1958,1.69861312307157e-86
membrane-bounded organelle,CC,13019,1850,5.048372136920218e-84
nucleoplasm,CC,3512,744,4.326972232605499e-83
intracellular organelle part,CC,9811,1520,3.952451448917828e-82
organelle part,CC,10112,1540,1.844013555707325e-77
nuclear part,CC,5023,895,5.205994861685812e-62
nuclear lumen,CC,4594,833,5.902848129967847e-60
nucleus,CC,7932,1240,1.9840315483011874e-58
intracellular organelle lumen,CC,5740,975,3.222268301629116e-58
membrane-enclosed lumen,CC,5740,975,3.222268301629116e-58
organelle lumen,CC,5740,975,3.222268301629116e-58
intracellular part,CC,15063,2313,2.3586242846979036e-134
intracellular,CC,15073,2313,8.5134138925418e-134
intracellular organelle,CC,13294,2147,3.521987833458336e-131
intracellular membrane-bounded organelle,CC,11488,1933,1.061868230437622e-117
nucleoplasm,CC,3512,869,6.060972569899881e-115
organelle,CC,14144,2192,2.2781955410195394e-111
intracellular organelle part,CC,9811,1720,2.775890860830206e-108
membrane-bounded organelle,CC,13019,2060,3.1724985800004635e-101
organelle part,CC,10112,1734,2.3608630903090975e-99
nucleus,CC,7932,1443,1.0778910779190666e-90
nuclear part,CC,5023,1043,1.2774653856800469e-89
nuclear lumen,CC,4594,974,2.9986801807815594e-87
intracellular organelle lumen,CC,5740,1116,1.473974010651325e-78
membrane-enclosed lumen,CC,5740,1116,1.473974010651325e-78
organelle lumen,CC,5740,1116,1.473974010651325e-78
intracellular part,CC,15063,2271,1.1802437782968028e-129
intracellular,CC,15073,2271,4.1223875758102623e-129
intracellular organelle,CC,13294,2110,4.000921615463726e-128
intracellular membrane-bounded organelle,CC,11488,1898,2.9732752160648614e-114
nucleoplasm,CC,3512,857,6.0404895195521436e-114
organelle,CC,14144,2156,1.2271753996224376e-109
intracellular organelle part,CC,9811,1695,7.857019020439874e-108
membrane-bounded organelle,CC,13019,2029,6.347437833309011e-101
organelle part,CC,10112,1710,1.6330106561076949e-99
nuclear part,CC,5023,1025,1.0829364801763755e-87
nucleus,CC,7932,1415,1.5540236560987587e-87
nuclear lumen,CC,4594,958,1.0645705490518553e-85
intracellular organelle lumen,CC,5740,1097,5.9920593675044826e-77
membrane-enclosed lumen,CC,5740,1097,5.9920593675044826e-77
organelle lumen,CC,5740,1097,5.9920593675044826e-77
nucleus,CC,7932,756,1.4439287215723152e-43
nucleus,CC,7932,589,8.754128217159948e-53
nucleoplasm,CC,3512,345,1.2270417063489253e-49
intracellular part,CC,15063,861,6.061884026917898e-48
intracellular,CC,15073,861,9.487392483812338e-48
intracellular organelle,CC,13294,797,1.7819505900988378e-45
