Term,Ont,N,DE,P.DE
deoxyribonuclease inhibitor activity,MF,1,1,1.9523623584549732e-4
prenyltransferase activity,MF,15,1,0.002925542932390557
calcium-dependent protein kinase inhibitor activity,MF,3,1,0.0017561828296726034
calcium-dependent protein kinase regulator activity,MF,3,1,0.0017561828296726034
selenocysteine insertion sequence binding,MF,4,1,0.00234094855122724
protein binding,MF,11807,703,2.9288040939321406e-23
binding,MF,15267,823,3.844893531448477e-16
nucleic acid binding,MF,4349,1033,8.409771830122202e-135
heterocyclic compound binding,MF,6241,1260,4.4475074036533443e-113
organic cyclic compound binding,MF,6328,1267,5.539019643233266e-111
protein binding,MF,11807,2227,1.4927593818199426e-68
structural constituent of ribosome,MF,202,133,2.66875061030499e-60
protein binding,MF,11807,2086,1.6622650511059802e-63
structural constituent of ribosome,MF,202,122,1.8170669135396835e-52
structural constituent of ribosome,MF,202,109,5.391422955636944e-55
RNA binding,MF,1950,60,1.9631290798594722e-8
protein binding,MF,11807,215,1.8648793143280478e-7
RNA binding,MF,1950,192,5.770310839091992e-36
protein binding,MF,11807,593,1.7251820844084596e-26
olfactory receptor activity,MF,427,164,1.3338668337319827e-184
G protein-coupled receptor activity,MF,866,168,4.931218853333646e-133
transmembrane signaling receptor activity,MF,1277,170,2.571892390963929e-106
signaling receptor activity,MF,1484,170,2.064377989794693e-95
molecular transducer activity,MF,1538,170,7.39580095355729e-93
odorant binding,MF,102,51,4.807043290824233e-62
olfactory receptor activity,MF,427,217,3.0688269153595877e-212
G protein-coupled receptor activity,MF,866,226,5.108136008094798e-144
transmembrane signaling receptor activity,MF,1277,230,3.9659181506764052e-109
signaling receptor activity,MF,1484,233,1.659023941568878e-97
molecular transducer activity,MF,1538,233,3.839086532911498e-94
odorant binding,MF,102,63,4.446116247566648e-67
acetyltransferase activity,MF,110,5,6.378261585335614e-4
peptide N-acetyltransferase activity,MF,75,4,0.0012541579687115505
sequence-specific double-stranded DNA binding,MF,889,14,0.0013387622147875292
DNA binding,MF,2518,28,0.001594964605369422
"DNA-binding transcription factor activity, RNA polymerase II-specific",MF,1600,57,1.858678267631158e-18
DNA binding,MF,2518,72,2.7707428849450195e-18
DNA-binding transcription factor activity,MF,1699,58,6.226643394869959e-18
transcription regulator activity,MF,2053,60,2.0379226374505022e-15
nucleic acid binding,MF,4349,90,2.579906915588672e-14
heterocyclic compound binding,MF,6241,105,3.977582619356704e-11
organic cyclic compound binding,MF,6328,105,9.787751184619872e-11
olfactory receptor activity,MF,427,241,1.6522806165805245e-256
G protein-coupled receptor activity,MF,866,252,3.420236184155414e-179
transmembrane signaling receptor activity,MF,1277,257,1.1345624197454971e-139
signaling receptor activity,MF,1484,258,4.9235108300982295e-124
molecular transducer activity,MF,1538,258,3.7570238380703907e-120
odorant binding,MF,102,67,6.569722522577421e-75
olfactory receptor activity,MF,427,236,8.10002132592605e-238
G protein-coupled receptor activity,MF,866,249,2.5054068681990466e-165
transmembrane signaling receptor activity,MF,1277,252,1.0493384852471543e-124
signaling receptor activity,MF,1484,256,1.9666081922583717e-112
molecular transducer activity,MF,1538,256,1.163984312760888e-108
odorant binding,MF,102,65,5.266841766786143e-69
olfactory receptor activity,MF,427,231,2.075334995878329e-225
G protein-coupled receptor activity,MF,866,243,4.277206307272684e-154
transmembrane signaling receptor activity,MF,1277,249,7.892160454610038e-118
signaling receptor activity,MF,1484,253,8.407697832976175e-106
molecular transducer activity,MF,1538,253,4.0333601821275074e-102
odorant binding,MF,102,63,1.1900630231655666e-64
olfactory receptor activity,MF,427,260,3.521998265437619e-262
G protein-coupled receptor activity,MF,866,275,7.566002284236091e-180
transmembrane signaling receptor activity,MF,1277,279,5.014725649939897e-135
signaling receptor activity,MF,1484,282,5.616254969016932e-120
molecular transducer activity,MF,1538,282,8.245486955129734e-116
odorant binding,MF,102,67,1.5358394953134074e-68
olfactory receptor activity,MF,427,259,1.2174450716781326e-269
G protein-coupled receptor activity,MF,866,273,9.873541243391415e-187
transmembrane signaling receptor activity,MF,1277,276,5.162734618591036e-141
signaling receptor activity,MF,1484,279,4.467544074069522e-126
molecular transducer activity,MF,1538,279,6.690130637305501e-122
odorant binding,MF,102,67,1.34839589157716e-70
olfactory receptor activity,MF,427,248,6.901249343089179e-261
G protein-coupled receptor activity,MF,866,259,5.441528263437154e-180
transmembrane signaling receptor activity,MF,1277,263,4.317374117858849e-138
signaling receptor activity,MF,1484,264,4.0194749413856376e-122
molecular transducer activity,MF,1538,264,3.5701412037852078e-118
odorant binding,MF,102,66,2.860265471749947e-71
olfactory receptor activity,MF,427,242,2.091945053602984e-261
G protein-coupled receptor activity,MF,866,253,1.2599130266547378e-183
transmembrane signaling receptor activity,MF,1277,258,7.914259963031332e-144
signaling receptor activity,MF,1484,259,4.747755073642186e-128
molecular transducer activity,MF,1538,259,3.972962925911494e-124
odorant binding,MF,102,65,4.630023377250188e-72
nucleic acid binding,MF,4349,1568,5.1506131869873725e-136
heterocyclic compound binding,MF,6241,2009,6.0461166239119254e-123
binding,MF,15267,3883,3.435330484713701e-122
organic cyclic compound binding,MF,6328,2019,5.0737801382902e-119
latrotoxin receptor activity,MF,2,1,0.0013662200467426944
translation activator activity,MF,13,2,2.1854108376275942e-4
"peptidase activity, acting on L-amino acid peptides",MF,599,6,4.798855369142213e-4
peptidase activity,MF,623,6,5.904133569661422e-4
endopeptidase activity,MF,427,5,7.446885172919711e-4
"translation regulator activity, nucleic acid binding",MF,28,2,0.0010421807683900863
lipopolysaccharide binding,MF,35,2,0.0016282124323280679
serine-type endopeptidase activity,MF,160,3,0.0025466711894477725
olfactory receptor activity,MF,427,249,3.149060125789395e-246
G protein-coupled receptor activity,MF,866,261,5.280482968433885e-166
transmembrane signaling receptor activity,MF,1277,266,3.5248087003696204e-125
signaling receptor activity,MF,1484,268,3.219267436678368e-110
molecular transducer activity,MF,1538,268,2.5953653196823935e-106
odorant binding,MF,102,67,3.387197305455151e-69
olfactory receptor activity,MF,427,255,3.447317662348844e-252
G protein-coupled receptor activity,MF,866,266,1.0552515119479643e-167
transmembrane signaling receptor activity,MF,1277,270,5.708410928549395e-125
signaling receptor activity,MF,1484,273,1.2070280149146957e-110
molecular transducer activity,MF,1538,273,1.1343474248443654e-106
