"","gene","partner","cor"
"1","uc.165","ROBO3___124865409124886039",-0.326500587995296
"2","uc.165","ING4___66505386663143",-0.317915856673147
"3","uc.165","LOC100506844___5793144957936164",-0.318784649722802
"4","uc.165","CHESS944___116277894116279817",0.311109511123911
"5","uc.165","SNRNP25___5382957669",-0.307521539827681
"6","uc.165","NARFL___729703741038",-0.322955816353469
"7","uc.165","SNHG9___19649961965504",-0.314805481556148
"8","uc.165","DNASE1L2___22358162240650",-0.33186694506444
"9","uc.165","TCEB2___27714142777296",-0.302018383852929
"10","uc.165","FLYWCH2___28822542903099",-0.335814913480692
"11","uc.165","LOC105371059___33646293399669",-0.307163942688459
"12","uc.165","ZSCAN32___33820813401065",-0.303350373197014
"13","uc.165","NMRAL1___44608194476320",-0.309083927328581
"14","uc.165","NUDT16L1___46913404695859",-0.322843017255862
"15","uc.165","ZNF688___3056366530572407",-0.313831089351285
"16","uc.165","KAT8___3111766431131393",-0.315052679578563
"17","uc.165","RPAIN___54191855433020",-0.347577219382245
"18","uc.165","MED31___66433136651804",-0.327561379508964
"19","uc.165","CLDN7___72578107263983",-0.301900784793722
"20","uc.165","ATPAF2___1800292918039201",-0.320651834785322
"21","uc.165","RND2___4302524143032041",-0.300655194758442
"22","uc.165","C17orf58___6799108767996526",-0.323546211630307
"23","uc.165","CHESS1813___3356317733566317",0.304300765593875
"24","uc.165","CHESS1934___1409121214098834",0.308582331341349
"25","uc.165","PRKACA___1409144214118288",0.307670338637291
"26","uc.165","MPV17___2730860427323102",-0.342326061391509
"27","uc.165","HES6___238238264238242251",-0.304473564211486
"28","uc.165","UBE2E1___2380157223892803",-0.301291189670483
"29","uc.165","NKIRAS1___2388028523917046",-0.306415148678811
"30","uc.165","OXSM___2578362425794751",-0.333582931336549
"31","uc.165","INTS12___105679108105708725",-0.303520771833825
"32","uc.165","PDLIM3___185492850185535606",-0.337744498044016
"33","uc.165","PDCD6___271621314978",-0.312933496532028
"34","uc.165","AHRR___304176438636",-0.3109415124679
"35","uc.165","LOC105374746___4299350243000954",-0.320851033191735
"36","uc.165","TMEM161B-AS1___8826888288436674",-0.346998824009408
"37","uc.165","LOC102546226___8840898288439090",-0.419036647706818
"38","uc.165","LOC105379137___116921076116953480",0.309698322413421
"39","uc.165","CDKL3___134283060134371159",-0.30640554875561
"40","uc.165","ZSCAN16-AS1___2811539928137316",-0.310415916672667
"41","uc.165","CCDC167___3748292037499924",-0.322939016487868
"42","uc.165","FOXP4___4154642641602511",0.308654330765354
"43","uc.165","C6orf226___4289026542890816",-0.301367989056088
"44","uc.165","RNF217___124961987125100196",0.305738354093167
"45","uc.165","AC004538.3___1119276011199474",0.387613699090407
"46","uc.165","HOXA2___2710035427102775",0.301951184390525
"47","uc.165","YAE1D1___3956637639612089",-0.30140638874889
"48","uc.165","POLR2J4___4394089544019194",-0.310595915232678
"49","uc.165","SDHAF3___9711565697181897",-0.326238990088079
"50","uc.165","LOC105375417___9715824997272577",-0.323776609787122
"51","uc.165","ATP5J2-PTCD1___9941673999466201",-0.304437564499484
"52","uc.165","CPSF4___9943892099462226",-0.304159166726666
"53","uc.165","CYP3A5___9964818999680026",-0.302891976864185
"54","uc.165","C7orf55___139340450139346319",-0.326322989416085
"55","uc.165","RHEB___151465998151520120",-0.330093359253126
"56","uc.165","FABP5P3___152436853152444046",0.32172222622219
"57","uc.165","LINC01003___152464124152465545",-0.329176566587467
"58","uc.165","PAXIP1-AS1___155003433155015124",-0.306866345069239
"59","uc.165","POMK___4309350643123180",0.322485420116639
"60","uc.165","KIAA0368___111348193111484745",0.306655146758826
"61","uc.165","TRAPPC2___1370750813734635",-0.307243142054864
