id,pvalue,method
uc.1,0.561355687155285,Log-rank
uc.2,0.214730935709252,Log-rank
uc.3,0.359890670362576,Log-rank
uc.4,0.926929729445325,Log-rank
uc.5,0.516174064108464,Log-rank
uc.6,0.199106267224152,Log-rank
uc.7,0.0667922576864345,Log-rank
uc.8,0.554043351482359,Log-rank
uc.9,0.524638092479789,Log-rank
uc.10,0.797925552498773,Log-rank
uc.12,0.550876846524842,Log-rank
uc.13,0.19590174930544,Log-rank
uc.14,NA,NA
uc.15,0.605163046594666,Log-rank
uc.16,NA,NA
uc.17,NA,NA
uc.18,0.160783754571622,Log-rank
uc.19,0.762295914860331,Log-rank
uc.20,0.591859134031501,Log-rank
uc.21,0.815335568740314,Log-rank
uc.22,0.959810520757118,Log-rank
uc.23,0.522184121771069,Log-rank
uc.24,0.06987630384298,Log-rank
uc.25,0.233820498263725,Log-rank
uc.26,NA,NA
uc.27,NA,NA
uc.28,0.628104852809613,Log-rank
uc.29,NA,NA
uc.30,NA,NA
uc.31,NA,NA
uc.33,0.326825345391004,Log-rank
uc.34,0.873715074128416,Log-rank
uc.35,NA,NA
uc.36,0.286376232368537,Log-rank
uc.37,0.981595125437059,Log-rank
uc.38,NA,NA
uc.39,NA,NA
uc.40,0.375268709901439,Log-rank
uc.41,NA,NA
uc.42,NA,NA
uc.43,0.164833762938086,Log-rank
uc.44,0.206013032394503,Log-rank
uc.45,0.662809961892611,Log-rank
uc.46,0.66623887474669,Log-rank
uc.283,NA,NA
uc.284,NA,NA
uc.285,0.251005733700378,Log-rank
uc.286,NA,NA
uc.287,NA,NA
uc.288,NA,NA
uc.289,NA,NA
uc.290,0.657968606073105,Log-rank
uc.291,0.391825154804178,Log-rank
uc.292,0.0430793423283978,Log-rank
uc.293,NA,NA
uc.294,NA,NA
uc.295,NA,NA
uc.296,NA,NA
uc.297,NA,NA
uc.298,NA,NA
uc.299,0.907243336903914,Log-rank
uc.300,NA,NA
uc.301,0.808586954220959,Log-rank
uc.302,NA,NA
uc.303,NA,NA
uc.304,0.0825414877132074,Log-rank
uc.305,0.127462935197905,Log-rank
uc.306,0.0708480301698364,Log-rank
uc.307,0.20861299345689,Log-rank
uc.308,0.18301933793107,Log-rank
uc.309,0.185022962561629,Log-rank
uc.310,0.896704465861353,Log-rank
uc.311,0.0507183125665802,Log-rank
uc.312,0.0851282582873731,Log-rank
uc.313,0.852696681641029,Log-rank
uc.314,NA,NA
uc.315,NA,NA
uc.316,NA,NA
uc.317,0.335545158270567,Log-rank
uc.318,NA,NA
uc.319,NA,NA
uc.320,NA,NA
uc.321,NA,NA
uc.322,0.591023249517094,Log-rank
uc.323,0.179283417363059,Log-rank
uc.324,0.206533283100059,Log-rank
uc.325,0.169628180874466,Log-rank
uc.326,0.379729037720311,Log-rank
uc.327,0.585252658457334,Log-rank
uc.328,0.128050521061065,Log-rank
uc.329,NA,NA
uc.330,0.850950184439182,Log-rank
uc.331,0.229488546702819,Log-rank
uc.332,NA,NA
uc.333,0.454114819230301,Log-rank
uc.334,NA,NA
uc.335,0.544968352955963,Log-rank
uc.336,NA,NA
uc.337,NA,NA
uc.338,0.682431437194787,Log-rank
uc.339,0.000334883302847783,Log-rank
uc.340,0.386756504330419,Log-rank
uc.341,0.130793732645703,Log-rank
uc.342,0.188454223861468,Log-rank
uc.343,0.545647839727731,Log-rank
uc.344,0.750886180477187,Log-rank
uc.345,0.314255552706743,Log-rank
uc.346,0.591629739011218,Log-rank
uc.347,NA,NA
uc.348,0.635493128742802,Log-rank
uc.349,0.533797065564252,Log-rank
uc.350,0.53276718653778,Log-rank
uc.351,NA,NA
uc.352,NA,NA
uc.353,NA,NA
uc.354,NA,NA
uc.355,NA,NA
uc.356,0.521891677993107,Log-rank
uc.357,0.143200175253376,Log-rank
uc.358,NA,NA
uc.359,0.206592196504679,Log-rank
uc.360,0.451691075576336,Log-rank
uc.361,0.480016997870451,Log-rank
uc.362,NA,NA
uc.363,NA,NA
uc.364,NA,NA
uc.365,NA,NA
uc.366,0.274095115979185,Log-rank
uc.367,0.0399235501166652,Log-rank
uc.368,0.280599056856016,Log-rank
uc.369,0.159859188908872,Log-rank
uc.370,0.59125465256668,Log-rank
uc.371,0.897400481674284,Log-rank
uc.372,0.227830430579748,Log-rank
uc.373,0.312676848724672,Log-rank
uc.374,NA,NA
uc.375,0.943291383620799,Log-rank
uc.376,0.192679632379908,Log-rank
uc.377,0.933365345284289,Log-rank
uc.378,0.0144987485411336,Log-rank
uc.379,NA,NA
uc.380,NA,NA
uc.381,NA,NA
uc.382,0.933012381768389,Log-rank
uc.383,NA,NA
uc.384,0.0310671918189243,Log-rank
uc.385,0.998504553768081,Log-rank
uc.386,NA,NA
uc.387,0.162459995084497,Log-rank
uc.388,0.816979616364004,Log-rank
uc.389,0.904200560234093,Log-rank
uc.390,0.238260029500561,Log-rank
uc.391,0.283443216095595,Log-rank
uc.392,NA,NA
uc.393,0.9898997674293,Log-rank
uc.394,NA,NA
uc.395,0.288142929389052,Log-rank
uc.396,NA,NA
uc.397,0.37845973914905,Log-rank
uc.398,0.348736741678522,Log-rank
uc.399,NA,NA
uc.400,NA,NA
uc.401,0.936633703113644,Log-rank
uc.402,0.692206427027833,Log-rank
uc.403,0.584182412184168,Log-rank
uc.404,NA,NA
uc.405,NA,NA
uc.406,0.101229748764849,Log-rank
uc.407,0.336163117678351,Log-rank
uc.408,0.686650851050334,Log-rank
uc.409,0.417863542946351,Log-rank
uc.410,NA,NA
uc.411,0.0180406437924658,Log-rank
uc.412,0.0391201515635364,Log-rank
uc.413,0.173096415485929,Log-rank
uc.414,0.600650384607067,Log-rank
uc.415,0.57121007309182,Log-rank
uc.416,0.490308536193755,Log-rank
uc.417,0.632722463836336,Log-rank
uc.418,0.148147603615031,Log-rank
uc.419,0.352209288781119,Log-rank
uc.420,0.843014030814689,Log-rank
uc.421,0.243595858236057,Log-rank
uc.422,0.259109418935494,Log-rank
uc.423,NA,NA
uc.424,NA,NA
uc.425,0.175157997221494,Log-rank
uc.426,0.568978793207293,Log-rank
uc.427,0.245645783170274,Log-rank
uc.428,NA,NA
uc.429,0.674084638208382,Log-rank
uc.430,0.6973052455118,Log-rank
uc.431,NA,NA
uc.432,NA,NA
uc.433,NA,NA
uc.434,NA,NA
uc.435,0.0987902390318892,Log-rank
uc.436,0.327111194962459,Log-rank
uc.437,0.837654027109455,Log-rank
uc.438,0.747101856208056,Log-rank
uc.439,0.587741434768191,Log-rank
uc.440,0.625398720295943,Log-rank
uc.441,0.731841037554687,Log-rank
uc.442,0.93044384628411,Log-rank
uc.443,0.175193011983781,Log-rank
uc.444,0.749594499535999,Log-rank
uc.445,NA,NA
uc.446,0.925569190953978,Log-rank
uc.447,NA,NA
uc.448,0.471164002045171,Log-rank
uc.449,0.334479353451706,Log-rank
uc.450,NA,NA
uc.451,0.0561869840503089,Log-rank
uc.452,0.168655932379372,Log-rank
uc.453,0.217468004994228,Log-rank
uc.47,NA,NA
uc.48,0.292530107401406,Log-rank
uc.49,0.60424271897395,Log-rank
uc.50,0.703645856899978,Log-rank
uc.51,NA,NA
uc.52,NA,NA
uc.53,0.882979657989502,Log-rank
uc.54,NA,NA
uc.55,NA,NA
uc.56,NA,NA
uc.57,NA,NA
uc.58,NA,NA
uc.59,NA,NA
uc.60,NA,NA
uc.61,0.700803189904036,Log-rank
uc.62,0.473848902437241,Log-rank
uc.63,0.0372217286517997,Log-rank
uc.64,0.417252190607098,Log-rank
uc.65,NA,NA
uc.66,0.654332257455025,Log-rank
uc.67,NA,NA
uc.68,0.960998637938856,Log-rank
uc.69,NA,NA
uc.70,NA,NA
uc.71,0.277714331026587,Log-rank
uc.72,0.142452580574481,Log-rank
uc.73,0.0528174239638409,Log-rank
uc.74,0.166776525973317,Log-rank
uc.75,0.399800254985013,Log-rank
uc.76,0.245045050467603,Log-rank
uc.77,0.669412277902028,Log-rank
uc.78,0.268334707422466,Log-rank
uc.79,0.32116303551183,Log-rank
uc.80,0.266348067637879,Log-rank
uc.81,NA,NA
uc.82,NA,NA
uc.83,NA,NA
uc.84,0.35198264064232,Log-rank
uc.85,NA,NA
uc.86,NA,NA
uc.87,NA,NA
uc.88,NA,NA
uc.89,0.640212340766214,Log-rank
uc.90,0.112450059334245,Log-rank
uc.91,0.0200755216279779,Log-rank
uc.92,0.0965784759835699,Log-rank
uc.93,NA,NA
uc.94,NA,NA
uc.95,0.225049489188977,Log-rank
uc.96,0.190620608748925,Log-rank
uc.97,0.596815523117282,Log-rank
uc.98,NA,NA
uc.99,NA,NA
uc.100,0.414641264001486,Log-rank
uc.101,0.549608615351388,Log-rank
uc.102,0.828498863925712,Log-rank
uc.103,0.571458199450316,Log-rank
