"","id","median_RPKM"
"uc.1","uc.1",4.0110178287747
"uc.2","uc.2",0.144141250753965
"uc.3","uc.3",0.134964385011832
"uc.4","uc.4",0.0292955263472583
"uc.5","uc.5",0.0457548068279902
"uc.6","uc.6",0.047674582898415
"uc.7","uc.7",0.0365978510266544
"uc.8","uc.8",0.0419948960021564
"uc.9","uc.9",0.0387006328257896
"uc.10","uc.10",0.0314438846632902
"uc.12","uc.12",34.5723836309423
"uc.13","uc.13",1.28650882650897
"uc.14","uc.14",0
"uc.15","uc.15",0.121931159472187
"uc.16","uc.16",0
"uc.17","uc.17",0
"uc.18","uc.18",14.013793644685
"uc.19","uc.19",0.699105566270587
"uc.20","uc.20",0.633679408706756
"uc.21","uc.21",0.124080363470644
"uc.22","uc.22",4.86953700399963
"uc.23","uc.23",6.31763828927403
"uc.24","uc.24",3.64747208225109
"uc.25","uc.25",4.99898454943024
"uc.26","uc.26",0
"uc.27","uc.27",0
"uc.28","uc.28",8.10884538518015
"uc.29","uc.29",0
"uc.30","uc.30",0
"uc.31","uc.31",0
"uc.33","uc.33",1.95016179390563
"uc.34","uc.34",3.76955651122011
"uc.35","uc.35",0
"uc.36","uc.36",4.12155125568041
"uc.37","uc.37",24.2391208106667
"uc.38","uc.38",0
"uc.39","uc.39",0
"uc.40","uc.40",0.224345231287928
"uc.41","uc.41",0
"uc.42","uc.42",0
"uc.43","uc.43",0.827165837759942
"uc.44","uc.44",10.1350148954867
"uc.45","uc.45",48.6272707723172
"uc.46","uc.46",163.303016025565
"uc.283","uc.283",0
"uc.284","uc.284",0
"uc.285","uc.285",9.58671357173774
"uc.286","uc.286",0
"uc.287","uc.287",0
"uc.288","uc.288",0
"uc.289","uc.289",0
"uc.290","uc.290",0.77149789889105
"uc.291","uc.291",1.14846368900609
"uc.292","uc.292",0.261410431364378
"uc.293","uc.293",0
"uc.294","uc.294",0
"uc.295","uc.295",0
"uc.296","uc.296",0
"uc.297","uc.297",0
"uc.298","uc.298",0
"uc.299","uc.299",0.0410303150981393
"uc.300","uc.300",0
"uc.301","uc.301",0.0261687661339825
"uc.302","uc.302",0
"uc.303","uc.303",0
"uc.304","uc.304",0.0292637030105686
"uc.305","uc.305",0.33165759658911
"uc.306","uc.306",0.419878921806178
"uc.307","uc.307",0.740553125415846
"uc.308","uc.308",0.620532695657031
"uc.309","uc.309",0.66145130137675
"uc.310","uc.310",0.463397575826037
"uc.311","uc.311",4.64919795772142
"uc.312","uc.312",3.06774340264942
"uc.313","uc.313",4.8240837590933
"uc.314","uc.314",0
"uc.315","uc.315",0
"uc.316","uc.316",0
"uc.317","uc.317",2.32392640633314
"uc.318","uc.318",0
"uc.319","uc.319",0
"uc.320","uc.320",0
"uc.321","uc.321",0
"uc.322","uc.322",0.22501040528274
"uc.323","uc.323",0.0864456490011698
"uc.324","uc.324",4.60563210327379
"uc.325","uc.325",3.72190453007095
"uc.326","uc.326",0.0847400677125256
"uc.327","uc.327",0.0867616522917104
"uc.328","uc.328",1.60453928299844
"uc.329","uc.329",0
"uc.330","uc.330",26.6058517393094
"uc.331","uc.331",0.765729393460049
"uc.332","uc.332",0
"uc.333","uc.333",4.23860445062611
"uc.334","uc.334",0
"uc.335","uc.335",2.80994924223209
"uc.336","uc.336",0
"uc.337","uc.337",0
"uc.338","uc.338",206.558317719829
"uc.339","uc.339",0.453191143995565
"uc.340","uc.340",0.0278112704798279
"uc.341","uc.341",4.55966892506572
"uc.342","uc.342",0.11466675080658
"uc.343","uc.343",1.1115477386869
"uc.344","uc.344",0.172414054875546
"uc.345","uc.345",3.33084251344063
"uc.346","uc.346",0.421314719649519
"uc.347","uc.347",0
"uc.348","uc.348",0.0785018128721953
"uc.349","uc.349",0.0987796930620761
"uc.350","uc.350",0.118202185235004
"uc.351","uc.351",0
"uc.352","uc.352",0
"uc.353","uc.353",0
"uc.354","uc.354",0
"uc.355","uc.355",0
"uc.356","uc.356",1.37460117106841
"uc.357","uc.357",0.152206807151429
"uc.358","uc.358",0
"uc.359","uc.359",12.1002609140948
"uc.360","uc.360",29.2060065681414
"uc.361","uc.361",0.255867237441892
"uc.362","uc.362",0
"uc.363","uc.363",0
"uc.364","uc.364",0
"uc.365","uc.365",0
"uc.366","uc.366",4.09242894124741
"uc.367","uc.367",0.680562786932162
"uc.368","uc.368",1.4890656672132
"uc.369","uc.369",1.48998740784997
"uc.370","uc.370",0.0426092628187729
"uc.371","uc.371",0.719614442308205
"uc.372","uc.372",1.74904655755424
"uc.373","uc.373",0.0729073495326893
"uc.374","uc.374",0
"uc.375","uc.375",0.0605514921518015
"uc.376","uc.376",2.21695874882123
"uc.377","uc.377",3.19965646618467
"uc.378","uc.378",0.857371045068584
"uc.379","uc.379",0
"uc.380","uc.380",0
"uc.381","uc.381",0
"uc.382","uc.382",0.263652171193332
"uc.383","uc.383",0
"uc.384","uc.384",0.467890926725578
"uc.385","uc.385",2.3953456532208
"uc.386","uc.386",0
"uc.387","uc.387",0.630688841037339
"uc.388","uc.388",1.88410662874108
"uc.389","uc.389",0.149498413544737
"uc.390","uc.390",4.26706872579311
"uc.391","uc.391",4.47138139175645
"uc.392","uc.392",0
