target,role,tag
MYC,ONC,cancermine
EGFR,ONC,cancermine
RET,ONC,cancermine
ABL1,ONC,cancermine
TP53,TSG,cancermine
BRAF,ONC,cancermine
ERBB2,ONC,cancermine
KRAS,ONC,cancermine
KIT,ONC,cancermine
PTEN,TSG,cancermine
MYCN,ONC,cancermine
RB1,TSG,cancermine
WT1,TSG,cancermine
NRAS,ONC,cancermine
ALK,ONC,cancermine
CDKN2A,TSG,cancermine
MET,ONC,cancermine
FOS,ONC,cancermine
BRCA1,TSG,cancermine
APC,TSG,cancermine
BCL2,ONC,cancermine
CCND1,ONC,cancermine
VHL,TSG,cancermine
YAP1,ONC,cancermine
AKT1,ONC,cancermine
MYB,ONC,cancermine
EWSR1,ONC,cancermine
RUNX3,TSG,cancermine
PIK3CA,ONC,cancermine
HRAS,ONC,cancermine
STAT3,ONC,cancermine
ROS1,ONC,cancermine
EZH2,ONC,cancermine
BCR,ONC,cancermine
GLI1,ONC,cancermine
SHH,ONC,cancermine
SRC,ONC,cancermine
JUN,ONC,cancermine
BCL6,ONC,cancermine
STK11,TSG,cancermine
RASSF1,TSG,cancermine
CTNNB1,ONC,cancermine
NF1,TSG,cancermine
PDGFRA,ONC,cancermine
SOX2,ONC,cancermine
HGF,ONC,cancermine
MARK2,ONC,cancermine
MITF,ONC,cancermine
SMAD4,TSG,cancermine
LMO2,ONC,cancermine
MTDH,ONC,cancermine
MDM2,ONC,cancermine
TAZ,ONC,cancermine
ERG,ONC,cancermine
BRCA2,TSG,cancermine
EGF,ONC,cancermine
FOXM1,ONC,cancermine
CD274,ONC,cancermine
CADM1,TSG,cancermine
MTOR,ONC,cancermine
PDGFB,ONC,cancermine
NTRK1,ONC,cancermine
AR,ONC,cancermine
VEGFA,ONC,cancermine
NF2,TSG,cancermine
NFKB1,ONC,cancermine
TERT,ONC,cancermine
PTTG1,ONC,cancermine
CSF1R,ONC,cancermine
TAL1,ONC,cancermine
ARID1A,TSG,cancermine
WWOX,TSG,cancermine
BAP1,TSG,cancermine
KLF6,TSG,cancermine
CDK16,ONC,cancermine
TCL1A,ONC,cancermine
PTGS2,ONC,cancermine
FGFR1,ONC,cancermine
MAF,ONC,cancermine
PTGDR,ONC,cancermine
CBL,ONC,cancermine
PTPN11,ONC,cancermine
SLC3A2,ONC,cancermine
PI3,ONC,cancermine
CDK8,ONC,cancermine
MAPK1,ONC,cancermine
TWSG1,TSG,cancermine
BCL2L1,ONC,cancermine
DLC1,TSG,cancermine
ETS1,ONC,cancermine
RAF1,ONC,cancermine
RARA,ONC,cancermine
SMARCB1,TSG,cancermine
SOX4,ONC,cancermine
FBXW7,TSG,cancermine
NDRG2,TSG,cancermine
FGFR3,ONC,cancermine
FOXP3,TSG,cancermine
IL6,ONC,cancermine
JAK2,ONC,cancermine
SERPINB5,TSG,cancermine
SETD2,TSG,cancermine
SKP2,ONC,cancermine
NPM1,ONC,cancermine
RBMS3,ONC,cancermine
MLLT3,ONC,cancermine
NFIB,ONC,cancermine
NKX3-1,TSG,cancermine
MAPK8,ONC,cancermine
AXL,ONC,cancermine
DEK,ONC,cancermine
FOXO3,TSG,cancermine
MAP2K7,ONC,cancermine
NKX2-1,ONC,cancermine
SPOP,TSG,cancermine
ZEB1,ONC,cancermine
CDKN2B,TSG,cancermine
HMGA2,ONC,cancermine
PAX6,TSG,cancermine
PRRT2,ONC,cancermine
REL,ONC,cancermine
SETDB1,ONC,cancermine
YBX1,ONC,cancermine
CHD5,TSG,cancermine
CRNDE,ONC,cancermine
HPGD,TSG,cancermine
KDM6A,TSG,cancermine
KL,TSG,cancermine
PTPRD,TSG,cancermine
AURKA,ONC,cancermine
ERBB3,ONC,cancermine
INS,ONC,cancermine
NCOA3,ONC,cancermine
OTX2,ONC,cancermine
FTO,ONC,cancermine
IRF4,ONC,cancermine
MUC1,ONC,cancermine
STAT1,TSG,cancermine
TET2,TSG,cancermine
ZNF703,ONC,cancermine
ESR2,ONC,cancermine
ETV6,ONC,cancermine
FASN,ONC,cancermine
IRF8,TSG,cancermine
PCNA,ONC,cancermine
TP63,ONC,cancermine
WNT1,ONC,cancermine
DCC,TSG,cancermine
EPHA2,ONC,cancermine
FOXA1,ONC,cancermine
TLX1,ONC,cancermine
GNAQ,ONC,cancermine
HMGA1,ONC,cancermine
LMO1,ONC,cancermine
PIM1,ONC,cancermine
TCF21,TSG,cancermine
AKT2,ONC,cancermine
ATF2,ONC,cancermine
CDKN2C,TSG,cancermine
CDKN3,ONC,cancermine
DIRAS3,TSG,cancermine
EML4,ONC,cancermine
FLCN,TSG,cancermine
FLI1,ONC,cancermine
FUS,ONC,cancermine
MST1R,ONC,cancermine
NTN1,ONC,cancermine
QKI,TSG,cancermine
SIRT3,TSG,cancermine
SOCS1,TSG,cancermine
TFCP2,ONC,cancermine
CAV1,TSG,cancermine
CDC73,TSG,cancermine
EIF4E,ONC,cancermine
EPHA7,TSG,cancermine
FGFR2,ONC,cancermine
GNAS,ONC,cancermine
HOXA9,ONC,cancermine
KDM5B,ONC,cancermine
MYD88,ONC,cancermine
TRIM3,TSG,cancermine
TWIST1,ONC,cancermine
CTCF,ONC,cancermine
CYLD,TSG,cancermine
DAB2IP,TSG,cancermine
FOXC1,ONC,cancermine
GOLPH3,ONC,cancermine
MCL1,ONC,cancermine
PELP1,ONC,cancermine
PRDM1,TSG,cancermine
TP73,TSG,cancermine
URI1,ONC,cancermine
