Cell Line,Experiment,Sample,Day,Rep 1,Rep 2,Rep 3,Rep 4,Rep 5,Rep 6,Rep 7,Rep 8
U251,Stable Overexpression,pCDH,0,1,,,,,,,
U251,Stable Overexpression,uc.110-ovrexp,0,1,,,,,,,
U87,Stable Overexpression,pCDH,0,1,,,,,,,
U87,Stable Overexpression,uc.110-ovrexp,0,1,,,,,,,
U251,Stable Overexpression,pCDH,3,2.466666667,3.616666667,2.583333333,,,,,
U251,Stable Overexpression,uc.110-ovrexp,3,2.45,1.7,1.433333333,,,,,
U87,Stable Overexpression,pCDH,3,1.016666667,1.133333333,0.766666667,,,,,
U87,Stable Overexpression,uc.110-ovrexp,3,2.516666667,3.2,2.95,,,,,
U251,Stable Overexpression,pCDH,5,4.3,4.266666666,4.766666666,,,,,
U251,Stable Overexpression,uc.110-ovrexp,5,3.666666666,5.066666666,4.733333334,,,,,
U87,Stable Overexpression,pCDH,5,3.533333334,3.333333334,4.033333334,,,,,
U87,Stable Overexpression,uc.110-ovrexp,5,2.533333334,1.8,2.433333334,,,,,
U87,Transient Overexpression,pCDH,0,1,,,,,,,
U87,Transient Overexpression,110-1,0,1,,,,,,,
U87,Transient Overexpression,110-2,0,1,,,,,,,
U87,Transient Overexpression,pCDH,3,1.5,1.566666667,1.433333333,,,,,
U87,Transient Overexpression,110-1,3,1.7,1.4,1.733333333,,,,,
U87,Transient Overexpression,110-2,3,1.466666667,1.766666667,1.433333333,,,,,
U87,Transient Overexpression,pCDH,5,1.8,2.233333333,2.333333333,,,,,
U87,Transient Overexpression,110-1,5,2.1,2.1,2.333333333,,,,,
U87,Transient Overexpression,110-2,5,3.1,2.9,2.366666667,,,,,
U87,Transient Overexpression,pCDH,7,2.2,2.52,2.44,2.64,2.8,,,
U87,Transient Overexpression,110-1,7,2.04,2.36,2.36,2.8,1.84,5.9,,
U87,Transient Overexpression,110-2,7,2.48,3.08,2.32,2.96,,,,
U251 LV-pCDH,siRNA rescue,SCR,0,1,,,,,,,
U251 LV-pCDH,siRNA rescue,110-2,0,1,,,,,,,
U251 LV-pCDH,siRNA rescue,110-3,0,1,,,,,,,
U251 LV-uc.110,siRNA rescue,SCR,0,1,,,,,,,
U251 LV-uc.110,siRNA rescue,110-2,0,1,,,,,,,
U251 LV-uc.110,siRNA rescue,110-3,0,1,,,,,,,
U251 LV-pCDH,siRNA rescue,SCR,3,0.6,0.733333334,0.7,0.766666666,1.6,1.566666666,1.066666666,0.8
U251 LV-pCDH,siRNA rescue,110-2,3,1.133333334,1.3,0.933333334,0.933333334,1.166666666,1.5,1.033333334,1.4
U251 LV-pCDH,siRNA rescue,110-3,3,1.066666666,1.233333334,1.3,1,1.266666666,1.333333334,1.133333334,1.333333334
U251 LV-uc.110,siRNA rescue,SCR,3,0.633333334,0.633333334,0.933333334,0.633333334,0.8,0.666666666,0.966666666,0.6
U251 LV-uc.110,siRNA rescue,110-2,3,0.733333334,1.466666666,0.933333334,0.766666666,0.566666666,0.866666666,0.666666666,0.966666666
U251 LV-uc.110,siRNA rescue,110-3,3,1.1,0.966666666,0.766666666,1.166666666,1,1.033333334,0.733333334,0.966666666
U251 LV-pCDH,siRNA rescue,SCR,5,3.1,3.766666667,2.833333333,4.366666667,,,,
U251 LV-pCDH,siRNA rescue,110-2,5,0.233333333,0.266666667,0.2,0.466666667,,,,
U251 LV-pCDH,siRNA rescue,110-3,5,0.266666667,0.333333333,0.966666667,0.466666667,,,,
U251 LV-uc.110,siRNA rescue,SCR,5,3.4,3.5,5.766666667,4.7,,,,
U251 LV-uc.110,siRNA rescue,110-2,5,0.966666667,1.033333333,2.1,2.233333333,,,,
U251 LV-uc.110,siRNA rescue,110-3,5,3.8,3.8,1.633333333,1.5,,,,
U87 LV-pCDH,siRNA rescue,SCR,0,1,,,,,,,
U87 LV-pCDH,siRNA rescue,110-2,0,1,,,,,,,
U87 LV-pCDH,siRNA rescue,110-3,0,1,,,,,,,
U87 LV-uc.110,siRNA rescue,SCR,0,1,,,,,,,
U87 LV-uc.110,siRNA rescue,110-2,0,1,,,,,,,
U87 LV-uc.110,siRNA rescue,110-3,0,1,,,,,,,
U87 LV-pCDH,siRNA rescue,SCR,3,0.666666666,0.866666666,0.8,0.833333334,2.933333334,2.333333334,3.533333334,3.7
U87 LV-pCDH,siRNA rescue,110-2,3,1.033333334,1.6,1.2,1.266666666,4,4.133333334,3.433333334,2.966666666
U87 LV-pCDH,siRNA rescue,110-3,3,0.633333334,1.033333334,0.733333334,0.733333334,1.6,1.566666666,3.766666666,3.133333334
U87 LV-uc.110,siRNA rescue,SCR,3,0.566666666,0.933333334,0.566666666,0.833333334,0.733333334,1.466666666,1.066666666,1.133333334
U87 LV-uc.110,siRNA rescue,110-2,3,0.8,1.166666666,0.7,0.7,1.5,1.633333334,1.166666666,1.566666666
U87 LV-uc.110,siRNA rescue,110-3,3,1.066666666,0.533333334,1.133333334,1.5,1.666666666,1.433333334,0.933333334,1.2
U87 LV-pCDH,siRNA rescue,SCR,5,3.1,2.366666667,1.866666667,1.8,2.133333333,0.333333333,1.433333333,1.7
U87 LV-pCDH,siRNA rescue,110-2,5,2.633333333,2.366666667,7.4,7.233333333,2.8,2.766666667,2.5,2.166666667
U87 LV-pCDH,siRNA rescue,110-3,5,1,1.866666667,3.133333333,2.333333333,2.466666667,2.533333333,2.333333333,2.433333333
U87 LV-uc.110,siRNA rescue,SCR,5,1.333333333,1.266666667,0.333333333,0.533333333,0.966666667,1,1.2,1.1
U87 LV-uc.110,siRNA rescue,110-2,5,1.166666667,1.833333333,1.366666667,2.7,2.066666667,2.5,1.966666667,1.4
U87 LV-uc.110,siRNA rescue,110-3,5,0.833333333,1.133333333,0.733333333,0.566666667,1.3,1.5,2.233333333,1.566666667
U87 LV-pCDH,siRNA rescue,SCR,7,1.933333333,2.4,3.133333333,2.466666667,,,,
U87 LV-pCDH,siRNA rescue,110-2,7,1.866666667,1.233333333,,,,,,
U87 LV-pCDH,siRNA rescue,110-3,7,2.833333333,2.233333333,2.1,2.966666667,,,,
U87 LV-uc.110,siRNA rescue,SCR,7,0.266666667,0.3,0.166666667,0.2,,,,
U87 LV-uc.110,siRNA rescue,110-2,7,1.766666667,2.266666667,0.866666667,0.833333333,,,,
U87 LV-uc.110,siRNA rescue,110-3,7,0.166666667,0.233333333,0.533333333,0.466666667,,,,
