grey,#808080
midnightgreen,#004C54
black,#000000
red,#FF0000
blue,#0000FF
yellow,#FFFF00
green,#00FF00
orange,#FFA500
purple,#800080
pink,#FFC0CB
aquamarine,#7fffd4
brown,#964B00
charcoal,#565A5C
darkred,#8b0000
teal,#008080
chocolate,#d2691e
indigo,#4b0082
gold,#ffd700
yellow,#ffff00
turquoise,#40e0d0
chartreuse,#7fff00
lime,#00ff00
crimson,#dc143c
aqua,#00ffff
thistle,#d8bfd8
coral,#ff7f50
fuchsia,#ff00ff
salmon,#fa8072
silver,#c0c0c0
plum,#dda0dd
violet,#ee82ee
limegreen,#32cd32
purple2,#7f007f
goldenrod,#daa520
darkseagreen,#8fbc8f
maroon3,#b03060
mediumaquamarine,#66cdaa
darkorchid,#9932cc
orangered,#ff4500
darkorange,#ff8c00
mediumvioletred,#c71585
mediumblue,#0000cd
burlywood,#deb887
mediumorchid,#ba55d3
mediumspringgreen,#00fa9a
blueviolet,#8a2be2
springgreen,#00ff7f
royalblue,#4169e1
deepskyblue,#00bfff
sandybrown,#f4a460
mediumpurple,#9370db
greenyellow,#adff2f
palevioletred,#db7093
dimgray,#696969
darkslategray,#2f4f4f
darkolivegreen,#556b2f
olivedrab,#6b8e23
maroon2,#7f0000
midnightblue,#191970
olive,#808000
darkslateblue,#483d8b
firebrick,#b22222
cadetblue,#5f9ea0
lightslategray,#778899
green2,#008000
mediumseagreen,#3cb371
rosybrown,#bc8f8f
palegoldenrod,#eee8aa
deeppink,#ff1493
hotpink,#ff69b4
laserlemon,#ffff54
powderblue,#b0e0e6
mediumslateblue,#7b68ee
palegreen,#98fb98
cornflower,#6495ed
skyblue,#87ceeb
lightsalmon,#ffa07a
rebeccapurple,#663399
darkkhaki,#bdb76b
steelblue,#4682b4
yellowgreen,#9acd32
indianred,#cd5c5c
lightseagreen,#20b2aa
darkblue,#00008b
