id,dex,barcode
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-1117F-3226-SM-5N9CT.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-1117F-3226-SM-5N9CT
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-111FC-3126-SM-5GZZ2.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-111FC-3126-SM-5GZZ2
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-1128S-2726-SM-5H12C.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-1128S-2726-SM-5H12C
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-117XS-3026-SM-5N9CA.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-117XS-3026-SM-5N9CA
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-1192X-3126-SM-5N9BY.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-1192X-3126-SM-5N9BY
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11DXW-1126-SM-5H12Q.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11DXW-1126-SM-5H12Q
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11DXY-3226-SM-5GIDE.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11DXY-3226-SM-5GIDE
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11EI6-3026-SM-5GZZO.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11EI6-3026-SM-5GZZO
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11EMC-3226-SM-5EGKW.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11EMC-3226-SM-5EGKW
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11GS4-3126-SM-5A5LH.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11GS4-3126-SM-5A5LH
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11GSO-2926-SM-5HL73.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11GSO-2926-SM-5HL73
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11GSP-3226-SM-5986O.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11GSP-3226-SM-5986O
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11NUK-2926-SM-5A5MD.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11NUK-2926-SM-5A5MD
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11NV4-2126-SM-5N9DS.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11NV4-2126-SM-5N9DS
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11O72-2926-SM-5BC4V.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11O72-2926-SM-5BC4V
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11OC5-0726-SM-5P9JK.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11OC5-0726-SM-5P9JK
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11OF3-2926-SM-5HL78.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11OF3-2926-SM-5HL78
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11ONC-2926-SM-5P9JM.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11ONC-2926-SM-5P9JM
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11PRG-2926-SM-5987A.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11PRG-2926-SM-5987A
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11TTK-2926-SM-5PNYP.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11TTK-2926-SM-5PNYP
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11WQK-3026-SM-5EQL6.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11WQK-3026-SM-5EQL6
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-11ZUS-2926-SM-5FQSL.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-11ZUS-2926-SM-5FQSL
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-12126-1026-SM-5P9JJ.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-12126-1026-SM-5P9JJ
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-12WSA-2926-SM-5EQ4D.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-12WSA-2926-SM-5EQ4D
RNASEQ-PROCESSED/gtex_analysis/cortex/reindex/GTEX-12WSC-3026-SM-5GCNF.Aligned.sortedByCoord.out.patched.md.bam,normal,GTEX-12WSC-3026-SM-5GCNF
