id,counts
lgg_tcga_analysis/readcounts/TCGA-CS-4941-01A-01R-1470-07,152068752
lgg_tcga_analysis/readcounts/TCGA-CS-4942-01A-01R-1470-07,152534629
lgg_tcga_analysis/readcounts/TCGA-CS-4943-01A-01R-1470-07,156295197
lgg_tcga_analysis/readcounts/TCGA-CS-5390-01A-02R-1470-07,155484862
lgg_tcga_analysis/readcounts/TCGA-CS-5393-01A-01R-1470-07,136583872
lgg_tcga_analysis/readcounts/TCGA-CS-5394-01A-01R-1470-07,152268846
lgg_tcga_analysis/readcounts/TCGA-CS-5395-01A-01R-1470-07,136862475
lgg_tcga_analysis/readcounts/TCGA-CS-5396-01A-02R-1470-07,174688370
lgg_tcga_analysis/readcounts/TCGA-CS-5397-01A-01R-1896-07,147321562
lgg_tcga_analysis/readcounts/TCGA-CS-6186-01A-12R-2027-07,101254844
lgg_tcga_analysis/readcounts/TCGA-CS-6188-01A-11R-1896-07,134926799
lgg_tcga_analysis/readcounts/TCGA-CS-6290-01A-11R-1708-07,138910716
lgg_tcga_analysis/readcounts/TCGA-CS-6666-01A-11R-1896-07,122627369
lgg_tcga_analysis/readcounts/TCGA-CS-6667-01A-12R-2027-07,165722864
lgg_tcga_analysis/readcounts/TCGA-CS-6668-01A-11R-1896-07,146808338
lgg_tcga_analysis/readcounts/TCGA-CS-6669-01A-11R-1896-07,140921231
lgg_tcga_analysis/readcounts/TCGA-CS-6670-01A-11R-1896-07,149423769
lgg_tcga_analysis/readcounts/TCGA-DB-5270-01A-02R-1470-07,160732806
lgg_tcga_analysis/readcounts/TCGA-DB-5273-01A-01R-1470-07,145533476
lgg_tcga_analysis/readcounts/TCGA-DB-5274-01A-01R-1470-07,117259294
lgg_tcga_analysis/readcounts/TCGA-DB-5275-01A-01R-1470-07,163886588
lgg_tcga_analysis/readcounts/TCGA-DB-5277-01A-01R-1470-07,138808574
lgg_tcga_analysis/readcounts/TCGA-DB-5278-01A-01R-1470-07,160813193
lgg_tcga_analysis/readcounts/TCGA-DB-5279-01A-03R-2347-07,170755574
lgg_tcga_analysis/readcounts/TCGA-DB-5280-01A-01R-1470-07,156108416
lgg_tcga_analysis/readcounts/TCGA-DB-5281-01A-01R-1470-07,183505878
lgg_tcga_analysis/readcounts/TCGA-DB-A4X9-01A-11R-A26U-07,99176477
lgg_tcga_analysis/readcounts/TCGA-DB-A4XA-01A-11R-A26U-07,100717980
lgg_tcga_analysis/readcounts/TCGA-DB-A4XB-01A-11R-A26U-07,86931050
lgg_tcga_analysis/readcounts/TCGA-DB-A4XC-01A-11R-A26U-07,82409717
lgg_tcga_analysis/readcounts/TCGA-DB-A4XD-01A-11R-A27Q-07,109758672
lgg_tcga_analysis/readcounts/TCGA-DB-A4XE-01A-11R-A27Q-07,109870846
lgg_tcga_analysis/readcounts/TCGA-DB-A4XF-01A-11R-A27Q-07,115956584
lgg_tcga_analysis/readcounts/TCGA-DB-A4XG-01A-11R-A27Q-07,137340376
lgg_tcga_analysis/readcounts/TCGA-DB-A4XH-01A-11R-A27Q-07,123278476
lgg_tcga_analysis/readcounts/TCGA-DB-A64L-01A-11R-A29R-07,113854598
lgg_tcga_analysis/readcounts/TCGA-DB-A64O-01A-11R-A29R-07,105271428
lgg_tcga_analysis/readcounts/TCGA-DB-A64P-01A-11R-A29R-07,126921799
lgg_tcga_analysis/readcounts/TCGA-DB-A64Q-01A-11R-A29R-07,118963994
lgg_tcga_analysis/readcounts/TCGA-DB-A64R-01A-11R-A29R-07,106472298
lgg_tcga_analysis/readcounts/TCGA-DB-A64S-01A-11R-A29R-07,110214706
lgg_tcga_analysis/readcounts/TCGA-DB-A64U-01A-11R-A29R-07,133970088
lgg_tcga_analysis/readcounts/TCGA-DB-A64V-01A-11R-A29R-07,130571734
lgg_tcga_analysis/readcounts/TCGA-DB-A64W-01A-11R-A29R-07,107803824
lgg_tcga_analysis/readcounts/TCGA-DB-A64X-01A-11R-A29R-07,117151794
lgg_tcga_analysis/readcounts/TCGA-DB-A75K-01A-11R-A32Q-07,141651143
lgg_tcga_analysis/readcounts/TCGA-DB-A75L-01A-11R-A32Q-07,142855845
lgg_tcga_analysis/readcounts/TCGA-DB-A75M-01A-11R-A32Q-07,134626745
lgg_tcga_analysis/readcounts/TCGA-DB-A75O-01A-11R-A32Q-07,104923872
lgg_tcga_analysis/readcounts/TCGA-DB-A75P-01A-11R-A32Q-07,135360384
lgg_tcga_analysis/readcounts/TCGA-DH-5140-01A-01R-1470-07,153931096
lgg_tcga_analysis/readcounts/TCGA-DH-5141-01A-01R-1470-07,161004981
lgg_tcga_analysis/readcounts/TCGA-DH-5142-01A-01R-1470-07,136654492
lgg_tcga_analysis/readcounts/TCGA-DH-5143-01A-01R-1470-07,145269907
lgg_tcga_analysis/readcounts/TCGA-DH-5144-01A-01R-1470-07,156235817
lgg_tcga_analysis/readcounts/TCGA-DH-A669-02A-11R-A31N-07,122862614
lgg_tcga_analysis/readcounts/TCGA-DH-A66D-01A-11R-A31N-07,142063712
lgg_tcga_analysis/readcounts/TCGA-DH-A66F-01A-11R-A29R-07,118501370
lgg_tcga_analysis/readcounts/TCGA-DH-A66G-01A-21R-A31N-07,117939718
lgg_tcga_analysis/readcounts/TCGA-DH-A7UR-01A-11R-A33Z-07,133226227
lgg_tcga_analysis/readcounts/TCGA-DH-A7US-01A-11R-A33Z-07,131594510
lgg_tcga_analysis/readcounts/TCGA-DH-A7UT-01A-12R-A34F-07,106935231
lgg_tcga_analysis/readcounts/TCGA-DH-A7UU-01A-12R-A34F-07,129699468
lgg_tcga_analysis/readcounts/TCGA-DH-A7UV-01A-12R-A34F-07,156535077
lgg_tcga_analysis/readcounts/TCGA-DU-5847-01A-11R-1708-07,161043561
lgg_tcga_analysis/readcounts/TCGA-DU-5849-01A-11R-1708-07,174818167
lgg_tcga_analysis/readcounts/TCGA-DU-5852-01A-11R-1708-07,147063901
lgg_tcga_analysis/readcounts/TCGA-DU-5853-01A-11R-1896-07,142488497
lgg_tcga_analysis/readcounts/TCGA-DU-5854-01A-11R-1708-07,140267450
lgg_tcga_analysis/readcounts/TCGA-DU-5855-01A-11R-1708-07,151067885
lgg_tcga_analysis/readcounts/TCGA-DU-5870-01A-11R-1708-07,151075075
lgg_tcga_analysis/readcounts/TCGA-DU-5870-02A-12R-A36H-07,137984633
lgg_tcga_analysis/readcounts/TCGA-DU-5871-01A-12R-1708-07,148078955
lgg_tcga_analysis/readcounts/TCGA-DU-5872-01A-11R-1708-07,171914878
lgg_tcga_analysis/readcounts/TCGA-DU-5872-02A-21R-A36H-07,108981053
lgg_tcga_analysis/readcounts/TCGA-DU-5874-01A-11R-1708-07,173089019
lgg_tcga_analysis/readcounts/TCGA-DU-6392-01A-11R-1708-07,182243754
lgg_tcga_analysis/readcounts/TCGA-DU-6393-01A-11R-1708-07,199761062
lgg_tcga_analysis/readcounts/TCGA-DU-6394-01A-11R-1708-07,180773701
lgg_tcga_analysis/readcounts/TCGA-DU-6395-01A-13R-1708-07,164158457
lgg_tcga_analysis/readcounts/TCGA-DU-6396-01A-11R-1708-07,161889840
lgg_tcga_analysis/readcounts/TCGA-DU-6397-01A-11R-1708-07,149600393
lgg_tcga_analysis/readcounts/TCGA-DU-6397-02A-12R-A36H-07,115614770
lgg_tcga_analysis/readcounts/TCGA-DU-6399-01A-12R-1708-07,152212763
lgg_tcga_analysis/readcounts/TCGA-DU-6400-01A-12R-1708-07,191238480
lgg_tcga_analysis/readcounts/TCGA-DU-6401-01A-11R-1708-07,149482243
lgg_tcga_analysis/readcounts/TCGA-DU-6402-01A-11R-1708-07,158090449
lgg_tcga_analysis/readcounts/TCGA-DU-6403-01A-11R-1708-07,142660068
lgg_tcga_analysis/readcounts/TCGA-DU-6404-01A-11R-1708-07,180388944
lgg_tcga_analysis/readcounts/TCGA-DU-6404-02A-21R-A36H-07,157526850
lgg_tcga_analysis/readcounts/TCGA-DU-6404-02B-11R-A36H-07,148800246
lgg_tcga_analysis/readcounts/TCGA-DU-6406-01A-11R-1708-07,157216468
lgg_tcga_analysis/readcounts/TCGA-DU-6407-01A-13R-1708-07,136098139
lgg_tcga_analysis/readcounts/TCGA-DU-6407-02A-12R-A36H-07,116355377
lgg_tcga_analysis/readcounts/TCGA-DU-6407-02B-11R-A36H-07,171699753
lgg_tcga_analysis/readcounts/TCGA-DU-6408-01A-11R-1708-07,135209344
lgg_tcga_analysis/readcounts/TCGA-DU-6410-01A-11R-1896-07,156596482
lgg_tcga_analysis/readcounts/TCGA-DU-6542-01A-11R-1896-07,122535483
lgg_tcga_analysis/readcounts/TCGA-DU-7006-01A-11R-2027-07,164211036
lgg_tcga_analysis/readcounts/TCGA-DU-7007-01A-11R-2027-07,158593190
lgg_tcga_analysis/readcounts/TCGA-DU-7009-01A-11R-2027-07,175454877
lgg_tcga_analysis/readcounts/TCGA-DU-7010-01A-11R-2027-07,169739467
lgg_tcga_analysis/readcounts/TCGA-DU-7011-01A-11R-2027-07,163015376
lgg_tcga_analysis/readcounts/TCGA-DU-7012-01A-11R-2027-07,155427319
lgg_tcga_analysis/readcounts/TCGA-DU-7013-01A-11R-2027-07,203067156
lgg_tcga_analysis/readcounts/TCGA-DU-7014-01A-11R-2027-07,194091473
lgg_tcga_analysis/readcounts/TCGA-DU-7015-01A-11R-2027-07,183895625
lgg_tcga_analysis/readcounts/TCGA-DU-7018-01A-11R-2027-07,210739551
lgg_tcga_analysis/readcounts/TCGA-DU-7019-01A-11R-2027-07,162254358
lgg_tcga_analysis/readcounts/TCGA-DU-7290-01A-11R-2027-07,149066067
lgg_tcga_analysis/readcounts/TCGA-DU-7292-01A-11R-2027-07,164557340
lgg_tcga_analysis/readcounts/TCGA-DU-7294-01A-11R-2027-07,154959683
lgg_tcga_analysis/readcounts/TCGA-DU-7298-01A-11R-2027-07,164597073
lgg_tcga_analysis/readcounts/TCGA-DU-7299-01A-21R-2027-07,186871662
lgg_tcga_analysis/readcounts/TCGA-DU-7300-01A-21R-2090-07,157106172
lgg_tcga_analysis/readcounts/TCGA-DU-7301-01A-11R-2090-07,150879074
lgg_tcga_analysis/readcounts/TCGA-DU-7302-01A-11R-2090-07,142255527
lgg_tcga_analysis/readcounts/TCGA-DU-7304-01A-12R-2090-07,160445450
