id,counts
tcga_analysis/readcounts/TCGA-02-0047-01A-01R-1849-01,95083300
tcga_analysis/readcounts/TCGA-02-0055-01A-01R-1849-01,110805901
tcga_analysis/readcounts/TCGA-02-2483-01A-01R-1849-01,128010488
tcga_analysis/readcounts/TCGA-02-2485-01A-01R-1849-01,113081616
tcga_analysis/readcounts/TCGA-02-2486-01A-01R-1849-01,102129099
tcga_analysis/readcounts/TCGA-06-0125-01A-01R-1849-01,131047704
tcga_analysis/readcounts/TCGA-06-0125-02A-11R-2005-01,112013636
tcga_analysis/readcounts/TCGA-06-0129-01A-01R-1849-01,134554558
tcga_analysis/readcounts/TCGA-06-0130-01A-01R-1849-01,111926132
tcga_analysis/readcounts/TCGA-06-0132-01A-02R-1849-01,106323168
tcga_analysis/readcounts/TCGA-06-0138-01A-02R-1849-01,97747460
tcga_analysis/readcounts/TCGA-06-0139-01A-01R-1849-01,31996133
tcga_analysis/readcounts/TCGA-06-0141-01A-01R-1849-01,134179128
tcga_analysis/readcounts/TCGA-06-0152-02A-01R-2005-01,123844639
tcga_analysis/readcounts/TCGA-06-0157-01A-01R-1849-01,122991996
tcga_analysis/readcounts/TCGA-06-0158-01A-01R-1849-01,129224421
tcga_analysis/readcounts/TCGA-06-0168-01A-01R-1849-01,28375731
tcga_analysis/readcounts/TCGA-06-0171-02A-11R-2005-01,129020478
tcga_analysis/readcounts/TCGA-06-0174-01A-01R-1849-01,110547002
tcga_analysis/readcounts/TCGA-06-0184-01A-01R-1849-01,121831876
tcga_analysis/readcounts/TCGA-06-0187-01A-01R-1849-01,118820161
tcga_analysis/readcounts/TCGA-06-0190-01A-01R-1849-01,102258990
tcga_analysis/readcounts/TCGA-06-0190-02A-01R-2005-01,112171672
tcga_analysis/readcounts/TCGA-06-0210-01A-01R-1849-01,126609416
tcga_analysis/readcounts/TCGA-06-0210-02A-01R-2005-01,122646765
tcga_analysis/readcounts/TCGA-06-0211-01A-01R-1849-01,117826000
