RAWID,TCGAID
00ee34bb-06e4-492d-ac89-dc7e7d47f572_gdc_realn_rehead.bam,TCGA-26-5139-01A-01R-1850-01.bam
01715c1f-2530-4943-a65c-0c4809dfba5a_gdc_realn_rehead.bam,TCGA-06-0745-01A-01R-1849-01.bam
0181e13f-1844-466b-a57d-6e00b6d411cc_gdc_realn_rehead.bam,TCGA-06-0190-02A-01R-2005-01.bam
01a54077-f666-4a2f-a09d-371904b67a71_gdc_realn_rehead.bam,TCGA-06-2563-01A-01R-1849-01.bam
04530eca-7cc6-413e-a706-d1c1f4919ce3_gdc_realn_rehead.bam,TCGA-06-0211-02A-02R-2005-01.bam
056a6e7e-ca98-4af7-ab89-ea053d65b9aa_gdc_realn_rehead.bam,TCGA-32-4213-01A-01R-1850-01.bam
082b874f-bb14-4c9c-aa02-2dbb9d8e3b3c_gdc_realn_rehead.bam,TCGA-14-1829-01A-01R-1850-01.bam
095f13f6-6bf5-4835-883d-d664c14585f9_gdc_realn_rehead.bam,TCGA-19-0957-02A-11R-2005-01.bam
099f0282-5b58-437f-bbed-75713062529a_gdc_realn_rehead.bam,TCGA-06-0129-01A-01R-1849-01.bam
0b6e4d21-f76f-49b4-9069-dd0dd719e934_gdc_realn_rehead.bam,TCGA-06-2558-01A-01R-1849-01.bam
0fb8d0ed-fb27-4b1d-b465-0040628c2ca2_gdc_realn_rehead.bam,TCGA-06-5416-01A-01R-1849-01.bam
1116895b-c2c7-4e8f-b648-4a86e984696c_gdc_realn_rehead.bam,TCGA-32-2616-01A-01R-1850-01.bam
11b57e74-e0fc-4e5a-8c1a-89ed122253ea_gdc_realn_rehead.bam,TCGA-02-0047-01A-01R-1849-01.bam
11da168f-9361-44cb-bc39-77614802fb73_gdc_realn_rehead.bam,TCGA-12-5299-01A-02R-1849-01.bam
1422e173-0299-4070-9e67-74ad6bdc0257_gdc_realn_rehead.bam,TCGA-27-2524-01A-01R-1850-01.bam
14462afc-8c9e-4627-a8d6-4a64c0e6be43_gdc_realn_rehead.bam,TCGA-28-2510-01A-01R-1850-01.bam
1614aef5-0c38-46c9-8771-53f2126dcd1b_gdc_realn_rehead.bam,TCGA-76-4926-01B-01R-1850-01.bam
16cf6477-6739-4926-b397-7e36af5904ae_gdc_realn_rehead.bam,TCGA-27-2523-01A-01R-1850-01.bam
18b748f6-e937-4d57-9b6c-3c3f28f82c79_gdc_realn_rehead.bam,TCGA-12-0616-01A-01R-1849-01.bam
18f29516-5a4f-41ac-84ab-ff97f69b158a_gdc_realn_rehead.bam,TCGA-06-5412-01A-01R-1849-01.bam
19c1c00d-6c5d-4b61-a6ea-defa58e2b23e_gdc_realn_rehead.bam,TCGA-16-0846-01A-01R-1850-01.bam
1c0729f5-b8df-4123-b3af-9c5b9f3d0f8a_gdc_realn_rehead.bam,TCGA-41-2572-01A-01R-1850-01.bam
1c581e76-072d-4060-9a65-c3203a0f3918_gdc_realn_rehead.bam,TCGA-27-2521-01A-01R-1850-01.bam
212ae104-eccf-4888-a4e0-2e9be74ac1f1_gdc_realn_rehead.bam,TCGA-06-0190-01A-01R-1849-01.bam
24601f92-139a-4c2c-8bd5-1537eda7678e_gdc_realn_rehead.bam,TCGA-32-1980-01A-01R-1850-01.bam
2500fa8f-39af-4b46-8a8f-2147f7ddce56_gdc_realn_rehead.bam,TCGA-28-2509-01A-01R-1850-01.bam
26be2fb8-f872-4105-82a4-f63f3597f461_gdc_realn_rehead.bam,TCGA-27-1830-01A-01R-1850-01.bam
27374cfc-7c71-4c05-91bd-390f37cfac83_gdc_realn_rehead.bam,TCGA-06-5417-01A-01R-1849-01.bam
27c88be7-0e65-4e52-8e02-8bad4f720f68_gdc_realn_rehead.bam,TCGA-12-3652-01A-01R-1849-01.bam
28f44053-52e0-4cae-8829-bfb24acd266a_gdc_realn_rehead.bam,TCGA-12-0618-01A-01R-1849-01.bam
2ae190b2-c39b-4466-ae47-cc9b3039c9b2_gdc_realn_rehead.bam,TCGA-06-0125-01A-01R-1849-01.bam
2b20882c-6cd1-4703-9d7a-bde803c56030_gdc_realn_rehead.bam,TCGA-14-0781-01B-01R-1849-01.bam
2d2fa84d-c205-415f-9d35-e9719a6fd98f_gdc_realn_rehead.bam,TCGA-12-3653-01A-01R-1849-01.bam
2d43a193-e00f-4502-88ee-1d13f9acb04b_gdc_realn_rehead.bam,TCGA-28-1753-01A-01R-1850-01.bam
2e03bd13-fc67-4237-9c0a-63678e434b5b_gdc_realn_rehead.bam,TCGA-06-0174-01A-01R-1849-01.bam
2f9a7f24-2de3-4460-94ec-ce219b4d1dcb_gdc_realn_rehead.bam,TCGA-28-5207-01A-01R-1850-01.bam
30203633-6494-46f5-97c0-9668beca62ae_gdc_realn_rehead.bam,TCGA-19-4065-02A-11R-2005-01.bam
32446235-b5ee-4f28-ab8c-242bade198d1_gdc_realn_rehead.bam,TCGA-19-5960-01A-11R-1850-01.bam
3285279f-5b4e-41f2-b4fe-e261cb85e3de_gdc_realn_rehead.bam,TCGA-19-2619-01A-01R-1850-01.bam
33e402b4-9a88-45d7-a184-b109774e0003_gdc_realn_rehead.bam,TCGA-41-3915-01A-01R-1850-01.bam
3574d939-da89-4d0c-b523-5002160cb9b2_gdc_realn_rehead.bam,TCGA-06-0743-01A-01R-1849-01.bam
36081a77-94f9-4caa-a0cc-abd3e110a44f_gdc_realn_rehead.bam,TCGA-14-1034-02B-01R-2005-01.bam
39cec01b-13c0-4392-85ad-214304da4531_gdc_realn_rehead.bam,TCGA-06-0210-02A-01R-2005-01.bam
3b648d4c-ade3-4359-af7e-d4743a7d4e8f_gdc_realn_rehead.bam,TCGA-06-2564-01A-01R-1849-01.bam
3dd6b389-ef88-4640-a9b0-c7117a2445ce_gdc_realn_rehead.bam,TCGA-28-5215-01A-01R-1850-01.bam
4106ce41-e881-4bba-a650-80899e7e8f9e_gdc_realn_rehead.bam,TCGA-06-2562-01A-01R-1849-01.bam
4293df2d-9053-44ad-b58e-97fece39fbf5_gdc_realn_rehead.bam,TCGA-27-1831-01A-01R-1850-01.bam
454c9f5b-ab50-452b-931c-0779c1051ea6_gdc_realn_rehead.bam,TCGA-06-0744-01A-01R-1849-01.bam
46dd5691-01d0-4fb7-a5d8-ca1adafc6197_gdc_realn_rehead.bam,TCGA-14-1034-01A-01R-1849-01.bam
48271f49-4bbb-4b63-abcf-6c981a6383d1_gdc_realn_rehead.bam,TCGA-19-2625-01A-01R-1850-01.bam
492ef759-a33e-4b20-b0f1-18a551e11b1c_gdc_realn_rehead.bam,TCGA-06-0158-01A-01R-1849-01.bam
4a57c1b5-ff8b-49a5-83a3-78ba64ca576d_gdc_realn_rehead.bam,TCGA-76-4931-01A-01R-1850-01.bam
4bd2bd42-ce09-4755-8725-70cb4a9d4f9a_gdc_realn_rehead.bam,TCGA-06-0644-01A-02R-1849-01.bam
4c65a8fc-a9e5-4a74-b5b7-c57604ded342_gdc_realn_rehead.bam,TCGA-06-0138-01A-02R-1849-01.bam
4e38de64-b775-47b2-93da-5e6e781db69d_gdc_realn_rehead.bam,TCGA-06-2567-01A-01R-1849-01.bam
4e3b1d39-bb97-4eb2-a3ac-05972163f13c_gdc_realn_rehead.bam,TCGA-06-0171-02A-11R-2005-01.bam
501c664b-b172-4094-8f05-d9da1d27ab1e_gdc_realn_rehead.bam,TCGA-26-5134-01A-01R-1850-01.bam
50e3941e-7672-4420-ab65-30608ce8abe6_gdc_realn_rehead.bam,TCGA-06-0152-02A-01R-2005-01.bam
