TUCR,Partner,corr
uc.113,uc.108,0.62
uc.114,uc.108,0.6
uc.115,uc.108,0.64
uc.116,uc.108,0.63
uc.124,uc.108,0.6
uc.126,uc.108,0.65
uc.130,uc.108,0.65
uc.134,uc.108,0.61
uc.146,uc.108,0.65
uc.152,uc.108,0.6
uc.229,uc.108,0.64
uc.230,uc.108,0.64
uc.242,uc.108,0.67
uc.247,uc.108,0.6
uc.248,uc.108,0.63
uc.262,uc.108,0.65
uc.316,uc.108,0.63
uc.347,uc.108,0.66
uc.351,uc.108,0.61
uc.352,uc.108,0.67
uc.353,uc.108,0.64
uc.362,uc.108,0.63
uc.38,uc.108,0.6
uc.380,uc.108,0.6
uc.383,uc.108,0.62
uc.394,uc.108,0.6
uc.396,uc.108,0.66
uc.42,uc.108,0.62
uc.428,uc.108,0.64
uc.431,uc.108,0.63
uc.433,uc.108,0.63
uc.445,uc.108,0.63
uc.450,uc.108,0.68
uc.476,uc.108,0.69
uc.55,uc.108,0.6
uc.57,uc.108,0.61
uc.58,uc.108,0.64
uc.59,uc.108,0.64
uc.65,uc.108,0.66
uc.67,uc.108,0.63
uc.81,uc.108,0.64
uc.82,uc.108,0.64
uc.83,uc.108,0.63
uc.86,uc.108,0.62
uc.93,uc.108,0.6
uc.113,uc.112,0.62
uc.115,uc.112,0.66
uc.116,uc.112,0.64
uc.117,uc.112,0.67
uc.118,uc.112,0.66
uc.123,uc.112,0.65
uc.124,uc.112,0.63
uc.125,uc.112,0.67
uc.126,uc.112,0.67
uc.130,uc.112,0.65
uc.146,uc.112,0.66
uc.150,uc.112,0.62
uc.152,uc.112,0.64
uc.168,uc.112,0.64
uc.191,uc.112,0.61
uc.192,uc.112,0.64
uc.205,uc.112,0.7
uc.228,uc.112,0.65
uc.229,uc.112,0.65
uc.230,uc.112,0.65
uc.242,uc.112,0.66
uc.244,uc.112,0.68
uc.247,uc.112,0.63
uc.248,uc.112,0.67
uc.249,uc.112,0.64
uc.250,uc.112,0.66
uc.260,uc.112,0.65
uc.261,uc.112,0.65
uc.262,uc.112,0.69
uc.266,uc.112,0.62
uc.283,uc.112,0.67
uc.30,uc.112,0.69
uc.314,uc.112,0.69
uc.315,uc.112,0.72
uc.316,uc.112,0.64
uc.329,uc.112,0.66
uc.347,uc.112,0.63
uc.351,uc.112,0.65
uc.352,uc.112,0.66
uc.353,uc.112,0.65
uc.362,uc.112,0.6
uc.364,uc.112,0.65
uc.365,uc.112,0.62
uc.38,uc.112,0.68
uc.380,uc.112,0.69
uc.381,uc.112,0.7
uc.383,uc.112,0.7
uc.386,uc.112,0.68
uc.39,uc.112,0.61
uc.392,uc.112,0.63
uc.394,uc.112,0.69
uc.396,uc.112,0.64
uc.404,uc.112,0.66
uc.405,uc.112,0.64
uc.42,uc.112,0.7
uc.431,uc.112,0.68
uc.432,uc.112,0.65
uc.433,uc.112,0.64
uc.445,uc.112,0.64
uc.450,uc.112,0.62
uc.469,uc.112,0.63
uc.47,uc.112,0.64
uc.470,uc.112,0.62
uc.476,uc.112,0.68
uc.482,uc.112,0.62
uc.55,uc.112,0.68
uc.57,uc.112,0.7
uc.58,uc.112,0.65
uc.59,uc.112,0.64
uc.60,uc.112,0.6
uc.65,uc.112,0.7
uc.67,uc.112,0.68
uc.81,uc.112,0.65
uc.82,uc.112,0.7
uc.83,uc.112,0.66
uc.85,uc.112,0.66
uc.86,uc.112,0.64
uc.93,uc.112,0.63
uc.94,uc.112,0.62
uc.108,uc.113,0.62
uc.112,uc.113,0.62
uc.114,uc.113,0.72
uc.115,uc.113,0.7
uc.116,uc.113,0.69
uc.117,uc.113,0.69
uc.118,uc.113,0.68
uc.123,uc.113,0.67
uc.124,uc.113,0.68
uc.125,uc.113,0.69
uc.126,uc.113,0.69
uc.130,uc.113,0.67
uc.134,uc.113,0.64
uc.137,uc.113,0.64
uc.142,uc.113,0.61
uc.145,uc.113,0.61
uc.146,uc.113,0.71
