row,annot
uc.1,TUCR
uc.2,TUCR
uc.3,TUCR
uc.4,TUCR
uc.5,TUCR
uc.6,TUCR
uc.7,TUCR
uc.8,TUCR
uc.9,TUCR
uc.10,TUCR
uc.12,TUCR
uc.13,TUCR
uc.14,TUCR
uc.15,TUCR
uc.16,TUCR
uc.17,TUCR
uc.18,TUCR
uc.19,TUCR
uc.20,TUCR
uc.21,TUCR
uc.22,TUCR
uc.23,TUCR
uc.24,TUCR
uc.25,TUCR
uc.26,TUCR
uc.27,TUCR
uc.28,TUCR
uc.29,TUCR
uc.30,TUCR
uc.31,TUCR
uc.33,TUCR
uc.34,TUCR
uc.35,TUCR
uc.36,TUCR
uc.37,TUCR
uc.38,TUCR
uc.39,TUCR
uc.40,TUCR
uc.41,TUCR
uc.42,TUCR
uc.43,TUCR
uc.44,TUCR
uc.45,TUCR
uc.46,TUCR
uc.47,TUCR
uc.48,TUCR
uc.49,TUCR
uc.50,TUCR
uc.51,TUCR
uc.52,TUCR
uc.53,TUCR
uc.54,TUCR
uc.55,TUCR
uc.56,TUCR
uc.57,TUCR
uc.58,TUCR
uc.59,TUCR
uc.60,TUCR
uc.61,TUCR
uc.62,TUCR
uc.63,TUCR
uc.64,TUCR
uc.65,TUCR
uc.66,TUCR
uc.67,TUCR
uc.68,TUCR
uc.69,TUCR
uc.70,TUCR
uc.71,TUCR
uc.72,TUCR
uc.73,TUCR
uc.74,TUCR
uc.75,TUCR
uc.76,TUCR
uc.77,TUCR
uc.78,TUCR
uc.79,TUCR
uc.80,TUCR
uc.81,TUCR
uc.82,TUCR
uc.83,TUCR
uc.84,TUCR
uc.85,TUCR
uc.86,TUCR
uc.87,TUCR
uc.88,TUCR
uc.89,TUCR
uc.90,TUCR
uc.91,TUCR
uc.92,TUCR
uc.93,TUCR
uc.94,TUCR
uc.95,TUCR
uc.96,TUCR
uc.97,TUCR
uc.98,TUCR
uc.99,TUCR
uc.100,TUCR
uc.101,TUCR
uc.102,TUCR
uc.103,TUCR
uc.104,TUCR
uc.105,TUCR
uc.106,TUCR
uc.107,TUCR
uc.108,TUCR
uc.109,TUCR
uc.110,TUCR
uc.111,TUCR
uc.112,TUCR
uc.113,TUCR
uc.114,TUCR
uc.115,TUCR
uc.116,TUCR
uc.117,TUCR
uc.118,TUCR
uc.119,TUCR
uc.120,TUCR
uc.121,TUCR
uc.122,TUCR
uc.123,TUCR
uc.124,TUCR
uc.125,TUCR
uc.126,TUCR
uc.127,TUCR
uc.128,TUCR
uc.129,TUCR
uc.130,TUCR
uc.131,TUCR
uc.132,TUCR
uc.133,TUCR
uc.134,TUCR
uc.135,TUCR
uc.136,TUCR
uc.137,TUCR
uc.138,TUCR
uc.139,TUCR
uc.140,TUCR
uc.141,TUCR
uc.142,TUCR
uc.143,TUCR
uc.144,TUCR
uc.145,TUCR
uc.146,TUCR
uc.147,TUCR
uc.148,TUCR
uc.149,TUCR
uc.150,TUCR
uc.151,TUCR
uc.152,TUCR
uc.153,TUCR
uc.154,TUCR
uc.155,TUCR
uc.156,TUCR
uc.157,TUCR
uc.158,TUCR
uc.159,TUCR
uc.160,TUCR
uc.161,TUCR
uc.162,TUCR
uc.163,TUCR
uc.164,TUCR
uc.165,TUCR
uc.166,TUCR
uc.167,TUCR
uc.168,TUCR
uc.169,TUCR
uc.170,TUCR
uc.171,TUCR
uc.172,TUCR
uc.173,TUCR
uc.174,TUCR
uc.175,TUCR
uc.176,TUCR
uc.177,TUCR
uc.178,TUCR
uc.179,TUCR
uc.180,TUCR
uc.181,TUCR
uc.182,TUCR
uc.183,TUCR
uc.184,TUCR
uc.185,TUCR
uc.186,TUCR
uc.187,TUCR
uc.188,TUCR
uc.189,TUCR
uc.190,TUCR
uc.191,TUCR
uc.192,TUCR
uc.193,TUCR
uc.194,TUCR
uc.195,TUCR
uc.196,TUCR
uc.197,TUCR
uc.198,TUCR
uc.199,TUCR
uc.200,TUCR
uc.201,TUCR
uc.202,TUCR
uc.203,TUCR
uc.204,TUCR
uc.205,TUCR
uc.206,TUCR
uc.207,TUCR
uc.208,TUCR
uc.209,TUCR
uc.210,TUCR
uc.211,TUCR
