row,pvalue,value,Order,fill,wrap
RC-Pol.II,0.64132,0.192925216,6,6,1
TUCR-Pol.II,1.13E-07,6.946921557,3,3,1
Coding-Pol.II,1.00E-200,100,1,1,1
LncRNA-Pol.II,1.28E-198,100,2,2,1
AntisenseRNA-Pol.II,5.08E-51,50.29384572,4,4,1
MiscRNA-Pol.II,2.31E-45,44.6357305,5,5,1
RC-H3K4me3,0.92299,0.034803004,12,6,2
TUCR-H3K4me3,1.93E-55,54.71444269,9,3,2
Coding-H3k4me3,1.00E-200,100,7,1,2
LncRNA-H3k4me3,1.00E-200,100,8,2,2
AntisenseRNA-H3k4me3,4.31E-91,90.36554288,10,4,2
MiscRNA-H3k4me3,6.40E-29,28.19399649,11,5,2
