Target,Sample,meanCq,dct,ddct,FC,log2FC
U44,control,27.63828645,0,0,1,0
uc.62,control,25.76668801,0,0,1,0
uc.110,control,24.22069249,0,0,1,0
U44,O-62,27.56948839,-0.068798051,0,1,0
uc.62,O-62,13.91539895,-11.85128906,-11.78249101,3522.76131,11.78249101
U44,O-110,27.70745214,0.069165694,0,1,0
uc.110,O-110,14.21566077,-10.00503172,-10.07419741,1078.041808,10.07419741
uc.210,control,27.30857997,0,0,1,0
uc.427,control,25.88959575,0,0,1,0
U44,O-210,27.99774751,0.282610308,0,1,0
uc.210,O-210,16.45744102,-10.85113895,-11.13374926,2246.945259,11.13374926
U44,O-427,26.70984,-1.005297198,0,1,0
uc.427,O-427,15.13750353,-10.75209222,-9.746795026,859.1671517,9.746795026
