TUCR,Annotation,,,,,
uc.1,Intronic,,,,,
uc.10,Intergenic,,,,,
uc.100,Intronic,,,,,
uc.101,Exonic,,,,,
uc.102,Partly Exonic,,,,,
uc.103,Intronic,,,,,
uc.104,Intronic,,,,,
uc.105,Intronic,,,,,
uc.106,Intronic,,,,,
uc.107,Intergenic,,,,,
uc.108,Intergenic,,,,,
uc.109,Intronic,,,,,
uc.110,Intergenic,,,,,
uc.111,Partly Exonic,,,,,
uc.112,Intergenic,,,,,
uc.113,Intronic,,,,,
uc.114,Intronic,,,,,
uc.115,Intergenic,,,,,
uc.116,Exonic,,,,,
uc.117,Intergenic,,,,,
uc.118,Intergenic,,,,,
uc.119,Intronic,,,,,
uc.12,Intronic,,,,,
uc.120,Intronic,,,,,
uc.121,Intronic,,,,,
uc.122,Intronic,,,,,
uc.123,Intergenic,,,,,
uc.124,Intergenic,,,,,
uc.125,Intergenic,,,,,
uc.126,Intergenic,,,,,
uc.127,Intronic,,,,,
uc.128,Intronic,,,,,
uc.129,Exon contaning ,,,,,
uc.13,Exon contaning ,,,,,
uc.130,Intronic,,,,,
uc.131,Intronic,,,,,
uc.132,Intronic,,,,,
uc.133,Intronic,,,,,
uc.134,Intronic,,,,,
uc.135,Exonic,,,,,
uc.136,Intronic,,,,,
uc.137,Intronic,,,,,
uc.138,Exon contaning ,,,,,
uc.139,Intronic,,,,,
uc.14,Intergenic,,,,,
uc.140,Intergenic,,,,,
uc.141,Exonic,,,,,
uc.142,Partly Exonic,,,,,
uc.143,Exon contaning ,,,,,
uc.144,Exonic,,,,,
uc.145,Intergenic,,,,,
uc.146,Intergenic,,,,,
uc.147,Exonic,,,,,
uc.148,Intronic,,,,,
uc.149,Intronic,,,,,
uc.15,Intonic ,,,,,
uc.150,Intronic,,,,,
uc.151,Exon contaning ,,,,,
uc.152,Intergenic,,,,,
uc.153,Exon contaning ,,,,,
uc.154,Exonic,,,,,
uc.155,Partly Exonic,,,,,
uc.156,Intergenic,,,,,
uc.157,Intergenic,,,,,
uc.158,Intronic,,,,,
uc.159,Intronic,,,,,
uc.16,Partly Exonic,,,,,
uc.160,Intergenic,,,,,
uc.161,Intronic,,,,,
uc.162,Partly Exonic,,,,,
uc.163,Intronic,,,,,
uc.164,Intronic,,,,,
uc.165,Intronic,,,,,
uc.166,Exonic,,,,,
uc.167,Intronic,,,,,
uc.168,Intergenic,,,,,
uc.169,Partly Exonic,,,,,
uc.17,Intergenic,,,,,
uc.170,Intronic,,,,,
uc.171,Intronic,,,,,
uc.172,Intronic,,,,,
uc.173,Exonic,,,,,
uc.174,Exonic,,,,,
uc.175,Intronic,,,,,
uc.176,Intronic,,,,,
uc.177,Intronic,,,,,
uc.178,Intronic,,,,,
uc.179,Intronic,,,,,
uc.18,Intronic,,,,,
uc.180,Intronic,,,,,
uc.181,Intronic,,,,,
uc.182,Intronic,,,,,
uc.183,Exon contaning ,,,,,
uc.184,Exonic,,,,,
uc.185,Exon contaning ,,,,,
uc.186,Exon contaning ,,,,,
uc.187,Intergenic,,,,,
uc.188,Exonic,,,,,
uc.189,Intronic,,,,,
uc.19,Intronic,,,,,
uc.190,Intronic,,,,,
uc.191,Intergenic,,,,,
uc.192,Intergenic,,,,,
uc.193,Exonic,,,,,
uc.194,Exon contaning ,,,,,
uc.195,Intronic,,,,,
uc.196,Intronic,,,,,
uc.197,Intronic,,,,,
uc.198,Intronic,,,,,
uc.199,Intronic,,,,,
uc.2,Intronic,,,Intergenic,111,23%
uc.20,Intronic,,,,,
uc.200,Intergenic,,,,,
uc.201,Intergenic,,,,,
uc.202,Intronic,,,,,
uc.203,Partly Exonic,,,,,
uc.204,Intergenic,,,,,
uc.205,Intergenic,,,,,
uc.206,Partly Exonic,,,,,
uc.207,Intronic,,,,,
uc.208,Partly Exonic,,,,,
uc.209,Partly Exonic,,,,,
uc.21,Intronic,,,,,
uc.210,Intergenic,,,,,
uc.211,Intronic,,,,,
uc.212,Exonic,,,,,
uc.213,Partly Exonic,,,,,
uc.214,Intergenic,,,,,
uc.215,Intronic,,,,,
uc.216,Intronic,,,,,
uc.217,Partly Exonic,,,,,
uc.218,Intronic,,,,,
uc.219,Intronic,,,,,
uc.22,Intronic,,,,,
uc.220,Intronic,,,,,
uc.221,Intronic,,,,,
uc.222,Intronic,,,,,
uc.223,Intronic,,,,,
uc.224,Intronic,,,,,
uc.225,Intronic,,,,,
uc.226,Intronic,,,,,
uc.227,Intronic,,,,,
uc.228,Intergenic,,,,,
uc.229,Intergenic,,,,,
uc.23,Intronic,,,,,
uc.230,Exonic,,,,,
uc.231,Intronic,,,,,
uc.232,Exon contaning ,,,,,
uc.233,Intronic,,,,,
uc.234,Intergenic,,,,,
uc.235,Intronic,,,,,
uc.236,Intergenic,,,,,
uc.237,Intronic,,,,,
uc.238,Intronic,,,,,
uc.239,Intronic,,,,,
uc.24,Intronic,,,,,
uc.240,Intronic,,,,,
uc.241,Intergenic,,,,,
uc.242,Intergenic,,,,,
uc.243,Intronic,,,,,
uc.244,Intergenic,,,,,
uc.245,Intronic,,,,,
uc.246,Exonic,,,,,
uc.247,Intergenic,,,,,
uc.248,Intergenic,,,,,
uc.249,Intergenic,,,,,
uc.25,Intronic,,,,,
uc.250,Intronic,,,,,
uc.251,Intronic,,,,,
uc.252,Intronic,,,,,
uc.253,Intronic,,,,,
uc.254,Intergenic,,,,,
uc.255,Exonic,,,,,
uc.256,Exonic,,,,,
uc.257,Intronic,,,,,
uc.258,Intronic,,,,,
uc.259,Intergenic,,,,,
uc.26,Intergenic,,,,,
uc.260,Intergenic,,,,,
uc.261,Intergenic,,,,,
uc.262,Intergenic,,,,,
uc.263,Exon contaning ,,,,,
uc.264,Partly Exonic,,,,,
uc.265,Exon contaning ,,,,,
uc.266,Exon contaning ,,,,,
uc.267,Partly Exonic,,,,,
uc.268,Exonic,,,,,
uc.269,Partly Exonic,,,,,
uc.27,Intergenic,,,,,
uc.270,Intergenic,,,,,
uc.271,Intergenic,,,,,
uc.272,Intergenic,,,,,
uc.273,Intronic,,,,,
uc.274,Intronic,,,,,
uc.275,Intronic,,,,,
uc.276,Intronic,,,,,
uc.277,Intronic,,,,,
uc.278,Intronic,,,,,
