Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
PTPLA	ENST00000361271.3	"protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A "	826	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0038	0.0274	0.1745	-0.69	-0.69	N/A	NULL
RBMX	ENST00000562646.1	"RNA binding motif protein, X-linked "	77	1	1	0	0	1	0	1	0	1	hsa-miR-544a	0.0062	0.0451	0.2991	-0.61	-0.62	N/A	NULL
IMPG1	ENST00000369963.3	interphotoreceptor matrix proteoglycan 1 	5	2	0	1	1	1	1	0	0	1	hsa-miR-544a	0.0072	0.0522	0.3566	-0.48	-0.48	N/A	NULL
DOK6	ENST00000382713.5	docking protein 6 	8	1	0	1	0	3	1	1	1	1	hsa-miR-544a	0.0087	0.0638	0.4396	-0.46	-0.46	N/A	NULL
PPP3R1	ENST00000234310.3	"protein phosphatase 3, regulatory subunit B, alpha "	117	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.004	0.0291	0.184	-0.42	-0.42	N/A	NULL
PPIF	ENST00000394579.3	peptidylprolyl isomerase F 	9304	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0042	0.0302	0.187	-0.41	-0.41	N/A	NULL
E2F5	ENST00000418930.2	"E2F transcription factor 5, p130-binding "	10	1	1	0	0	0	0	0	0	1	hsa-miR-544a	0.0028	0.0206	0.1403	-0.41	-0.41	N/A	NULL
AL589765.1	ENST00000442233.2	"Uncharacterized protein; cDNA FLJ36032 fis, clone TESTI2017069  "	5	1	0	0	1	1	1	0	0	1	hsa-miR-544a	0.0027	0.0201	0.1435	-0.41	-0.41	N/A	NULL
FNTA	ENST00000302279.3	"farnesyltransferase, CAAX box, alpha "	7	1	1	0	0	0	0	0	0	0	hsa-miR-544a	0.0052	0.0371	0.2218	-0.4	-0.4	N/A	NULL
C15orf32	ENST00000556865.1	chromosome 15 open reading frame 32 	5	1	1	0	0	0	0	0	0	1	hsa-miR-544a	0.0025	0.0181	0.1237	-0.4	-0.4	N/A	NULL
