Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
C3orf38	ENST00000486971.1	chromosome 3 open reading frame 38 	683	2	0	0	2	3	0	0	3	0	hsa-miR-375	0.0148	0.1068	0.6721	-0.63	-0.76	0.31	2007
ELAVL4	ENST00000371824.1	ELAV like neuron-specific RNA binding protein 4 	5	3	1	0	2	0	0	0	0	0	hsa-miR-375	0.0243	0.1739	1.0600	-0.58	-0.58	0.58	2005, 2007, 2009, 2011
SLC16A2	ENST00000587091.1	solute carrier family 16, member 2 (thyroid hormone transporter) 	22	2	1	0	1	0	0	0	0	0	hsa-miR-375	0.0127	0.0891	0.4808	-0.41	-0.42	0.36	2005, 2007, 2009, 2011
GREM2	ENST00000318160.4	gremlin 2, DAN family BMP antagonist 	631	1	0	0	1	1	1	0	0	1	hsa-miR-375	0.0131	0.0925	0.5243	-0.36	-0.39	0.36	2005, 2007, 2009, 2011
EIF4G3	ENST00000264211.8	eukaryotic translation initiation factor 4 gamma, 3 	48	2	0	0	2	0	0	0	0	1	hsa-miR-375	0.0188	0.1348	0.8181	-0.35	-0.35	0.58	2005, 2007, 2011
RPN1	ENST00000296255.3	ribophorin I 	9235	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0078	0.0567	0.3821	-0.33	-0.35	0.35	NULL
ZFP36L2	ENST00000282388.3	ZFP36 ring finger protein-like 2 	317	2	0	0	2	1	0	0	1	0	hsa-miR-375	0.0139	0.0990	0.5891	-0.32	-0.34	0.64	2005, 2007, 2009
LRAT	ENST00000336356.3	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase) 	9	1	0	0	1	3	0	0	3	2	hsa-miR-375	0.0211	0.1517	0.9412	-0.32	-0.37	0.45	NULL
POU3F1	ENST00000373012.2	POU class 3 homeobox 1 	9	1	1	0	0	0	0	0	0	0	hsa-miR-375	0.0092	0.0644	0.3533	-0.32	-0.32	< 0.1	NULL
MXI1	ENST00000332674.5	MAX interactor 1, dimerization protein 	278	2	0	0	2	0	0	0	0	0	hsa-miR-375	0.0095	0.0685	0.4417	-0.28	-0.30	0.58	2005, 2007
HNF1B	ENST00000225893.4	HNF1 homeobox B 	25	1	1	0	0	0	0	0	0	0	hsa-miR-375	0.0052	0.0372	0.2220	-0.28	-0.28	< 0.1	2011
HOXA5	ENST00000222726.3	homeobox A5 	63	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0050	0.0367	0.2490	-0.27	-0.27	0.34	NULL
ISL2	ENST00000290759.4	ISL LIM homeobox 2 	381	1	1	0	0	0	0	0	0	0	hsa-miR-375	0.0070	0.0499	0.2853	-0.26	-0.26	< 0.1	2009, 2011
FOXF1	ENST00000262426.4	forkhead box F1 	836	1	0	0	1	1	0	1	0	0	hsa-miR-375	0.0098	0.0710	0.4582	-0.25	-0.28	0.36	2009, 2011
YBX1	ENST00000321358.7	Y box binding protein 1 	4740	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0079	0.0560	0.3318	-0.25	-0.25	0.36	2007
