Target gene,kibble,baseMean,log2FoldChange.x,lfcSE,stat,pvalue,padj.x,log2FoldChange.y,padj.y,mirna
LARP4B,chr10:806914-931900:-,3146.136654756069,-0.44352562240460564,0.03294439811851323,-13.462854012663378,2.587263768874886e-41,6.742623070684161e-41,-0.04855906,0.09977188,miR-544
RAB18,chr10:27504174-27546461:+,4713.356866075327,0.27395033455341905,0.03538332287981045,7.742357479651346,9.759013911789957e-15,1.6487007314936337e-14,-0.161923,7.077065e-4,miR-544
WAC,chr10:28532426-28623642:+,8632.541593494789,-0.5242103296273497,0.03095414234461769,-16.935062318678632,2.480955214935909e-64,8.657232162740249e-64,-0.06142986,0.5879829,miR-544
CTNNA3,chr10:65912518-67696217:-,3307.7391998244543,-1.01613795152687,0.07400009969200394,-13.731575440521583,6.568941662066487e-43,1.751311458640377e-42,0.193716,0.2528309,miR-544
SYNPO2L,chr10:73644035-73663807:-,151.98228451589088,-0.11707110497727828,0.07226749212154855,-1.619969111151296,0.105238912374529,0.11890239852072004,-0.860686,0.0195773,miR-544
PPIF,chr10:79347464-79362057:+,3830.18973273562,0.43053501917907167,0.04250851017420068,10.128207679232487,4.141713392486183e-24,8.298058413189211e-24,-0.1142289,0.1142357,miR-544
SH2D4B,chr10:80537902-80646560:+,61.03296100586934,-0.8687922910546796,0.06752159427185453,-12.866880594625178,6.913844311096057e-38,1.7123514192774938e-37,-0.3018485,0.6700463,miR-544
TBC1D12,chr10:94402429-94536332:+,1467.0031195387567,-0.1342725222316692,0.05299483891222189,-2.5336905439805517,0.011286835778866406,0.013514603876453589,0.0805855,0.4081179,miR-544
ERLIN1,chr10:100148365-100186057:-,1511.7627857940338,0.8836769217868122,0.0374946081531084,23.5681065975763,8.187954522968558e-123,5.706018041212462e-122,0.2107814,0.007828821,miR-544
BLOC1S2,chr10:100273278-100286712:-,3156.5511907953614,-0.0729035259929783,0.042445433689119176,-1.717582308781239,0.08587282948247651,0.09761559976669311,0.07998034,0.07520746,miR-544
C10orf2,chr10:100987527-100994403:+,583.637494040092,0.7610789886530971,0.039214796544262784,19.40795454068076,6.610678284941245e-84,2.9122389149380366e-83,-0.1351918,0.004983187,miR-544
SMNDC1,chr10:110290332-110305268:-,1349.191340152435,0.6285811409612629,0.03390768638411585,18.538013294110314,1.0191764227063461e-76,4.118944413641719e-76,0.03619745,0.3580883,miR-544
BBIP1,chr10:110898730-110919366:-,2105.9843236945685,-0.39834214409372737,0.03090496043130217,-12.889262388126713,5.173626342556295e-38,1.283416648154598e-37,0.1609887,0.134458,miR-544
GFRA1,chr10:116056921-116273645:-,1376.7771350228559,-1.8598750624511964,0.11594637656490887,-16.04082091698661,6.627250927324996e-58,2.1380821068080986e-57,0.8462627,7.254829e-4,miR-544
TIAL1,chr10:119562896-119597247:-,4195.917733585571,0.004793493663464812,0.03414040789765091,0.14040528390390547,0.8883397832577347,0.8978908364224064,0.07869873,0.06189212,miR-544
FGFR2,chr10:121478130-121598656:-,5608.129710059151,-1.08144409292032,0.07867514502711974,-13.745689220497026,5.405581337703056e-43,1.442224492836132e-42,-0.2969083,0.688797,miR-544
ST5,chr11:8691877-8911027:-,5053.517268675357,1.000372732030487,0.04357837992119696,22.955711842419724,1.2921025952945449e-116,8.38990751165795e-116,-0.2569838,0.01899165,miR-544
RRAS2,chr11:14277153-14364506:-,801.0854716121687,0.9463339791810313,0.052300551215198623,18.094149243039436,3.543737554201215e-73,1.3744459287427409e-72,0.1204096,0.1720934,miR-544
CLPB,chr11:72292072-72434684:-,1331.237492879655,1.0172353902469846,0.03946723173685477,25.774176335176893,1.727502235243861e-146,1.5872692676077785e-145,0.07752169,0.3823643,miR-544
TENM4,chr11:78653283-79441288:-,3613.0945271906317,0.7080016379050122,0.06105423646189744,11.596273722084133,4.304141165912363e-31,9.628748250021004e-31,-0.2466434,0.2643693,miR-544
PANX1,chr11:94128928-94186796:+,2117.9920191091464,0.6759113124869335,0.051286485997043135,13.179130902552037,1.1571617288428042e-39,2.942015267892558e-39,0.4380326,0.01129719,miR-544
MFRP,chr11:119338934-119346705:-,1768.160700482166,2.5160572131493977,0.08259921473089929,30.461030668953484,8.557857641838865e-204,1.5709573257177972e-202,-1.320266,NA,miR-544
FAM118B,chr11:126183570-126264940:+,7062.167896196792,0.4024172111241094,0.022647432417635564,17.76877853980246,1.2334736361241153e-70,4.638790739396355e-70,0.08561295,0.3000456,miR-544
JAM3,chr11:134068925-134151757:+,6135.9819863078155,0.9391055338262922,0.059211462131484885,15.8601983470855,1.1951583258354365e-56,3.7953079024651133e-56,6.001423e-5,0.9993775,miR-544
SLC6A12,chr12:190077-214523:-,2486.2436849885175,-3.0713413345089515,0.0778986096263852,-39.42742173755886,0,0,-0.5460223,0.1372277,miR-544
APOLD1,chr12:12725807-12812650:+,5415.080299369191,-0.43296985483950223,0.09753011710365343,-4.439345175596876,9.023299891069747e-6,1.219268518104233e-5,0.2102199,0.1967852,miR-544
GRIN2B,chr12:13537337-13982012:-,4036.6315154869853,-2.5908019370900144,0.13961320824476203,-18.556997361939896,7.159607739876992e-77,2.9003140301144565e-76,3.18564,0.08293703,miR-544
ETNK1,chr12:22625142-22697232:+,3291.1006875282196,0.6406236988181132,0.040350856334508904,15.876334655882836,9.242381040012976e-57,2.9399638936283344e-56,0.04654098,0.6600386,miR-544
IRAK4,chr12:43758913-43790251:+,1044.832371806816,1.4339822327155034,0.05397850553627301,26.565800932593103,1.687033722112302e-155,1.7247278816528566e-154,0.3902545,2.761182e-4,miR-544
WNT10B,chr12:48965334-48971858:-,1646.456165689379,-4.026268611310268,0.1203784033564757,-33.44676868148274,2.867790054857191e-245,9.679521295572017e-244,-0.5663403,6.478218e-4,miR-544
LETMD1,chr12:51048230-51068984:+,6978.289699402976,-0.31082308018507715,0.022212324604715932,-13.993271110358519,1.7134598733975965e-44,4.660411905293318e-44,-0.1134974,0.02360051,miR-544
ALX1,chr12:85279760-85303172:+,7.28035893588607,0.768644883571055,0.22954200329542143,3.3486023147659214,8.12202856704987e-4,0.001024212040073094,0.2885595,0.7418307,miR-544
VEZT,chr12:95217746-95310650:+,3798.0196011020403,0.034047156112517005,0.02532548690548668,1.3443830809484183,0.1788245420588979,0.19820750924017325,0.2844354,0.003650333,miR-544
KCTD10,chr12:109448633-109477544:-,3118.022457334625,0.2484356521460643,0.03250417795271266,7.643191361660969,2.1190269107778918e-14,3.5526196238028975e-14,0.1366681,0.2620138,miR-544
SH2B3,chr12:111403771-111452223:+,2420.5189140051616,0.8934217159364174,0.049809403327405945,17.936808238071027,6.085148409300677e-72,2.328705200547614e-71,-0.2191924,0.006021922,miR-544
ATXN2,chr12:111432138-111599676:-,6821.767065740435,0.02708236440338285,0.025924770815081315,1.0446520278446636,0.2961838240519491,0.32192952173211725,-0.1386521,0.07986541,miR-544
ERP29,chr12:112013220-112025564:+,4949.761304600291,1.1377690707854031,0.03871877394049425,29.38546227042228,8.423497188100362e-190,1.313565759050296e-188,-0.120615,0.0407452,miR-544
RSRC2,chr12:122504643-122527013:-,4085.9009503805,-0.048956272368624584,0.02177975564062724,-2.2477879539338432,0.024589714359886987,0.02889256244963195,-0.06947994,0.03650611,miR-544
SBNO1,chr12:123281121-123365218:-,3272.668930567953,-0.4629320099245415,0.03291373987800589,-14.065007855089991,6.231594300342717e-45,1.7044940825826362e-44,-0.3198668,1.802002e-4,miR-544
TNFRSF19,chr13:23570248-23676105:+,1838.737348171421,3.5854156228515177,0.09799298705579167,36.58849199902627,4.3591982589732264e-293,3.284793065703916e-291,0.08161752,0.7128401,miR-544
FLT1,chr13:28300259-28495128:-,5312.175641879378,-1.249022661519462,0.07529401971109077,-16.588603800302636,8.425635682989162e-62,2.8503394490871898e-61,-0.917967,4.816298e-4,miR-544
SLC7A1,chr13:29502272-29595715:-,5755.97282527318,-0.04964997120120043,0.04470208151785788,-1.1106858901271954,0.26670357773915654,0.29114954810204713,-0.09227652,0.4775484,miR-544
HSPH1,chr13:31128327-31163109:-,10942.262507962356,-0.9819818255090474,0.06789539005295345,-14.463159056059231,2.0707145523102376e-47,5.851818688281922e-47,-0.2273839,0.002369865,miR-544
DACH1,chr13:71428015-71868068:-,465.3662885352689,-0.21688894000547992,0.08071466250966805,-2.687107066569235,0.007207384619525493,0.008708098107046806,0.1793932,0.1747592,miR-544
POU4F1,chr13:78599092-78603560:-,90.2410130527518,2.7599421890417952,0.1790435510751842,15.414920964580494,1.2992971314041868e-53,3.972076385402033e-53,1.62441,NA,miR-544
ING1,chr13:110712623-110747788:+,1278.416623622216,0.6067383149074428,0.038884698940163054,15.603523530968054,6.888496015902853e-55,2.1400313916494503e-54,-0.04906686,0.5277109,miR-544
SOX1,chr13:112067599-112071706:+,410.8472947537356,0.08876272738475863,0.1284092464427355,0.6912487211296162,0.4894092508508573,0.5192752266000455,NA,NA,miR-544
SLC25A21,chr14:36677921-37172660:-,76.25820246072081,-0.3235837692747956,0.10259026611829018,-3.154137146907214,0.0016097341769640706,0.0020047027591882515,0.69962,0.341606,miR-544
SOS2,chr14:50117128-50231578:-,2599.9468153428256,0.3038667775665412,0.036595997865517746,8.303278918180748,1.0127674012162048e-16,1.782890889038591e-16,0.1681357,0.09970858,miR-544
SAV1,chr14:50633106-50668353:-,1474.724848536528,0.28214352244339647,0.034732244261306916,8.123388754285465,4.533442788349887e-16,7.87016477619852e-16,0.0448585,0.4760002,miR-544
ARID4A,chr14:58298385-58374828:+,1755.0941012033663,-0.2671493445142429,0.0320918298277043,-8.324528266182492,8.466522640536079e-17,1.4928372217319946e-16,-0.1637712,0.01312997,miR-544
PPM1A,chr14:60245750-60318391:+,4604.92245193249,-0.4101446674733173,0.03453728150254894,-11.875418377762232,1.5883739506314505e-32,3.630593096469045e-32,-0.1906425,0.01662096,miR-544
VTI1B,chr14:67624256-67676528:-,7799.178535404232,-0.4445017589958447,0.030631131139536694,-14.511437954118202,1.0254806793156498e-47,2.9098267439014576e-47,0.3112734,0.01885096,miR-544
GPATCH2L,chr14:76151885-76214473:+,2826.886033549586,0.39732556934118757,0.031952003175321195,12.435075421126346,1.685816061690623e-35,4.035659199721701e-35,0.01958605,0.7061137,miR-544
DIO2,chr14:80196680-80459227:-,3868.097464955752,-1.5254103545022777,0.10493157545833043,-14.53719100127336,7.04236830905071e-48,2.0015836390155205e-47,-0.2103122,0.01451521,miR-544
CCDC88C,chr14:91271183-91418498:-,798.4010477112537,-0.31592282251734743,0.06409764892378914,-4.928773953830562,8.274724504019955e-7,1.153931589142837e-6,-0.4704399,0.008751685,miR-544
YY1,chr14:100238765-100285111:+,6139.481106166405,0.2543344706292899,0.023054281891090374,11.031984072667244,2.678888494451787e-28,5.732286744172215e-28,0.09090146,0.1728249,miR-544
SHC4,chr15:48823737-48963444:-,15379.101145031102,0.702588069817227,0.0384664768907405,18.264944611715954,1.5737254020441496e-74,6.197981750631117e-74,0.05059477,0.6502519,miR-544
TNFAIP8L3,chr15:51056596-51105276:-,862.2692498897676,0.2836269726616011,0.0784564832413667,3.615086490545843,3.002473653471211e-4,3.850190985716891e-4,0.6172448,0.4218135,miR-544
ARPP19,chr15:52544437-52578970:-,18396.07398182326,-0.23432894223710288,0.04429310123180295,-5.290416243621524,1.220382993290223e-7,1.740255004856587e-7,0.2008081,0.06333912,miR-544
SMAD6,chr15:66701224-66791749:+,820.253233907905,-1.3949220653879049,0.08676352973630999,-16.077285809225657,3.6815911184750515e-58,1.1920368118127379e-57,-0.6690894,6.267587e-5,miR-544
TBC1D2B,chr15:77994964-78077979:-,2218.367924431918,0.2076303542733816,0.04552901900906169,4.560395958280075,5.105725461998322e-6,6.948313300803602e-6,-0.1086039,0.08086271,miR-544
FSD2,chr15:82755365-82807698:-,417.68243759836304,-0.805403724879098,0.04070684234795777,-19.78546304315605,3.9723265095854368e-87,1.8206637304992717e-86,0.1299132,0.6798706,miR-544
C15orf32,chr15:92465762-92501117:+,86.15593624811869,1.500992572459898,0.16100041338873092,9.32291129486602,1.131909833027016e-20,2.139524519718039e-20,1.822792,NA,miR-544
XYLT1,chr16:17098271-17470960:-,2618.71760190915,-0.24987571972623293,0.07087283805978715,-3.5256908932508377,4.2237964782451654e-4,5.386374620708397e-4,-0.07002644,0.006711358,miR-544
