Disease	TUCR Chromosome	TUCR Start	TUCR End	TUCR ID	Transcript Chromosome	Transcript Start	Transcript End	Transcript Length	Transcript End	Transcript Annotation	Gene ID	Transcript ID	Exon Number	
GBM	chr1	38336478	38336715	uc.17	chr1	38300198	38433149	132951	-	transcript	MSTRG.643	 MSTRG.643.1	 	
GBM	chr1	38336478	38336715	uc.17	chr1	38300258	38433149	132891	-	transcript	MSTRG.643	 MSTRG.643.2	 	
GBM	chr1	44249988	44250226	uc.18	chr1	44220667	44355406	134739	-	transcript	MSTRG.747	 MSTRG.747.1	 	
GBM	chr1	44249988	44250226	uc.18	chr1	44220961	44355406	134445	-	transcript	MSTRG.747	 MSTRG.747.2	 	
GBM	chr1	44249988	44250226	uc.18	chr1	44220968	44355406	134438	-	transcript	MSTRG.747	 MSTRG.747.3	 	
GBM	chr1	44249988	44250226	uc.18	chr1	44220983	44355406	134423	-	transcript	MSTRG.747	 MSTRG.747.4	 	
GBM	chr1	44249988	44250226	uc.18	chr1	44220983	44355406	134423	-	transcript	MSTRG.747	 MSTRG.747.5	 	
GBM	chr1	44249988	44250226	uc.18	chr1	44220984	44355406	134422	-	transcript	MSTRG.747	 MSTRG.747.6	 	
GBM	chr1	44249988	44250226	uc.18	chr1	44220990	44355406	134416	-	transcript	MSTRG.747	 MSTRG.747.7	 	
GBM	chr1	44249988	44250226	uc.18	chr1	44221004	44355406	134402	-	transcript	MSTRG.747	 MSTRG.747.8	 	
GBM	chr1	44249988	44250226	uc.18	chr1	44221017	44355259	134242	-	transcript	MSTRG.747	 MSTRG.747.9	 	
GBM	chr1	44249988	44250226	uc.18	chr1	44221019	44355259	134240	-	transcript	MSTRG.747	 MSTRG.747.10	 	
GBM	chr1	88462334	88462587	uc.31	chr1	88461888	88466274	4386	+	transcript	MSTRG.1056	 MSTRG.1056.1	 	
GBM	chr1	88462334	88462587	uc.31	chr1	88461888	88463383	1495	+	exon	MSTRG.1056	 MSTRG.1056.1	" exon_number ""1"""	 
GBM	chr10	75736184	75736441	uc.287	chr10	75431359	76560651	1129292	+	transcript	MSTRG.3095	 MSTRG.3095.1	 	
GBM	chr11	8283147	8283463	uc.319	chr11	8224309	8286336	62027	-	transcript	MSTRG.3740	 MSTRG.3740.72	 	
GBM	chr12	53677311	53677563	uc.339	chr12	53677393	53678519	1126	-	exon	MSTRG.5441	 MSTRG.5441.3	" exon_number ""6"""	 
GBM	chr12	53677311	53677563	uc.339	chr12	53665104	53680145	15041	-	transcript	MSTRG.5441	 MSTRG.5441.1	 	
GBM	chr12	53677311	53677563	uc.339	chr12	53665105	53678887	13782	-	transcript	MSTRG.5441	 MSTRG.5441.2	 	
GBM	chr12	53677311	53677563	uc.339	chr12	53665108	53678519	13411	-	transcript	MSTRG.5441	 MSTRG.5441.3	 	
GBM	chr13	112062022	112062264	uc.357	chr13	111972174	112110694	138520	+	transcript	MSTRG.6770	 MSTRG.6770.1	 	
GBM	chr13	112062022	112062264	uc.357	chr13	111972174	112110694	138520	+	transcript	MSTRG.6770	 MSTRG.6770.2	 	
GBM	chr13	112062022	112062264	uc.357	chr13	111972213	112108166	135953	+	transcript	MSTRG.6770	 MSTRG.6770.3	 	
GBM	chr13	112062022	112062264	uc.357	chr13	111972305	112110694	138389	+	transcript	MSTRG.6770	 MSTRG.6770.4	 	
GBM	chr13	112062022	112062264	uc.357	chr13	111972344	112110694	138350	+	transcript	MSTRG.6770	 MSTRG.6770.6	 	
GBM	chr13	112062022	112062264	uc.357	chr13	111972345	112110694	138349	+	transcript	MSTRG.6770	 MSTRG.6770.7	 	
GBM	chr13	112062022	112062264	uc.357	chr13	111972346	112110694	138348	+	transcript	MSTRG.6770	 MSTRG.6770.8	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112056824	112110694	53870	+	transcript	MSTRG.6770	 MSTRG.6770.9	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112056829	112110694	53865	+	transcript	MSTRG.6770	 MSTRG.6770.10	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112056837	112110694	53857	+	transcript	MSTRG.6770	 MSTRG.6770.11	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112056837	112110694	53857	+	transcript	MSTRG.6770	 MSTRG.6770.12	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112056847	112072165	15318	+	transcript	MSTRG.6770	 MSTRG.6770.13	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112056847	112110694	53847	+	transcript	MSTRG.6770	 MSTRG.6770.14	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112056847	112110694	53847	+	transcript	MSTRG.6770	 MSTRG.6770.15	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112056856	112110694	53838	+	transcript	MSTRG.6770	 MSTRG.6770.16	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112056865	112110694	53829	+	transcript	MSTRG.6770	 MSTRG.6770.17	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112056869	112110694	53825	+	transcript	MSTRG.6770	 MSTRG.6770.18	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112057051	112110694	53643	+	transcript	MSTRG.6770	 MSTRG.6770.19	 	
GBM	chr13	112062022	112062264	uc.357	chr13	112025627	112072165	46538	-	transcript	MSTRG.6771	 MSTRG.6771.1	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28763579	28764401	822	+	exon	MSTRG.6953	 MSTRG.6953.2	" exon_number ""1"""	 
GBM	chr14	28763928	28764195	uc.361	chr14	28720328	28772633	52305	-	transcript	MSTRG.6952	 MSTRG.6952.1	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28722745	28772633	49888	-	transcript	MSTRG.6952	 MSTRG.6952.2	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28722853	28766572	43719	-	transcript	MSTRG.6952	 MSTRG.6952.3	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28722935	28772633	49698	-	transcript	MSTRG.6952	 MSTRG.6952.4	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28722935	28772633	49698	-	transcript	MSTRG.6952	 MSTRG.6952.5	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28723083	28772633	49550	-	transcript	MSTRG.6952	 MSTRG.6952.6	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28723192	28772633	49441	-	transcript	MSTRG.6952	 MSTRG.6952.7	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28724113	28765399	41286	-	transcript	MSTRG.6952	 MSTRG.6952.9	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28726629	28772633	46004	-	transcript	MSTRG.6952	 MSTRG.6952.10	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28726841	28766572	39731	-	transcript	MSTRG.6952	 MSTRG.6952.11	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28727037	28772633	45596	-	transcript	MSTRG.6952	 MSTRG.6952.12	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28763003	28819315	56312	+	transcript	MSTRG.6953	 MSTRG.6953.1	 	
GBM	chr14	28763928	28764195	uc.361	chr14	28763579	28778634	15055	+	transcript	MSTRG.6953	 MSTRG.6953.2	 	
GBM	chr14	28879545	28879784	uc.362	chr14	28830270	29029831	199561	+	transcript	MSTRG.6955	 MSTRG.6955.1	 	
GBM	chr15	37229807	37230010	uc.386	chr15	37218288	37254191	35903	-	transcript	MSTRG.7810	 MSTRG.7810.1	 	
GBM	chr16	54289942	54290148	uc.403	chr16	54284533	54299229	14696	+	transcript	MSTRG.9151	 MSTRG.9151.1	 	
GBM	chr16	54289942	54290148	uc.403	chr16	54286957	54299229	12272	+	transcript	MSTRG.9151	 MSTRG.9151.2	 	
GBM	chr16	54289942	54290148	uc.403	chr16	54286997	54299229	12232	+	transcript	MSTRG.9151	 MSTRG.9151.3	 	
GBM	chr16	73058971	73059215	uc.409	chr16	73059115	73059764	649	-	exon	MSTRG.9360	 MSTRG.9360.5	" exon_number ""10"""	 
