chrom	start	end	id	TCGA-06-0649-01B-01R-1849-01.bam	TCGA-06-0675-11A-32R-A36H-07.bam	TCGA-06-0678-11A-32R-A36H-07.bam	TCGA-06-0680-11A-32R-A36H-07.bam	TCGA-06-0681-11A-41R-A36H-07.bam	TCGA-06-0686-01A-01R-1849-01.bam	TCGA-06-0743-01A-01R-1849-01.bam	TCGA-06-0744-01A-01R-1849-01.bam	TCGA-06-0745-01A-01R-1849-01.bam	TCGA-06-0747-01A-01R-1849-01.bam	TCGA-06-0749-01A-01R-1849-01.bam	TCGA-06-0750-01A-01R-1849-01.bam
chr1	10597696	10597903	uc.1	50	69	48	91	80	44	67	72	79	33	53	52
chr1	10732542	10732749	uc.2	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10751164	10751389	uc.3	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10758248	10758607	uc.4	0	0	0	0	0	0	0	0	0	0	0	2
chr1	10781350	10781564	uc.5	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10795120	10795421	uc.6	0	0	0	0	0	0	0	2	0	0	0	0
chr1	10836132	10836388	uc.7	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10851817	10852033	uc.8	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10925409	10925611	uc.9	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10965573	10965848	uc.10	0	0	0	0	0	0	0	0	0	0	0	0
chr1	35650226	35650427	uc.12	484	482	693	428	577	628	670	714	1083	998	501	706
chr1	36359189	36359426	uc.13	22	36	42	64	23	3	4	14	9	20	0	0
chr1	38495003	38495216	uc.14	0	0	0	0	0	0	0	0	0	0	0	0
chr1	38561075	38561308	uc.15	0	0	0	5	0	0	0	0	9	0	0	11
chr1	38628198	38628409	uc.16	0	0	0	0	0	0	0	0	0	1	0	0
chr1	38802150	38802387	uc.17	0	0	0	0	0	0	0	0	0	0	3	0
chr1	44715660	44715898	uc.18	536	316	317	357	360	242	401	520	1032	407	663	528
chr1	44990311	44990567	uc.19	8	0	0	0	45	0	5	2	0	0	0	1
chr1	45002371	45002640	uc.20	8	0	0	0	43	0	5	0	0	0	0	0
chr1	49112985	49113220	uc.21	16	19	11	35	10	0	0	0	0	2	10	0
chr1	51006230	51006538	uc.22	76	93	74	106	90	91	123	195	269	173	57	100
chr1	51035776	51036005	uc.23	72	70	68	97	77	76	97	168	210	179	50	76
chr1	51099144	51099480	uc.24	42	87	57	96	75	52	78	104	161	136	37	43
chr1	51166033	51166268	uc.25	36	61	59	74	78	52	64	120	156	134	30	44
chr1	63369645	63369857	uc.26	7	0	0	1	0	0	0	1	1	0	0	0
chr1	63369879	63370169	uc.27	2	0	0	2	0	0	0	1	0	0	0	0
chr1	70696712	70697067	uc.28	251	354	270	467	317	78	247	324	151	546	76	101
chr1	87822382	87822601	uc.29	0	0	0	0	0	0	0	0	0	0	0	1
chr1	88028999	88029242	uc.30	0	0	0	0	0	0	0	0	0	0	0	0
chr1	88928017	88928270	uc.31	1	0	2	0	2	0	0	5	8	0	0	5
chr1	97271736	97272048	uc.33	35	126	131	127	107	44	73	90	35	101	28	11
chr1	97280171	97280379	uc.34	62	262	247	294	355	69	168	263	110	96	201	166
chr1	98002281	98002486	uc.35	126	5	5	5	10	8	11	17	25	63	8	25
chr1	109240427	109240691	uc.36	74	88	71	112	98	38	95	167	59	187	47	66
chr1	115280052	115280254	uc.37	413	488	483	475	284	194	135	250	297	486	122	134
chr1	163939954	163940178	uc.38	0	0	0	0	0	0	0	0	0	0	0	0
chr1	164023534	164023890	uc.39	0	0	0	0	0	0	0	0	0	0	0	0
chr1	164637961	164638208	uc.40	0	0	0	2	0	0	0	0	0	0	0	3
chr1	213598766	213598982	uc.41	0	0	0	0	0	0	0	0	0	0	0	0
chr1	215889031	215889297	uc.42	0	0	0	0	0	0	0	0	0	0	0	0
chr1	243896034	243896291	uc.43	14	71	51	79	25	0	7	10	19	20	4	7
chr1	244217706	244217936	uc.44	264	1273	608	1295	1088	98	102	83	172	236	129	47
chr1	245016685	245016888	uc.45	610	712	837	869	1018	573	1545	1869	1337	1619	1329	1443
chr1	245017602	245017819	uc.46	1970	2452	2847	2780	2950	2172	3778	4151	3867	4724	2898	3548
chr10	50604756	50605033	uc.283	0	0	0	0	1	0	0	0	0	0	0	0
chr10	50606855	50607064	uc.284	0	0	0	0	3	0	0	0	0	0	2	0
chr10	70515990	70516222	uc.285	208	227	270	281	214	77	156	165	245	329	172	114
chr10	77139023	77139275	uc.286	1	1	0	0	0	0	2	2	0	0	0	0
chr10	77495942	77496199	uc.287	0	0	0	0	0	0	0	0	0	0	0	0
chr10	77727182	77727405	uc.288	0	0	0	0	0	0	0	0	0	0	0	0
chr10	77990538	77990792	uc.289	0	0	0	0	0	0	0	0	1	0	2	7
chr10	78042281	78042487	uc.290	0	0	0	0	0	0	0	0	0	2	0	0
chr10	78283623	78283854	uc.291	24	0	9	8	0	0	20	7	0	11	6	0
chr10	98715454	98715671	uc.292	0	24	15	26	4	2	2	3	0	4	0	0
chr10	102372668	102372911	uc.293	0	2	0	1	1	0	0	0	0	0	0	0
chr10	102373616	102374060	uc.294	0	0	0	0	0	0	0	0	0	2	0	0
chr10	102375099	102375308	uc.295	0	1	1	0	2	0	0	0	0	0	0	0
chr10	102415105	102415566	uc.296	0	0	0	0	0	0	0	0	0	0	0	0
chr10	102419219	102419583	uc.297	2	0	0	0	0	0	0	0	0	0	0	0
chr10	102447657	102448016	uc.298	0	0	0	0	0	0	0	1	0	0	0	0
chr10	102509434	102509644	uc.299	3	6	1	1	0	0	6	0	0	0	0	0
chr10	102547117	102547325	uc.300	0	9	0	0	0	0	4	0	0	0	0	0
chr10	102567790	102568074	uc.301	0	6	3	0	0	0	8	0	0	0	0	0
chr10	102979179	102979520	uc.302	0	0	0	0	0	0	0	0	0	0	0	0
chr10	103052426	103052698	uc.303	0	0	0	0	0	0	0	0	0	0	0	0
chr10	103082503	103082775	uc.304	0	7	0	2	2	0	0	0	0	0	0	0
chr10	103211434	103211739	uc.305	0	59	61	81	33	0	0	0	7	11	0	4
chr10	103212038	103212262	uc.306	0	60	61	81	33	0	0	0	7	11	0	4
chr10	103243982	103244214	uc.307	8	53	63	92	37	4	0	9	15	9	6	4
chr10	103245811	103246088	uc.308	8	53	63	92	36	4	0	9	15	9	6	4
chr10	103267030	103267298	uc.309	8	54	63	94	36	4	0	12	15	9	6	6
chr10	114404222	114404451	uc.310	0	0	0	24	0	0	0	19	0	0	25	0
chr10	120074401	120074620	uc.311	86	154	109	147	62	37	83	128	102	76	95	74
chr10	120076536	120076858	uc.312	88	140	108	149	53	35	83	131	102	71	96	70
chr10	121340173	121340404	uc.313	72	86	76	109	85	59	74	33	160	38	9	76
chr10	124852202	124852404	uc.314	0	0	0	0	0	0	0	0	0	0	0	0
chr10	124852614	124852849	uc.315	0	0	0	0	0	0	0	0	0	0	0	0
chr10	126905564	126905804	uc.316	0	0	0	0	0	0	0	0	0	0	0	0
chr10	131446337	131446555	uc.317	0	0	0	0	85	0	0	0	0	0	0	0
