Data ID	Sequence Name	RNA size	ORF size	Ficket Score	Hexamer Score	Coding Probability	Coding Label
0	CHR1:88461888-88466274	4386	309	0.7338	-0.259224299978	0.011793463026422	no
1	CHR2:170714787-170718448	3661	1152	1.2428	0.495818728019	0.99998780306982	yes
2	CHR2:172086387-172093495	7108	369	0.7564	0.0354150254737	0.12690874377403	no
3	CHR2:236161338-236168069	6731	651	0.4794	0.0820674917692	0.64127791277588	yes
4	CHR6:10393126-10395691	2565	138	0.7036	-0.201361798009	0.0027885827207238	no
5	CHR8:37376450-37394905	18455	372	0.4754	-0.0859588388906	0.013797651140024	no
6	CHR8:64579295-64585004	5709	1146	1.1111	0.509221799974	0.9999795966364	yes
7	CHR12:53665104-53680145	15041	453	0.6918	-0.0364213263681	0.10162152573196	no
8	CHR13:112056847-112072165	15318	1176	1.2884	0.618389674236	0.99999263334874	yes
9	CHR14:28763579-28778634	15055	1470	1.2996	0.523952971603	0.99999945627499	yes
10	CHR16:54284533-54299229	14696	624	0.5547	-0.118990246034	0.21661407576657	no
11	CHR2:170714697-170718696	3999	1152	1.2428	0.495818728019	0.99998755017075	yes
12	CHR2:170700419-170727328	26909	1152	1.2428	0.495818728019	0.99994996458713	yes
13	CHR2:236161268-236168657	7389	651	0.4794	0.0820674917692	0.63203621419291	yes
14	CHR6:10385417-10415127	29710	486	1.178	0.0673540151222	0.37743676394727	yes
15	CHR6:98270642-98292680	22038	252	0.7199	-0.32737952858	0.0013449122478292	no
16	CHR7:157010806-157020491	9685	627	0.6844	0.092607157897	0.70177396351121	yes
17	CHR8:64574323-64584600	10277	1146	1.1111	0.509221799974	0.99997307499183	yes
18	CHR12:53665055-53678862	13807	453	0.6324	-0.100670442177	0.062079881673521	no
19	CHR13:94966764-94969870	3106	399	0.7121	0.0709807587964	0.22001256966198	no
20	CHR13:112039758-112069002	29244	1176	1.2884	0.618389674236	0.99998284105198	yes
21	CHR14:28743057-28767206	24149	342	0.4304	-0.273192309418	0.0018020398018674	no
22	CHR16:54284497-54299236	14739	624	0.5547	-0.118990246034	0.21617135414101	no
23	CHR16:73058788-73063132	4344	291	0.7582	-0.481038690207	0.0024523308697013	no
24	CHR16:73057813-73063132	5319	654	1.0693	0.162344686119	0.95616710506888	yes
