chrom	start	end	id	tcga_analysis/reindex/TCGA-06-0675-11A-32R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-0678-11A-32R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-0680-11A-32R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-0681-11A-41R-A36H-07.bam	tcga_analysis/reindex/TCGA-06-AABW-11A-31R-A36H-07.bam
chr1	10537639	10537846	uc.1	91	55	88	90	76
chr1	10672485	10672692	uc.2	1	1	0	0	0
chr1	10691107	10691332	uc.3	1	1	0	0	0
chr1	10698191	10698550	uc.4	1	1	0	0	0
chr1	10721293	10721507	uc.5	2	1	0	0	0
chr1	10735063	10735364	uc.6	2	1	0	0	0
chr1	10776075	10776331	uc.7	0	1	0	0	0
chr1	10791760	10791976	uc.8	0	0	0	0	0
chr1	10865352	10865554	uc.9	0	0	0	0	1
chr1	10905516	10905791	uc.10	1	0	0	0	0
chr1	35184625	35184826	uc.12	486	704	582	580	506
chr1	35893588	35893825	uc.13	36	43	64	25	44
chr1	38029331	38029544	uc.14	0	0	2	0	0
chr1	38095403	38095636	uc.15	7	2	7	9	2
chr1	38162526	38162737	uc.16	0	0	0	1	1
chr1	38336478	38336715	uc.17	4	0	3	5	0
chr1	44249988	44250226	uc.18	302	317	345	364	261
chr1	44524639	44524895	uc.19	20	61	21	44	7
chr1	44536699	44536968	uc.20	20	61	21	42	0
chr1	48647313	48647548	uc.21	20	12	35	11	5
chr1	50540558	50540866	uc.22	93	78	110	93	103
chr1	50570104	50570333	uc.23	70	68	97	78	85
chr1	50633472	50633808	uc.24	87	57	96	75	88
chr1	50700361	50700596	uc.25	58	61	76	80	61
chr1	62903974	62904186	uc.26	1	0	1	0	7
chr1	62904208	62904498	uc.27	1	0	2	0	10
chr1	70231029	70231384	uc.28	350	273	466	316	365
chr1	87356699	87356918	uc.29	0	0	2	0	0
chr1	87563316	87563559	uc.30	1	0	0	0	0
chr1	88462334	88462587	uc.31	0	2	0	2	0
chr1	96806180	96806492	uc.33	134	135	133	112	192
chr1	96814615	96814823	uc.34	262	248	298	357	422
chr1	97536725	97536930	uc.35	0	0	0	11	0
chr1	108697805	108698069	uc.36	91	77	117	101	106
chr1	114737431	114737633	uc.37	496	150	479	92	50
chr1	163970717	163970941	uc.38	0	0	0	0	0
chr1	164054297	164054653	uc.39	0	0	0	0	0
chr1	164668724	164668971	uc.40	0	30	2	0	0
chr1	213425423	213425639	uc.41	0	0	0	0	0
chr1	215715689	215715955	uc.42	0	0	0	0	0
chr1	243732732	243732989	uc.43	71	51	83	25	13
chr1	244054404	244054634	uc.44	1292	612	1309	1095	260
chr1	244853383	244853586	uc.45	713	851	874	1034	1176
chr1	244854300	244854517	uc.46	2454	2873	2807	2941	3394
chr1	11874	14409	DDX11L1___1187414409	0	2	1	1	1
chr1	14362	29370	WASH7P___1436229370	225	292	420	415	555
chr1	29926	31295	LOC107985730___2992631295	1	4	6	5	7
chr1	34611	36081	FAM138A___3461136081	0	4	7	0	8
chr1	51943	53959	LOC105379212___5194353959	1	6	7	0	11
chr1	69091	70008	OR4F5___6909170008	0	4	6	0	9
chr1	91169	297504	LOC100996442___91169297504	786	364	924	854	807
chr1	134773	140566	LOC729737___134773140566	286	102	317	186	87
chr1	181049	184258	LOC102725121___181049184258	10	12	9	17	16
chr1	184878	199860	LOC102723897___184878199860	205	159	422	439	538
chr1	200442	203983	LOC107985721___200442203983	4	4	8	1	0
chr1	352749	356597	CHESS1___352749356597	3	11	10	8	4
chr1	360057	366052	RP4-669L17.2___360057366052	3	6	6	5	4
chr1	365395	379972	RP4-669L17.10___365395379972	2	8	4	8	4
chr1	450740	451678	OR4F29___450740451678	2	6	4	5	4
chr1	489361	499772	LOC100132287___489361499772	25	42	52	51	60
chr1	499860	523759	CHESS2___499860523759	15	10	18	13	22
chr1	585989	611297	LOC105378947___585989611297	28	20	18	30	14
chr1	626671	634927	LOC101928626___626671634927	208987	190666	104894	101960	174435
chr1	683910	720118	OR4F16___683910720118	48	20	38	41	28
chr1	724520	730351	LOC100133331___724520730351	94	105	208	118	33
chr1	732159	746737	LOC107984841___732159746737	48	28	46	41	28
chr1	735566	738953	LOC107984847___735566738953	31	22	31	25	13
chr1	739962	740334	LOC107984849___739962740334	2	4	0	9	4
chr1	755864	778688	LOC100288069___755864778688	64	55	149	43	45
chr1	778760	810065	LOC105378580___778760810065	287	214	386	277	152
chr1	784370	787186	LOC100287934___784370787186	43	36	38	45	35
chr1	817371	819834	FAM87B___817371819834	28	33	28	24	17
chr1	826206	827522	LINC00115___826206827522	28	95	71	62	74
chr1	827591	859446	LINC01128___827591859446	4117	3995	5118	3643	1263
chr1	860226	868202	LOC107984850___860226868202	71	87	100	62	17
chr1	868071	876802	FAM41C___868071876802	48	61	58	52	19
chr1	905115	921990	LOC284600___905115921990	913	289	265	255	260
chr1	910355	929236	LOC107985728___910355929236	196	392	318	282	324
chr1	916818	919692	LOC100130417___916818919692	54	129	109	107	155
chr1	923923	948974	SAMD11___923923948974	4995	5870	5642	6399	5722
chr1	941883	960806	NOC2L___941883960806	9304	10376	10355	10641	9524
chr1	960103	966184	KLHL17___960103966184	545	467	821	824	467
